Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;Appartements Afrah (R+2);Dcheira El Jihadia;;30.377147;-9.533145;;;
ecole;🎓;École الأدارسة;Dcheira El Jihadia;;30.376273;-9.532676;;;
ecole;🎓;Ecole SALAM;Dcheira El Jihadia;;30.372606;-9.537068;;;
ecole;🎓;École إبن الفارض;Dcheira El Jihadia;;30.373239;-9.528266;;;
ecole;🎓;Lycée Allal Al Fassi;Dcheira El Jihadia;;30.37173;-9.536441;;;
ecole;🎓;Ecole Moussa Ben El Housseine;Dcheira El Jihadia;;30.371729;-9.537133;;;
ecole;🎓;Ecole Imam Al Boukhari;Dcheira El Jihadia;;30.375806;-9.541818;;;
ecole;🎓;École Saadiyine;Dcheira El Jihadia;;30.369894;-9.538619;;;
ecole;🎓;Collège Al Firdaous;Dcheira El Jihadia;;30.368944;-9.527954;;;
ecole;🎓;Ecole KHALID BNOU AL WALID;Dcheira El Jihadia;;30.368657;-9.528608;;;
ecole;🎓;Ecole 18 Novembre;Dcheira El Jihadia;;30.375828;-9.545218;;;
ecole;🎓;Ecole Oume Al-Mouminine;Dcheira El Jihadia;;30.369545;-9.541598;;;
ecole;🎓;Collège Bouchouariyine;Dcheira El Jihadia;;30.376481;-9.545598;;;
ecole;🎓;Collège Cadi Ayyad;Dcheira El Jihadia;;30.370186;-9.542693;;;
ecole;🎓;Ecole Allal Ben Abdellah;Dcheira El Jihadia;;30.365636;-9.530898;;;
ecole;🎓;Ecole Enahda;Dcheira El Jihadia;;30.365597;-9.536741;;;
ecole;🎓;Lycée Omar El Khayame;Dcheira El Jihadia;;30.365903;-9.539275;;;
ecole;🎓;Ecole Ibn Nafiss;Dcheira El Jihadia;;30.364964;-9.536756;;;
ecole;🎓;Ecole 2O AOUT;Dcheira El Jihadia;;30.366584;-9.524861;;;
ecole;🎓;Lycée Homman El Fetouaki;Dcheira El Jihadia;;30.365069;-9.528314;;;
ecole;🎓;Collège Fayçal Ibn Abdelaziz;Dcheira El Jihadia;;30.367644;-9.544221;;;
pharmacie;💊;Pharmacie Hay Sbai;Dcheira El Jihadia;;30.376884;-9.534314;;;
pharmacie;💊;Pharmacie Tabarin;Dcheira El Jihadia;;30.374963;-9.53233;;;
pharmacie;💊;Pharmacie Hammam Aachak;Dcheira El Jihadia;;30.373974;-9.535583;;;
pharmacie;💊;Pharmacie Najah Igroumai;Dcheira El Jihadia;;30.377499;-9.539162;;;
pharmacie;💊;Pharmacie Tafoukt;Dcheira El Jihadia;;30.371745;-9.53277;;;
pharmacie;💊;Pharmacie Fadesa;Dcheira El Jihadia;;30.376858;-9.526668;;;
pharmacie;💊;Pharmacie Principale;Dcheira El Jihadia;;30.371081;-9.535116;;;
pharmacie;💊;Pharmacie Tilila;Dcheira El Jihadia;;30.374304;-9.53978;;;
pharmacie;💊;Pharmacie Hay El Mers;Dcheira El Jihadia;;30.371245;-9.528814;;;
pharmacie;💊;Pharmacie Ksima;Dcheira El Jihadia;;30.370359;-9.537296;;;
pharmacie;💊;Pharmacie Al Kaoutar;Dcheira El Jihadia;;30.368997;-9.53479;;;
pharmacie;💊;Pharmacie Al Yosr;Dcheira El Jihadia;;30.375559;-9.523505;;;
pharmacie;💊;Pharmacie Ibn Sina;Dcheira El Jihadia;;30.369009;-9.537553;;;
pharmacie;💊;Pharmacie Dcheira;Avenue Bir Anzarane;;30.371139;-9.541295;;;
pharmacie;💊;Pharmacie Titrite;Dcheira El Jihadia;;30.370051;-9.526224;;;
marche;🛒;Marché سوق;Dcheira El Jihadia;;30.375082;-9.536058;;;
marche;🛒;Marché النموذجي;Dcheira El Jihadia;;30.375119;-9.53653;;;
marche;🛒;Marché اليومي عمر الخيام;Dcheira El Jihadia;;30.365609;-9.541479;;;
mosquee;🕌;Mosquée النهضة;Dcheira El Jihadia;;30.376309;-9.536773;;;
mosquee;🕌;Mosquée de Walhori;Dcheira El Jihadia;;30.373735;-9.534459;;;
mosquee;🕌;Mosquée de Igi Farden;Dcheira El Jihadia;;30.372103;-9.534686;;;
mosquee;🕌;Masdjid de El Mers;Dcheira El Jihadia;;30.371446;-9.526918;;;
