Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;تجزئة آيت ملول (TF 15119);آيت ملول;;30.34075;-9.505639;;;
ecole;🎓;مدرسة الرسالة;آيت ملول;;30.340865;-9.506913;;;
ecole;🎓;مدرسة صلاح الدين الايوبي;آيت ملول;;30.34535;-9.504177;;;
ecole;🎓;مدرسة الوفاء;آيت ملول;;30.336525;-9.510358;;;
ecole;🎓;مدرسة الاحد الجديد;آيت ملول;;30.347694;-9.500257;;;
ecole;🎓;مدرسة المعتمد ابن عباد;آيت ملول;;30.347351;-9.51191;;;
ecole;🎓;مدرسة اليرموك;آيت ملول;;30.341246;-9.495722;;;
ecole;🎓;مدرسة ميمون الرموكي;آيت ملول;;30.342884;-9.495709;;;
ecole;🎓;مؤسسة العرفان الخاصة;آيت ملول;;30.346778;-9.497606;;+212 5 28 24 90 90;
ecole;🎓;مدرسة أكدال;آيت ملول;;30.335065;-9.496955;;;
ecole;🎓;مدرسة ابن باجة;آيت ملول;;30.348882;-9.497235;;;
ecole;🎓;مدرسة البراعم;آيت ملول;;30.330457;-9.498422;;;
pharmacie;💊;الصيدلية الكبرى دوار العراب;آيت ملول;;30.341395;-9.504384;;;
pharmacie;💊;صيدلية مازين;آيت ملول;;30.339645;-9.506637;;;
pharmacie;💊;صيدلية برادة;آيت ملول;;30.343576;-9.506276;;;
pharmacie;💊;صيدلية لشالي;آيت ملول;;30.34157;-9.502095;;;
pharmacie;💊;صيدلية نوري;آيت ملول;;30.337353;-9.504432;;;
pharmacie;💊;صيدلية أيت ملول;آيت ملول;;30.343816;-9.502743;;;
pharmacie;💊;صيدلية عاطر;آيت ملول;;30.336188;-9.506748;;;
pharmacie;💊;صيدلية أكدال;آيت ملول;;30.338941;-9.499872;;;
pharmacie;💊;صيدلية أمارير;آيت ملول;;30.336441;-9.50204;;;
pharmacie;💊;صيدلية حسنية;آيت ملول;;30.346112;-9.506825;;;
pharmacie;💊;صيدلية أملاك سوس;آيت ملول;;30.334785;-9.508752;;;
pharmacie;💊;صيدلية الكلية;آيت ملول;;30.34626;-9.501307;;;
pharmacie;💊;صيدلية & Parapharmacie Assais Ait Melloul;آيت ملول;;30.347685;-9.504989;;+212 5 28 24 84 05;
pharmacie;💊;صيدلية شارع الحسن الثاني;آيت ملول;;30.333871;-9.50375;;;
pharmacie;💊;صيدلية الشفاء;آيت ملول;;30.348284;-9.503537;;;
magasin;🛒;سوبر ماركت Bencharf;آيت ملول;;30.336752;-9.505748;;;
magasin;🛒;Al Fath;آيت ملول;;30.336661;-9.504311;;;
mosquee;🕌;مسجد الصحابة;آيت ملول;;30.344035;-9.498472;;;
mosquee;🕌;الجامع الكبير;آيت ملول;;30.347949;-9.504656;;+212 6 99 11 61 29;
mosquee;🕌;مسجد المستقبل;آيت ملول;;30.348073;-9.495158;;;
cafe;☕;Du nour;آيت ملول;;30.337942;-9.504555;;;
cafe;☕;France;آيت ملول;;30.337861;-9.504555;;;
cafe;☕;مقهى Souss;آيت ملول;;30.337439;-9.504466;;;
cafe;☕;مقهى Restaurant Mç Tabia;آيت ملول;;30.338105;-9.502761;;;
cafe;☕;مقهى Arige;آيت ملول;;30.33693;-9.504302;;;
cafe;☕;سناك Yassine;آيت ملول;;30.336753;-9.506205;;;
cafe;☕;مقهى Amine;آيت ملول;;30.336463;-9.506618;;;
cafe;☕;Anwal;آيت ملول;;30.345165;-9.502598;;;
cafe;☕;مقهى بيروت;آيت ملول;;30.335619;-9.504207;;+212 6 01 85 94 99;Mo-Su 06:30-23:30
cafe;☕;مقهى Dubai;آيت ملول;;30.335632;-9.503991;;;
cafe;☕;مقهى Fleur;آيت ملول;;30.334814;-9.503936;;;
cafe;☕;Arena Blanca;آيت ملول;;30.334465;-9.503941;;;
banque;🏦;Axa Credit;آيت ملول;;30.344217;-9.49885;;;
banque;🏦;بنك أفريقيا;آيت ملول;;30.347203;-9.50276;;;
banque;🏦;التجاري وفا بنك;آيت ملول;;30.345453;-9.495381;;;
transport;🚌;Lot Farah;آيت ملول;;30.34238;-9.502224;;;
transport;🚌;Aguedal;آيت ملول;;30.33594;-9.504306;;;
transport;🚌;Tamarzart 2;آيت ملول;;30.345542;-9.508565;;;
transport;🚌;Tamarzart 3;آيت ملول;;30.342403;-9.512073;;;
transport;🚌;Les Moulins;آيت ملول;;30.346723;-9.50288;;;
transport;🚌;Onep;آيت ملول;;30.344735;-9.499792;;;
transport;🚌;CTM;آيت ملول;;30.333984;-9.504121;;;
transport;🚌;Phar Croissant Vert;آيت ملول;;30.34169;-9.497547;;;
admin;🏛️;La Post;آيت ملول;;30.333367;-9.504086;;;
admin;🏛️;Ait Melloul Hay Riad;آيت ملول;;30.333;-9.505;;;
loisir;🌿;الملعب البلد ي - ا يت ملول;آيت ملول;;30.345563;-9.490806;;;
