Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;Lot Aït Melloul (TF 15119);Aït Melloul;;30.34075;-9.505639;;;
ecole;🎓;School الرسالة;Aït Melloul;;30.340865;-9.506913;;;
ecole;🎓;School صلاح الدين الايوبي;Aït Melloul;;30.34535;-9.504177;;;
ecole;🎓;School الوفاء;Aït Melloul;;30.336525;-9.510358;;;
ecole;🎓;School الاحد الجديد;Aït Melloul;;30.347694;-9.500257;;;
ecole;🎓;School المعتمد ابن عباد;Aït Melloul;;30.347351;-9.51191;;;
ecole;🎓;School اليرموك;Aït Melloul;;30.341246;-9.495722;;;
ecole;🎓;School ميمون الرموكي;Aït Melloul;;30.342884;-9.495709;;;
ecole;🎓;Institution Al aarifane Privée;Avenue Al Moukaouama, Hay Al aahd al jadid;;30.346778;-9.497606;;+212 5 28 24 90 90;
ecole;🎓;School أكدال;Aït Melloul;;30.335065;-9.496955;;;
ecole;🎓;School ابن باجة;Aït Melloul;;30.348882;-9.497235;;;
ecole;🎓;School البراعم;Aït Melloul;;30.330457;-9.498422;;;
pharmacie;💊;Grande Pharmacie Douar Laarab Pharmacy;Aït Melloul;;30.341395;-9.504384;;;
pharmacie;💊;Mazine Pharmacy;Aït Melloul;;30.339645;-9.506637;;;
pharmacie;💊;Berada Pharmacy;Avenue Maghreb Arabe شارع المغرب العربي;;30.343576;-9.506276;;;
pharmacie;💊;Les Chalets Pharmacy;Aït Melloul;;30.34157;-9.502095;;;
pharmacie;💊;Nouri Pharmacy;Aït Melloul;;30.337353;-9.504432;;;
pharmacie;💊;Ait Melloul Pharmacy;Boulevard Hassan II شارع الحسن الثاني;;30.343816;-9.502743;;;
pharmacie;💊;Atter Pharmacy;Aït Melloul;;30.336188;-9.506748;;;
pharmacie;💊;Agdal Pharmacy;Aït Melloul;;30.338941;-9.499872;;;
pharmacie;💊;Amarir Pharmacy;Aït Melloul;;30.336441;-9.50204;;;
pharmacie;💊;Hassania Pharmacy;Avenue Agadir;;30.346112;-9.506825;;;
pharmacie;💊;Amlak Souss Pharmacy;Aït Melloul;;30.334785;-9.508752;;;
pharmacie;💊;Kolea Pharmacy;Boulevard Mohammed V شارع محمد الخامس;;30.34626;-9.501307;;;
pharmacie;💊;& Parapharmacie Assais Ait Melloul Pharmacy;Aït Melloul;;30.347685;-9.504989;;+212 5 28 24 84 05;
pharmacie;💊;Avenue Hassan II Pharmacy;Aït Melloul;;30.333871;-9.50375;;;
pharmacie;💊;Al Chifaa Pharmacy;Aït Melloul;;30.348284;-9.503537;;;
magasin;🛒;Bencharf Supermarket;Aït Melloul;;30.336752;-9.505748;;;
magasin;🛒;Al Fath;Aït Melloul;;30.336661;-9.504311;;;
mosquee;🕌;Mosque الصحابة;Aït Melloul;;30.344035;-9.498472;;;
mosquee;🕌;Aït Melloul Grand Mosque;Aït Melloul;;30.347949;-9.504656;;+212 6 99 11 61 29;
mosquee;🕌;Mosque المستقبل;Aït Melloul;;30.348073;-9.495158;;;
cafe;☕;Du nour;Aït Melloul;;30.337942;-9.504555;;;
cafe;☕;France;Aït Melloul;;30.337861;-9.504555;;;
cafe;☕;Souss Café;Aït Melloul;;30.337439;-9.504466;;;
cafe;☕;Restaurant Mç Tabia Café;Aït Melloul;;30.338105;-9.502761;;;
cafe;☕;Arige Café;Aït Melloul;;30.33693;-9.504302;;;
cafe;☕;Yassine Snack;Aït Melloul;;30.336753;-9.506205;;;
cafe;☕;Amine Café;Aït Melloul;;30.336463;-9.506618;;;
cafe;☕;Anwal;avenue hassan 2;;30.345165;-9.502598;;;
cafe;☕;bayrouth Café;Boulevard Hassan II;;30.335619;-9.504207;;+212 6 01 85 94 99;Mo-Su 06:30-23:30
cafe;☕;Dubai Café;Aït Melloul;;30.335632;-9.503991;;;
cafe;☕;Fleur Café;Aït Melloul;;30.334814;-9.503936;;;
cafe;☕;Arena Blanca;Aït Melloul;;30.334465;-9.503941;;;
banque;🏦;Axa Credit;Avenue Mohamed Ezerktouni;;30.344217;-9.49885;;;
banque;🏦;Bank of Africa;Aït Melloul;;30.347203;-9.50276;;;
banque;🏦;Attijariwafa Bank;Boulevard La Resistance;;30.345453;-9.495381;;;
transport;🚌;Lot Farah;Aït Melloul;;30.34238;-9.502224;;;
transport;🚌;Aguedal;Aït Melloul;;30.33594;-9.504306;;;
transport;🚌;Tamarzart 2;Aït Melloul;;30.345542;-9.508565;;;
transport;🚌;Tamarzart 3;Aït Melloul;;30.342403;-9.512073;;;
transport;🚌;Les Moulins;Aït Melloul;;30.346723;-9.50288;;;
transport;🚌;Onep;Aït Melloul;;30.344735;-9.499792;;;
transport;🚌;CTM;Aït Melloul;;30.333984;-9.504121;;;
transport;🚌;Phar Croissant Vert;Aït Melloul;;30.34169;-9.497547;;;
admin;🏛️;La Post;Aït Melloul;;30.333367;-9.504086;;;
admin;🏛️;Ait Melloul Hay Riad;AIT MELLOUL;;30.333;-9.505;;;
loisir;🌿;الملعب البلد ي - ا يت ملول;Aït Melloul;;30.345563;-9.490806;;;
