Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;Lotissement Aït Melloul (TF 15119);Aït Melloul;;30.34075;-9.505639;;;
ecole;🎓;École الرسالة;Aït Melloul;;30.340865;-9.506913;;;
ecole;🎓;École صلاح الدين الايوبي;Aït Melloul;;30.34535;-9.504177;;;
ecole;🎓;École الوفاء;Aït Melloul;;30.336525;-9.510358;;;
ecole;🎓;École الاحد الجديد;Aït Melloul;;30.347694;-9.500257;;;
ecole;🎓;École المعتمد ابن عباد;Aït Melloul;;30.347351;-9.51191;;;
ecole;🎓;École اليرموك;Aït Melloul;;30.341246;-9.495722;;;
ecole;🎓;École ميمون الرموكي;Aït Melloul;;30.342884;-9.495709;;;
ecole;🎓;Institution Al aarifane Privée;Avenue Al Moukaouama, Hay Al aahd al jadid;;30.346778;-9.497606;;+212 5 28 24 90 90;
ecole;🎓;École أكدال;Aït Melloul;;30.335065;-9.496955;;;
ecole;🎓;École ابن باجة;Aït Melloul;;30.348882;-9.497235;;;
ecole;🎓;École البراعم;Aït Melloul;;30.330457;-9.498422;;;
pharmacie;💊;Pharmacie Grande Pharmacie Douar Laarab;Aït Melloul;;30.341395;-9.504384;;;
pharmacie;💊;Pharmacie Mazine;Aït Melloul;;30.339645;-9.506637;;;
pharmacie;💊;Pharmacie Berada;Avenue Maghreb Arabe شارع المغرب العربي;;30.343576;-9.506276;;;
pharmacie;💊;Pharmacie Les Chalets;Aït Melloul;;30.34157;-9.502095;;;
pharmacie;💊;Pharmacie Nouri;Aït Melloul;;30.337353;-9.504432;;;
pharmacie;💊;Pharmacie Ait Melloul;Boulevard Hassan II شارع الحسن الثاني;;30.343816;-9.502743;;;
pharmacie;💊;Pharmacie Atter;Aït Melloul;;30.336188;-9.506748;;;
pharmacie;💊;Pharmacie Agdal;Aït Melloul;;30.338941;-9.499872;;;
pharmacie;💊;Pharmacie Amarir;Aït Melloul;;30.336441;-9.50204;;;
pharmacie;💊;Pharmacie Hassania;Avenue Agadir;;30.346112;-9.506825;;;
pharmacie;💊;Pharmacie Amlak Souss;Aït Melloul;;30.334785;-9.508752;;;
pharmacie;💊;Pharmacie Kolea;Boulevard Mohammed V شارع محمد الخامس;;30.34626;-9.501307;;;
pharmacie;💊;Pharmacie & Parapharmacie Assais Ait Melloul;Aït Melloul;;30.347685;-9.504989;;+212 5 28 24 84 05;
pharmacie;💊;Pharmacie Avenue Hassan II;Aït Melloul;;30.333871;-9.50375;;;
pharmacie;💊;Pharmacie Al Chifaa;Aït Melloul;;30.348284;-9.503537;;;
magasin;🛒;Superette Bencharf;Aït Melloul;;30.336752;-9.505748;;;
magasin;🛒;Al Fath;Aït Melloul;;30.336661;-9.504311;;;
mosquee;🕌;Mosquée الصحابة;Aït Melloul;;30.344035;-9.498472;;;
mosquee;🕌;Grande Mosquée d'Aït Melloul;Aït Melloul;;30.347949;-9.504656;;+212 6 99 11 61 29;
mosquee;🕌;Mosquée المستقبل;Aït Melloul;;30.348073;-9.495158;;;
cafe;☕;Du nour;Aït Melloul;;30.337942;-9.504555;;;
cafe;☕;France;Aït Melloul;;30.337861;-9.504555;;;
cafe;☕;Cafe Souss;Aït Melloul;;30.337439;-9.504466;;;
cafe;☕;Café Restaurant Mç Tabia;Aït Melloul;;30.338105;-9.502761;;;
cafe;☕;Cafe Arige;Aït Melloul;;30.33693;-9.504302;;;
cafe;☕;Snack Yassine;Aït Melloul;;30.336753;-9.506205;;;
cafe;☕;Cafe Amine;Aït Melloul;;30.336463;-9.506618;;;
cafe;☕;Anwal;avenue hassan 2;;30.345165;-9.502598;;;
cafe;☕;café bayrouth;Boulevard Hassan II;;30.335619;-9.504207;;+212 6 01 85 94 99;Mo-Su 06:30-23:30
cafe;☕;Cafe Dubai;Aït Melloul;;30.335632;-9.503991;;;
cafe;☕;Cafe Fleur;Aït Melloul;;30.334814;-9.503936;;;
cafe;☕;Arena Blanca;Aït Melloul;;30.334465;-9.503941;;;
banque;🏦;Axa Credit;Avenue Mohamed Ezerktouni;;30.344217;-9.49885;;;
banque;🏦;Bank of Africa;Aït Melloul;;30.347203;-9.50276;;;
banque;🏦;Attijariwafa Bank;Boulevard La Resistance;;30.345453;-9.495381;;;
transport;🚌;Lot Farah;Aït Melloul;;30.34238;-9.502224;;;
transport;🚌;Aguedal;Aït Melloul;;30.33594;-9.504306;;;
transport;🚌;Tamarzart 2;Aït Melloul;;30.345542;-9.508565;;;
transport;🚌;Tamarzart 3;Aït Melloul;;30.342403;-9.512073;;;
transport;🚌;Les Moulins;Aït Melloul;;30.346723;-9.50288;;;
transport;🚌;Onep;Aït Melloul;;30.344735;-9.499792;;;
transport;🚌;CTM;Aït Melloul;;30.333984;-9.504121;;;
transport;🚌;Phar Croissant Vert;Aït Melloul;;30.34169;-9.497547;;;
admin;🏛️;La Post;Aït Melloul;;30.333367;-9.504086;;;
admin;🏛️;Ait Melloul Hay Riad;AIT MELLOUL;;30.333;-9.505;;;
loisir;🌿;الملعب البلد ي - ا يت ملول;Aït Melloul;;30.345563;-9.490806;;;
