Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;تجزئة آيت ملول (TF 15119);آيت ملول، أكادير;;30.34075;-9.505639;;;
transport;🚌;المحطة الطرقية إنزكان;الطريق الوطنية 10، إنزكان;;30.359746;-9.527025;;;حافلات نحو كل الوجهات
marche;🛒;سوق الثلاثاء إنزكان;إنزكان;;30.359344;-9.530888;;;سوق أسبوعي كبير
parc;🐊;كروكوبارك;الدراركة;;30.389379;-9.484029;;;حديقة التماسيح والحدائق
aeroport;✈️;مطار المسيرة;أكادير;4.0;30.3811;-9.5462;;+212 5 28 83 91 22;مطار دولي
medina;🏛️;مدينة أكادير العتيقة;;;30.3785;-9.5725;;;المدينة الحرفية
ecole;🎓;كلية الطب – جامعة ابن زهر;الطريق الوطنية 1، الهدى، أكادير;;30.406885;-9.533029;;;الحرم الجامعي
magasin;🛒;مرجان أكادير;شارع محمد السادس، فونتي;;30.394457;-9.580797;;;متجر كبير ومركز تجاري
hopital;🏥;مستشفى الحسن الثاني;شارع الحسن الثاني أكادير;3.5;30.4042;-9.5811;;+212 5 28 84 13 51;مستشفى جهوي
stade;🏟️;ملعب أدرار;;;30.4274;-9.5403;;;الملعب الكبير بأكادير
medina;🏛️;سوق الأحد;أكادير;4.4;30.4198;-9.5897;;;أكبر سوق في أكادير
musee;🖼️;متحف التراث الأمازيغي;;;30.416;-9.5971;;;الثقافة الأمازيغية
parc;🐦;وادي الطيور;;;30.4196;-9.6021;;;حديقة حيوانات مجانية
parc;🌳;حديقة أولهاو;;;30.4247;-9.5971;;;حديقة عمومية
marina;⚓;مارينا أكادير;;;30.4224;-9.6177;;;مرسى ومطاعم
plage;🏖️;شاطئ أكادير;كورنيش أكادير;4.5;30.4278;-9.6189;;;الشاطئ الرئيسي
monument;🏰;قصبة أكادير أوفلا;;;30.4297;-9.6248;;;قلعة تاريخية بإطلالة بانورامية
