Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;تجزئة أميكال;أكادير;;30.33269020682961;-9.511278096688889;;;
admin;🏛️;Ait Melloul Hay Riad;AIT MELLOUL, Ait Melloul;;30.333;-9.505;;;
magasin;🛒;Superette Bencharf;;;30.3367525;-9.5057476;;;
cafe;☕;Snack Yassine;;;30.336753;-9.5062054;;;
cafe;☕;Cafe Amine;;;30.3364627;-9.5066175;;;
cafe;☕;Cafe Fleur;;;30.3348137;-9.5039362;;;
cafe;☕;Cafe Dubai;;;30.3356321;-9.5039905;;;
cafe;☕;Arena Blanca;;;30.3344646;-9.5039412;;;
cafe;☕;France;;;30.3378606;-9.5045553;;;
magasin;🛒;Al Fath;;;30.3366612;-9.5043109;;;
admin;🏛️;La Post;;;30.3333665;-9.5040861;;;
cafe;☕;Du nour;;;30.3379422;-9.5045553;;;
cafe;☕;Cafe Arige;;;30.33693;-9.5043024;;;
cafe;☕;Cafe Souss;;;30.3374388;-9.5044656;;;
cafe;☕;Café milano مقهى ميلانو;boulevard mokhtar essousi;;30.3304736;-9.5204075;;+212 6 62 03 54 28;Mo-Su 09:00-22:00
cafe;☕;مقهى بيروت;Boulevard Hassan II;;30.3356193;-9.5042072;;+212 6 01 85 94 99;Mo-Su 06:30-23:30
transport;🚌;Tamarzart 2;;;30.345542;-9.5085651;;;
transport;🚌;Tamarzart 3;;;30.3424032;-9.5120734;;;
transport;🚌;Sidi Mimoun;;;30.3336853;-9.5174378;;;
transport;🚌;Sidi Mimoun Centre;;;30.331611;-9.5188272;;;
transport;🚌;Sidi Mimoun Pharmacie;;;30.3302405;-9.520855;;;
transport;🚌;Bahri Kasbah Tahar;;;30.3274299;-9.5244759;;;
transport;🚌;Kasbah 1;;;30.3289139;-9.5250607;;;
transport;🚌;Kasbah 2;;;30.3330695;-9.5237249;;;
transport;🚌;Kasbah 3;;;30.3331297;-9.5260826;;;
transport;🚌;Argana Mosquee;;;30.3289232;-9.4967365;;;
transport;🚌;Arret - Faculte Chariaa;;;30.3245868;-9.5170167;;;
transport;🚌;Assoc Ait Ouaala;;;30.3297149;-9.5183203;;;
transport;🚌;Ait Mimoun;;;30.3316295;-9.5183149;;;
transport;🚌;Koutab Ait Mimoun;;;30.3352734;-9.520061;;;
transport;🚌;Arret Fermes;;;30.3385976;-9.5232207;;;
transport;🚌;Lot Farah;;;30.3423801;-9.5022243;;;
transport;🚌;Aguedal;;;30.3359401;-9.5043057;;;
transport;🚌;Massira Poste;;;30.3335811;-9.5038927;;;
transport;🚌;Radio Rtm;;;30.3290829;-9.5039141;;;
transport;🚌;Av Marche Vert;;;30.3256472;-9.5041609;;;
transport;🚌;Lycee El Marifa;;;30.3272308;-9.5075968;;;
transport;🚌;Faculte Sharia 1;;;30.3284532;-9.5110166;;;
transport;🚌;Faculte Sharia 2;;;30.330509;-9.5137417;;;
transport;🚌;Lycee El Hidya;;;30.3247952;-9.5234808;;;
transport;🚌;Ista Transport;;;30.3214381;-9.5031202;;;
transport;🚌;Avenue Marche Verte;;;30.3252536;-9.5036781;;;
pharmacie;💊;Pharmacie Ifoulki صيدلية افولكي;Ait Melloul;;30.3438958;-9.5171321;;;
pharmacie;💊;Pharmacie Les Chalets صيدلية لشالي;Ait Melloul;;30.3415702;-9.5020954;;;
pharmacie;💊;Pharmacie Ait Melloul صيدلية أيت ملول;Boulevard Hassan II شارع الحسن الثاني, Aït Melloul ⴰⵢⵜ ⵎⵍⵍⵓⵍ أيت ملول;;30.3438161;-9.5027428;;;
pharmacie;💊;Pharmacie Grande Pharmacie Douar Laarab الصيدلية الكبرى دوار العراب;Ait Melloul;;30.3413946;-9.5043839;;;
pharmacie;💊;Pharmacie Mazine صيدلية مازين;Ait Melloul;;30.3396446;-9.5066369;;;
pharmacie;💊;Pharmacie Agdal صيدلية أكدال;Ait Melloul;;30.3389408;-9.4998724;;;
pharmacie;💊;Pharmacie Nouri صيدلية نوري;Aït Melloul ⴰⵢⵜ ⵎⵍⵍⵓⵍ أيت ملول;;30.3373528;-9.5044322;;;
pharmacie;💊;Pharmacie Avenue Hassan II صيدلية شارع الحسن الثاني;Ait Melloul;;30.3338714;-9.50375;;;
pharmacie;💊;Pharmacie Amlak Souss صيدلية أملاك سوس;Ait Melloul;;30.3347845;-9.508752;;;
pharmacie;💊;Pharmacie Amarir صيدلية أمارير;Ait Melloul;;30.3364407;-9.5020396;;;
pharmacie;💊;Pharmacie Essafaa صيدلية الصفاء;Ait Melloul;;30.3315696;-9.506757;;;
pharmacie;💊;Pharmacie Lamine صيدلية لامين;Aït Melloul ⴰⵢⵜ ⵎⵍⵍⵓⵍ أيت ملول;;30.3281945;-9.4986379;;;
pharmacie;💊;Pharmacie Nouvelle الصيدلية الجديدة;Aït Melloul ⴰⵢⵜ ⵎⵍⵍⵓⵍ أيت ملول;;30.3227449;-9.5020023;;;
pharmacie;💊;Pharmacie Al Farah صيدلية الفرح;Ait Melloul;;30.33362;-9.4999977;;;
pharmacie;💊;Pharmacie Attakafoul صيدلية التكافل;Aït Melloul ⴰⵢⵜ ⵎⵍⵍⵓⵍ أيت ملول;;30.3221151;-9.5072144;;;
pharmacie;💊;Pharmacie Famille صيدلية الأسرة;Aït Melloul ⴰⵢⵜ ⵎⵍⵍⵓⵍ أيت ملول;;30.3329827;-9.5257074;;;
pharmacie;💊;Pharmacie Sidi Mimoun صيدلية سيدي ميمون;Aït Melloul ⴰⵢⵜ ⵎⵍⵍⵓⵍ أيت ملول;;30.3301159;-9.5210555;;;
pharmacie;💊;Pharmacie Al Yasamin صيدلية الياسمين;Aït Melloul ⴰⵢⵜ ⵎⵍⵍⵓⵍ أيت ملول;;30.3272765;-9.5246431;;;
pharmacie;💊;Pharmacie Al Maghrib Al Arabi صيدلية المغرب العربي;Ait Melloul;;30.3289198;-9.504113;;;
pharmacie;💊;Pharmacie Al Jissr صيدلية الجسر;Aït Melloul ⴰⵢⵜ ⵎⵍⵍⵓⵍ أيت ملول;;30.3417173;-9.515171;;;
pharmacie;💊;Pharmacie Atter صيدلية عاطر;Ait Melloul;;30.3361879;-9.5067476;;;
pharmacie;💊;Pharmacie Berada صيدلية برادة;Avenue Maghreb Arabe شارع المغرب العربي, Aït Melloul ⴰⵢⵜ ⵎⵍⵍⵓⵍ أيت ملول;;30.3435759;-9.506276;;;
cafe;☕;Café Restaurant Mç Tabia;;;30.3381048;-9.5027611;;;
transport;🚌;CTM;;;30.3339842;-9.504121;;;
ecole;🎓;كلية الشريعة;;;30.3255553;-9.518648;;;
ecole;🎓;مدرسة البساتين;;;30.3343543;-9.5231468;;;
ecole;🎓;مدرسة الرسالة;;;30.340865;-9.5069129;;;
ecole;🎓;مدرسة الوفاء;;;30.3365246;-9.5103581;;;
ecole;🎓;مدرسة أكدال;;;30.335065;-9.4969552;;;
ecole;🎓;مدرسة البراعم;;;30.3304569;-9.4984223;;;
