Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;إقامة الجوهرة;الدشيرة الجهادية;;30.3732;-9.5372;;;
pharmacie;💊;صيدلية الدشيرة;شارع بئر أنزران;4.4;30.3712;-9.5413;22;+212 5 28 27 04 75;الإثنين-الجمعة 9ص-8:45م
pharmacie;💊;الصيدلية الرئيسية;شارع بئر أنزران;4.5;30.3711;-9.535;13;+212 6 66 24 42 88;الإثنين-السبت 9ص-8:30م
pharmacie;💊;صيدلية تافوكت;شارع الأدارسة;3.6;30.3717;-9.5328;28;+212 5 28 27 36 22;
pharmacie;💊;صيدلية حي الإحسان;شارع أبو بكر الصديق;3.8;30.3675;-9.5292;10;+212 5 28 83 64 83;مفتوح 24/24
pharmacie;💊;صيدلية الجهادية;مقابل سوق إنزكان;5.0;30.3624;-9.5298;2;+212 5 28 33 09 30;الإثنين-الجمعة 9ص-1م
magasin;🛒;ميدو ماركت;شارع علال الفاسي;4.0;30.3732;-9.5359;21;+212 6 17 33 47 68;9ص-2ص كل يوم
magasin;🛒;سوبرماركت أكرومي;شارع الحاج الحبيب;5.0;30.3761;-9.5393;1;;
magasin;🛒;إيكوبري ماركت;الدشيرة الجهادية;4.5;30.3661;-9.5332;4;+212 5 28 27 15 95;الإثنين-السبت 9ص-11م
magasin;🛒;بيرغولا ماركت;شارع السعادة;4.1;30.3753;-9.5468;12;+212 5 25 25 46 76;7ص-2ص
mosquee;🕌;مسجد التابارين;الطريق الوطنية 8;4.6;30.3745;-9.5311;12;;الأقرب
mosquee;🕌;مسجد المحسنين;شارع المهدي بن بركة;4.8;30.3757;-9.5442;277;;الأجمل
cafe;☕;بوز كافي;شارع عبد الرحيم بوعبيد;4.5;30.3719;-9.5271;175;+212 6 61 77 91 31;7ص-11م · مثالي للعمل
cafe;☕;كافي أغورا;الدشيرة الجهادية;5.0;30.3739;-9.5445;15;;8:30ص-منتصف الليل
banque;🏦;بنك أفريقيا;شارع بئر أنزران;4.3;30.3707;-9.5368;15;;الإثنين-الجمعة 8ص-4م
banque;🏦;التجاري وفا بنك;شارع بئر أنزران;3.1;30.3706;-9.5398;14;;الإثنين-الجمعة 8:15ص-3:45م
sante;🏥;د. إيمان الشعيبي;إقامة الجوهرة;4.9;30.3719;-9.5475;117;+212 5 28 86 73 80;الإثنين-الجمعة 8:30ص-5م
sante;🏥;مصحة الفردوس;إنزكان;2.7;30.3644;-9.5411;112;+212 5 28 33 40 80;24/24 · طوارئ
hammam;🧖;حمام الأندلس;الدشيرة الجهادية;4.3;30.3727;-9.5191;57;+212 6 73 67 22 40;7:30ص-11م
