Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;إقامة الجوهرة;الدشيرة الجهادية;;30.3732;-9.5372;;;
aeroport;✈️;مطار المسيرة;أكادير;4.0;30.3811;-9.5462;;+212 5 28 83 91 22;مطار دولي
plage;🏖️;شاطئ أكادير;كورنيش أكادير;4.5;30.4278;-9.6189;;;الشاطئ الرئيسي
plage;🏖️;شاطئ أغرود;أغرود;4.6;30.5119;-9.7139;;;شاطئ على بعد 25 دقيقة
medina;🏛️;سوق الحد;أكادير;4.4;30.4198;-9.5897;;;أكبر سوق في أكادير
hopital;🏥;مستشفى الحسن الثاني;شارع الحسن الثاني أكادير;3.5;30.4042;-9.5811;;+212 5 28 84 13 51;المستشفى الجهوي
hopital;🏥;عيادة الجنوب;شارع محمد الخامس أكادير;4.2;30.4153;-9.5828;;+212 5 28 22 78 78;عيادة خاصة
police;👮;مفوضية إنزكان;إنزكان;3.0;30.3589;-9.5314;;+212 5 28 33 09 30;المفوضية الرئيسية
admin;⚖️;المحكمة الابتدائية;إنزكان;;30.3617;-9.5333;;+212 5 28 83 24 50;المحكمة
admin;📬;مكتب البريد إنزكان;إنزكان;;30.3611;-9.5325;;+212 5 28 83 12 75;البريد
ecole_int;🏫;المدرسة الفرنسية بأكادير;أكادير;4.5;30.4214;-9.5836;;+212 5 28 82 26 74;ثانوية ليوطي
stade;🏟️;ملعب أدرار;أكادير;4.5;30.4256;-9.5378;;;28000 مقعد
autoroute;🛣️;مخرج الطريق السيار A7;A7;;30.3669;-9.4786;;;اتجاه الدار البيضاء/مراكش
gare;🚌;محطة حافلات إنزكان;إنزكان;3.8;30.3550;-9.5350;;;حافلات المسافات الطويلة
restos;🍴;حي فونتي (مطاعم);أكادير;;30.4036;-9.6011;;;مارينا والمطاعم
mall;🛍️;مارينا مول أكادير;المارينا;4.4;30.4153;-9.6189;;;مركز تجاري
