Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;Al Jawhara Residence;Dcheira El Jihadia;;30.3732;-9.5372;;;
aeroport;✈️;Al Massira Airport;Agadir;4.0;30.3811;-9.5462;;+212 5 28 83 91 22;International airport
plage;🏖️;Agadir Beach;Agadir Corniche;4.5;30.4278;-9.6189;;;Main beach
plage;🏖️;Aghroud Beach;Aghroud;4.6;30.5119;-9.7139;;;Beach 25 min away
medina;🏛️;Souk El Had;Agadir;4.4;30.4198;-9.5897;;;Largest souk in Agadir
hopital;🏥;Hassan II Hospital;Hassan II Ave Agadir;3.5;30.4042;-9.5811;;+212 5 28 84 13 51;Regional hospital
hopital;🏥;Polyclinique du Sud;Mohammed V Ave Agadir;4.2;30.4153;-9.5828;;+212 5 28 22 78 78;Private clinic
police;👮;Inezgane Police Station;Inezgane;3.0;30.3589;-9.5314;;+212 5 28 33 09 30;Main station
admin;⚖️;Court of First Instance;Inezgane;;30.3617;-9.5333;;+212 5 28 83 24 50;Court
admin;📬;Inezgane Post Office;Inezgane;;30.3611;-9.5325;;+212 5 28 83 12 75;Post office
ecole_int;🏫;French School of Agadir;Agadir;4.5;30.4214;-9.5836;;+212 5 28 82 26 74;Lycée Lyautey
stade;🏟️;Adrar Stadium;Agadir;4.5;30.4256;-9.5378;;;28,000 seats
autoroute;🛣️;A7 Highway Exit Agadir;A7;;30.3669;-9.4786;;;To Casablanca/Marrakech
gare;🚌;Inezgane Bus Station;Inezgane;3.8;30.3550;-9.5350;;;Long-distance buses
restos;🍴;Founty District (restaurants);Agadir;;30.4036;-9.6011;;;Marina & restaurants
mall;🛍️;Marina Mall Agadir;Marina;4.4;30.4153;-9.6189;;;Marina shopping mall
