Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;R+3 Andalusia;Agadir;;30.371616;-9.523501;;;
ecole;🎓;Collège Al Firdaous;;;30.3689438;-9.5279540;;;
ecole;🎓;Collège Al Mobadara;;;30.3747953;-9.5148018;;;
ecole;🎓;Ecole 2O AOUT;;;30.3665845;-9.5248607;;;
ecole;🎓;Ecole Allal Ben Abdellah;;;30.3656357;-9.5308984;;;
ecole;🎓;Ecole Enahda;;;30.3655968;-9.5367410;;;
ecole;🎓;Ecole IBN HAZM;;;30.3640994;-9.5236702;;;
ecole;🎓;Ecole Ibn Nafiss;;;30.3649638;-9.5367558;;;
ecole;🎓;Ecole KHALID BNOU AL WALID;;;30.3686567;-9.5286084;;;
ecole;🎓;Ecole Moussa Ben El Housseine;;;30.3717289;-9.5371327;;;
ecole;🎓;Ecole SALAM;;;30.3726061;-9.5370683;;;
ecole;🎓;Lycée Allal Al Fassi;;;30.3717304;-9.5364409;;;
ecole;🎓;Lycée Homman El Fetouaki;;;30.3650690;-9.5283138;;;
ecole;🎓;Lycée Omar El Khayame;;;30.3659029;-9.5392751;;;
ecole;🎓;École Saadiyine;;;30.3698941;-9.5386194;;;
ecole;🎓;اعدادية أبي فراس الحمداني;;;30.3803978;-9.5111453;;;
ecole;🎓;مدرسة إبن الفارض;;;30.3732388;-9.5282657;;;
ecole;🎓;مدرسة الأدارسة;;;30.3762727;-9.5326757;;;
ecole;🎓;مدرسة بئرانزران;;;30.3779989;-9.5114635;;;
ecole;🎓;مدرسة سبيل النجاح الخاصة;;;30.3624736;-9.5284032;;;
pharmacie;💊;Pharmacie Al Amane صيدلية الأمان;;;30.3645081;-9.5250753;;;
pharmacie;💊;Pharmacie Al Jihadis صيدلية الجهادي;;;30.3624794;-9.5300207;;;
pharmacie;💊;Pharmacie Al Kaoutar صيدلية الكوثر;;;30.3689967;-9.5347901;;;
pharmacie;💊;Pharmacie Al Walae صيدلية الولاء;;;30.3723262;-9.5202854;;;
pharmacie;💊;Pharmacie Al Yosr صيدلية اليسر;;;30.3755591;-9.5235046;;;
pharmacie;💊;Pharmacie Amougay صيدلية أموكاي;;;30.3664997;-9.5331602;;;
pharmacie;💊;Pharmacie Assaka صيدلية أساكا;;;30.3788332;-9.5153135;;;
pharmacie;💊;Pharmacie Bella صيدلية بلا;;;30.3746265;-9.5110591;;;
pharmacie;💊;Pharmacie Cokail صيدلية كوكاي;;;30.3747473;-9.5166802;;;
pharmacie;💊;Pharmacie Darif صيدلية ضريف;;;30.3716331;-9.5238023;;;
pharmacie;💊;Pharmacie Fadesa صيدلية فاديزا;;;30.3768581;-9.5266676;;;
pharmacie;💊;Pharmacie Fetouaki صيدلية فطواكي;;;30.3644233;-9.5270046;;;
pharmacie;💊;Pharmacie Hagounia صيدلية الحكونية;;;30.3601730;-9.5282762;;;
pharmacie;💊;Pharmacie Hammam Aachak صيدلية حمام أعشاق;;;30.3739740;-9.5355831;;;
pharmacie;💊;Pharmacie Hay El Mers صيدلية حي المرس;;;30.3712453;-9.5288137;;;
pharmacie;💊;Pharmacie Hay Sbai صيدلية حي السباعي;;;30.3768836;-9.5343140;;;
pharmacie;💊;Pharmacie Ibn El Haitam صيدلية ابن الهيثم;;;30.3775502;-9.5181789;;;
pharmacie;💊;Pharmacie Ibn Sina صيدلية ابن سينا;;;30.3690089;-9.5375530;;;
pharmacie;💊;Pharmacie Jihadia صيدلية جهادية;;;30.3644272;-9.5262425;;;
pharmacie;💊;Pharmacie Khouya صيدلية خويا;;;30.3695953;-9.5196100;;;
pharmacie;💊;Pharmacie Ksima صيدلية كسيما;;;30.3703588;-9.5372958;;;
pharmacie;💊;Pharmacie La Province صيدلية العمالة;;;30.3624128;-9.5341220;;;
pharmacie;💊;Pharmacie Masjid Assaka صيدلية مسجد أساكا;;;30.3811756;-9.5127637;;;
pharmacie;💊;Pharmacie Principale الصيدلية الرئيسية;;;30.3710810;-9.5351160;;;
pharmacie;💊;Pharmacie Rahma صيدلية رحمة;;;30.3665921;-9.5260101;;;
pharmacie;💊;Pharmacie Tabarin صيدلية طاباران;;;30.3749628;-9.5323302;;;
pharmacie;💊;Pharmacie Tafoukt صيدلية تفوكت;;;30.3717453;-9.5327699;;;
pharmacie;💊;Pharmacie Titrite صيدلية تيتريت;;;30.3700512;-9.5262245;;;
magasin;🛒;Marjane;;;30.3592793;-9.5255237;;;
mosquee;🕌;Avenue Abdelerrahim Bouabid;;;30.3724562;-9.5189151;;;
mosquee;🕌;Masdjid de El Mers;;;30.3714455;-9.5269179;;;
mosquee;🕌;Mosquée de Igi Farden مسجد إكي فاردن;;;30.3721030;-9.5346860;;;
mosquee;🕌;Mosquée de Walhori;;;30.3737347;-9.5344593;;;
mosquee;🕌;مسجد أموكاي;;;30.3673440;-9.5332259;;;
mosquee;🕌;مسجد إلغياتن;;;30.3674172;-9.5373581;;;
mosquee;🕌;مسجد الايمان الجهادية;;;30.3632493;-9.5279885;;;
mosquee;🕌;مسجد المحسنين;;;30.3678444;-9.5356580;;;
mosquee;🕌;مسجد النهضة;;;30.3763089;-9.5367729;;;
cafe;☕;Cafe Andalus;;;30.3711576;-9.5323854;;;
cafe;☕;Snack Afriquia;;;30.3699971;-9.5389599;;;
cafe;☕;laiterie;;;30.3701446;-9.5386220;;;
cafe;☕;المقهى الادبي;;;30.3654639;-9.5299917;;;
cafe;☕;سناك أيور;;;30.3712740;-9.5339860;;;
banque;🏦;BMCI;;;30.3705753;-9.5362329;;;
banque;🏦;Bank of Africa;;;30.3706864;-9.5367831;;;
sante;🏥;Cabinet Dr HAMYA;;;30.3595828;-9.5258805;;;
sante;🏥;Centre de Santé;;;30.3673465;-9.5258028;;;
sante;🏥;Centre de Santé Tabarine;;;30.3719426;-9.5324277;;;
sante;🏥;Dr Oubellahcene Abdallah;;;30.3621709;-9.5340252;;+212 5 28 33 09 33;Mo-Fr 09:00-15:00
transport;🚌;35;;;30.3589860;-9.5285361;;;
transport;🚌;36;;;30.3589914;-9.5288095;;;
transport;🚌;42;;;30.3589611;-9.5288715;;;
transport;🚌;Amougay;;;30.3670873;-9.5330164;;;
transport;🚌;Amougay;;;30.3671035;-9.5328809;;;
transport;🚌;Arcol;;;30.3839352;-9.5206726;;;
transport;🚌;Arcol;;;30.3839545;-9.5204325;;;
transport;🚌;Arrondissement Dcheira;;;30.3702693;-9.5384751;;;
transport;🚌;Asaka 2 Pharmacie;;;30.3789286;-9.5150292;;;
transport;🚌;Asaka 2 Pharmacie;;;30.3790258;-9.5155227;;;
transport;🚌;Asaka Mosquee;;;30.3794053;-9.5134199;;;
transport;🚌;Asaka Mosquee;;;30.3795997;-9.5134896;;;
transport;🚌;Asaka Souiri;;;30.3787667;-9.5103192;;;
transport;🚌;Assaka -Tikiouine Zi;;;30.3817748;-9.5187306;;;
transport;🚌;Assaka -Tikiouine Zi;;;30.3817609;-9.5185053;;;
transport;🚌;Azghar;;;30.3805761;-9.5173919;;;
transport;🚌;Azghar;;;30.3805653;-9.5173634;;;
transport;🚌;Bir Inzarane Assergal;;;30.3708256;-9.5355005;;;
transport;🚌;Bir Inzarane Assergal;;;30.3707167;-9.5363290;;;
transport;🚌;Cafe Lhaj Entree Dcheira;;;30.3631556;-9.5334233;;;
transport;🚌;Cafe Lhaj Entree Dcheira;;;30.3631776;-9.5336106;;;
transport;🚌;Commissariat Inezgane;;;30.3628501;-9.5349171;;;
transport;🚌;Commissariat Inezgane;;;30.3629791;-9.5348480;;;
transport;🚌;Complexe Culturel;;;30.3695290;-9.5265949;;;
transport;🚌;Complexe Culturel;;;30.3694688;-9.5263428;;;
transport;🚌;Essaouiri;;;30.3788035;-9.5105875;;;
transport;🚌;Essaouiri;;;30.3787815;-9.5105697;;;
