Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;Andalusia 03 Housing Complex;Dcheira El Jihadia;;30.371735;-9.519943;;;
ecole;🎓;Al Mobadara Middle School;Dcheira El Jihadia;;30.374795;-9.514802;;;
ecole;🎓;2O AOUT School;Dcheira El Jihadia;;30.366584;-9.524861;;;
ecole;🎓;School إبن الفارض;Dcheira El Jihadia;;30.373239;-9.528266;;;
ecole;🎓;Al Firdaous Middle School;Dcheira El Jihadia;;30.368944;-9.527954;;;
ecole;🎓;KHALID BNOU AL WALID School;Dcheira El Jihadia;;30.368657;-9.528608;;;
ecole;🎓;IBN HAZM School;Dcheira El Jihadia;;30.364099;-9.52367;;;
ecole;🎓;School بئرانزران;Dcheira El Jihadia;;30.377999;-9.511463;;;
ecole;🎓;Homman El Fetouaki High School;Dcheira El Jihadia;;30.365069;-9.528314;;;
ecole;🎓;Allal Ben Abdellah School;Dcheira El Jihadia;;30.365636;-9.530898;;;
ecole;🎓;School أبي فراس الحمداني;Dcheira El Jihadia;;30.380398;-9.511145;;;
ecole;🎓;School سبيل النجاح الخاصة;Dcheira El Jihadia;;30.362474;-9.528403;;;
ecole;🎓;School الأدارسة;Dcheira El Jihadia;;30.376273;-9.532676;;;
ecole;🎓;Annexe Ecole Al Mobadara AKHLIJ;Dcheira El Jihadia;;30.363467;-9.509811;;;
pharmacie;💊;Al Walae Pharmacy;Dcheira El Jihadia;;30.372326;-9.520285;;;
pharmacie;💊;Khouya Pharmacy;Avenue Ali Beni Abi Talib;;30.369595;-9.51961;;;
pharmacie;💊;Darif Pharmacy;Dcheira El Jihadia;;30.371633;-9.523802;;;
pharmacie;💊;Cokail Pharmacy;Dcheira El Jihadia;;30.374747;-9.51668;;;
pharmacie;💊;Al Yosr Pharmacy;Dcheira El Jihadia;;30.375559;-9.523505;;;
pharmacie;💊;Titrite Pharmacy;Dcheira El Jihadia;;30.370051;-9.526224;;;
pharmacie;💊;Ibn El Haitam Pharmacy;Dcheira El Jihadia;;30.37755;-9.518179;;;
pharmacie;💊;Rahma Pharmacy;Dcheira El Jihadia;;30.366592;-9.52601;;;
pharmacie;💊;Hay El Mers Pharmacy;Dcheira El Jihadia;;30.371245;-9.528814;;;
pharmacie;💊;Fadesa Pharmacy;Dcheira El Jihadia;;30.376858;-9.526668;;;
pharmacie;💊;Assaka Pharmacy;Dcheira El Jihadia;;30.378833;-9.515313;;;
pharmacie;💊;Bella Pharmacy;Dcheira El Jihadia;;30.374627;-9.511059;;;
pharmacie;💊;Al Amane Pharmacy;Dcheira El Jihadia;;30.364508;-9.525075;;;
pharmacie;💊;Jihadia Pharmacy;Dcheira El Jihadia;;30.364427;-9.526243;;;
pharmacie;💊;Fetouaki Pharmacy;Dcheira El Jihadia;;30.364423;-9.527005;;;
magasin;🛒;Marjane;Avenue Othmane Ben Affane;;30.359279;-9.525524;;;
marche;🛒;Mardi Market;Dcheira El Jihadia;;30.359633;-9.530272;;;
mosquee;🕌;Avenue Abdelerrahim Bouabid;Dcheira El Jihadia;;30.372456;-9.518915;;;
mosquee;🕌;Masdjid de El Mers;Dcheira El Jihadia;;30.371446;-9.526918;;;
mosquee;🕌;Mosque الايمان الجهادية;Dcheira El Jihadia;;30.363249;-9.527988;;;
mosquee;🕌;Mosque أموكاي;Dcheira El Jihadia;;30.367344;-9.533226;;;
mosquee;🕌;Walhori Mosque;Dcheira El Jihadia;;30.373735;-9.534459;;;
mosquee;🕌;Igi Farden Mosque;Dcheira El Jihadia;;30.372103;-9.534686;;;
cafe;☕;Café الادبي;Dcheira El Jihadia;;30.365464;-9.529992;;;
cafe;☕;Andalus Café;Dcheira El Jihadia;;30.371158;-9.532385;;;
cafe;☕;Café سناك أيور;Dcheira El Jihadia;;30.371274;-9.533986;;;
sante;🏥;Health Centre;Dcheira El Jihadia;;30.367347;-9.525803;;;
sante;🏥;Tabarine Health Centre;Dcheira El Jihadia;;30.371943;-9.532428;;;
sante;🏥;Dr HAMYA Practice;6 2ème étage, En face de Marjane, Immeuble Najah, Lotissement Najah lot n°16;;30.359583;-9.52588;;;
transport;🚌;Titrite Pharmacy;Dcheira El Jihadia;;30.371768;-9.523352;;;
transport;🚌;Lmers;Dcheira El Jihadia;;30.372824;-9.516504;;;
transport;🚌;Complexe Culturel;Dcheira El Jihadia;;30.369529;-9.526595;;;
transport;🚌;Lot Bir Inzarane Asaka;Dcheira El Jihadia;;30.374513;-9.5114;;;
transport;🚌;Imm Fadesa;Dcheira El Jihadia;;30.378029;-9.52562;;;
transport;🚌;Asaka 2 Pharmacie;Dcheira El Jihadia;;30.378929;-9.515029;;;
transport;🚌;Hotel De Ville Dcheira;Dcheira El Jihadia;;30.374035;-9.529844;;;
transport;🚌;Azghar;Dcheira El Jihadia;;30.380576;-9.517392;;;
admin;🏛️;Dcheira Hay Ilham;DCHEIRA EL JIHADIA;;30.3637;-9.5269;;;
admin;🏛️;Police judiciaire;Dcheira El Jihadia;;30.371561;-9.533495;;;
loisir;🌿;الفضاء الرياضي الترفيهي;Dcheira El Jihadia;;30.37515;-9.527446;;;
loisir;🌿;الفضاء الرياضي تاسيلا;Dcheira El Jihadia;;30.382337;-9.521936;;;
loisir;🌿;Ahmed Fana Stadium;Dcheira El Jihadia;;30.367116;-9.531505;;;
loisir;🌿;ملعب والحوري;Dcheira El Jihadia;;30.375251;-9.532978;;;
