Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;Conjunto residencial Andalusia 03;Dcheira El Jihadia, Agadir;;30.371735;-9.519943;;;
transport;🚌;Estación de autobuses de Inezgane;RN10, Inezgane;;30.359746;-9.527025;;;Autocares a todos los destinos
marche;🛒;Zoco de Inezgane (mercado del martes);Inezgane;;30.359344;-9.530888;;;Gran zoco semanal
aeroport;✈️;Aeropuerto Al Massira;Agadir;4.0;30.3811;-9.5462;;+212 5 28 83 91 22;Aeropuerto internacional
parc;🐊;Crocoparc;Drarga;;30.389379;-9.484029;;;Parque de cocodrilos y jardines
ecole;🎓;Facultad de Medicina – Universidad Ibn Zohr;RN1, El Houda, Agadir;;30.406885;-9.533029;;;Campus universitario
medina;🏛️;Medina de Agadir;;;30.3785;-9.5725;;;Medina artesanal (Coco Polizzi)
magasin;🛒;Marjane Agadir;Bd Mohammed VI, Founty;;30.394457;-9.580797;;;Hipermercado y galería
stade;🏟️;Estadio Adrar;;;30.4274;-9.5403;;;Gran estadio de Agadir
hopital;🏥;Hospital Hassan II;Av. Hassan II Agadir;3.5;30.4042;-9.5811;;+212 5 28 84 13 51;Hospital regional
medina;🏛️;Souk El Had;Agadir;4.4;30.4198;-9.5897;;;El zoco más grande de Agadir
musee;🖼️;Museo del Patrimonio Amazigh;;;30.416;-9.5971;;;Cultura amazigh
parc;🌳;Jardín de Olhão;;;30.4247;-9.5971;;;Jardín público
parc;🐦;Valle de los Pájaros;;;30.4196;-9.6021;;;Parque de aves gratuito
marina;⚓;Marina de Agadir;;;30.4224;-9.6177;;;Puerto deportivo y restaurantes
plage;🏖️;Playa de Agadir;Corniche de Agadir;4.5;30.4278;-9.6189;;;Playa principal
monument;🏰;Kasbah Agadir Oufella;;;30.4297;-9.6248;;;Fortaleza histórica, vistas
