Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;Al Arifane Apartments (R+2);Dcheira El Jihadia;;30.376258;-9.5315;;;
ecole;🎓;School الأدارسة;Dcheira El Jihadia;;30.376273;-9.532676;;;
ecole;🎓;School إبن الفارض;Dcheira El Jihadia;;30.373239;-9.528266;;;
ecole;🎓;SALAM School;Dcheira El Jihadia;;30.372606;-9.537068;;;
ecole;🎓;Allal Al Fassi High School;Dcheira El Jihadia;;30.37173;-9.536441;;;
ecole;🎓;Moussa Ben El Housseine School;Dcheira El Jihadia;;30.371729;-9.537133;;;
ecole;🎓;Al Firdaous Middle School;Dcheira El Jihadia;;30.368944;-9.527954;;;
ecole;🎓;KHALID BNOU AL WALID School;Dcheira El Jihadia;;30.368657;-9.528608;;;
ecole;🎓;Saadiyine School;Dcheira El Jihadia;;30.369894;-9.538619;;;
ecole;🎓;Imam Al Boukhari School;Dcheira El Jihadia;;30.375806;-9.541818;;;
ecole;🎓;Allal Ben Abdellah School;Dcheira El Jihadia;;30.365636;-9.530898;;;
ecole;🎓;Oume Al-Mouminine School;Dcheira El Jihadia;;30.369545;-9.541598;;;
ecole;🎓;2O AOUT School;Dcheira El Jihadia;;30.366584;-9.524861;;;
ecole;🎓;Cadi Ayyad Middle School;Dcheira El Jihadia;;30.370186;-9.542693;;;
ecole;🎓;Homman El Fetouaki High School;Dcheira El Jihadia;;30.365069;-9.528314;;;
ecole;🎓;Enahda School;Dcheira El Jihadia;;30.365597;-9.536741;;;
ecole;🎓;18 Novembre School;Dcheira El Jihadia;;30.375828;-9.545218;;;
ecole;🎓;Bouchouariyine Middle School;Dcheira El Jihadia;;30.376481;-9.545598;;;
ecole;🎓;Ibn Nafiss School;Dcheira El Jihadia;;30.364964;-9.536756;;;
ecole;🎓;Omar El Khayame High School;Dcheira El Jihadia;;30.365903;-9.539275;;;
ecole;🎓;IBN HAZM School;Dcheira El Jihadia;;30.364099;-9.52367;;;
pharmacie;💊;Tabarin Pharmacy;Dcheira El Jihadia;;30.374963;-9.53233;;;
pharmacie;💊;Hay Sbai Pharmacy;Dcheira El Jihadia;;30.376884;-9.534314;;;
pharmacie;💊;Hammam Aachak Pharmacy;Dcheira El Jihadia;;30.373974;-9.535583;;;
