Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;Apartamentos Al Arifane (R+2);Dcheira El Jihadia;;30.376258;-9.5315;;;
ecole;🎓;Escuela الأدارسة;Dcheira El Jihadia;;30.376273;-9.532676;;;
ecole;🎓;Escuela إبن الفارض;Dcheira El Jihadia;;30.373239;-9.528266;;;
ecole;🎓;Escuela SALAM;Dcheira El Jihadia;;30.372606;-9.537068;;;
ecole;🎓;Instituto Allal Al Fassi;Dcheira El Jihadia;;30.37173;-9.536441;;;
ecole;🎓;Escuela Moussa Ben El Housseine;Dcheira El Jihadia;;30.371729;-9.537133;;;
ecole;🎓;Colegio Al Firdaous;Dcheira El Jihadia;;30.368944;-9.527954;;;
ecole;🎓;Escuela KHALID BNOU AL WALID;Dcheira El Jihadia;;30.368657;-9.528608;;;
ecole;🎓;Escuela Saadiyine;Dcheira El Jihadia;;30.369894;-9.538619;;;
ecole;🎓;Escuela Imam Al Boukhari;Dcheira El Jihadia;;30.375806;-9.541818;;;
ecole;🎓;Escuela Allal Ben Abdellah;Dcheira El Jihadia;;30.365636;-9.530898;;;
ecole;🎓;Escuela Oume Al-Mouminine;Dcheira El Jihadia;;30.369545;-9.541598;;;
ecole;🎓;Escuela 2O AOUT;Dcheira El Jihadia;;30.366584;-9.524861;;;
ecole;🎓;Colegio Cadi Ayyad;Dcheira El Jihadia;;30.370186;-9.542693;;;
ecole;🎓;Instituto Homman El Fetouaki;Dcheira El Jihadia;;30.365069;-9.528314;;;
ecole;🎓;Escuela Enahda;Dcheira El Jihadia;;30.365597;-9.536741;;;
ecole;🎓;Escuela 18 Novembre;Dcheira El Jihadia;;30.375828;-9.545218;;;
ecole;🎓;Colegio Bouchouariyine;Dcheira El Jihadia;;30.376481;-9.545598;;;
ecole;🎓;Escuela Ibn Nafiss;Dcheira El Jihadia;;30.364964;-9.536756;;;
ecole;🎓;Instituto Omar El Khayame;Dcheira El Jihadia;;30.365903;-9.539275;;;
ecole;🎓;Escuela IBN HAZM;Dcheira El Jihadia;;30.364099;-9.52367;;;
pharmacie;💊;Farmacia Tabarin;Dcheira El Jihadia;;30.374963;-9.53233;;;
pharmacie;💊;Farmacia Hay Sbai;Dcheira El Jihadia;;30.376884;-9.534314;;;
pharmacie;💊;Farmacia Hammam Aachak;Dcheira El Jihadia;;30.373974;-9.535583;;;
pharmacie;💊;Farmacia Fadesa;Dcheira El Jihadia;;30.376858;-9.526668;;;
pharmacie;💊;Farmacia Tafoukt;Dcheira El Jihadia;;30.371745;-9.53277;;;
pharmacie;💊;Farmacia Hay El Mers;Dcheira El Jihadia;;30.371245;-9.528814;;;
pharmacie;💊;Farmacia Principale;Dcheira El Jihadia;;30.371081;-9.535116;;;
pharmacie;💊;Farmacia Najah Igroumai;Dcheira El Jihadia;;30.377499;-9.539162;;;
pharmacie;💊;Farmacia Al Yosr;Dcheira El Jihadia;;30.375559;-9.523505;;;
pharmacie;💊;Farmacia Tilila;Dcheira El Jihadia;;30.374304;-9.53978;;;
pharmacie;💊;Farmacia Titrite;Dcheira El Jihadia;;30.370051;-9.526224;;;
pharmacie;💊;Farmacia Ksima;Dcheira El Jihadia;;30.370359;-9.537296;;;
pharmacie;💊;Farmacia Al Kaoutar;Dcheira El Jihadia;;30.368997;-9.53479;;;
pharmacie;💊;Farmacia Darif;Dcheira El Jihadia;;30.371633;-9.523802;;;
