Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;Bayt Al Mawada;Agadir;;30.381708282802176;-9.468861100000003;;;
transport;🚌;Hay Saada;;;30.3813999;-9.4834113;;;
transport;🚌;Talat Izm;;;30.3790582;-9.480536;;;
transport;🚌;Hay El Hana;;;30.3795025;-9.4788516;;;
transport;🚌;Drarga Centre;;;30.3797432;-9.4745868;;;
transport;🚌;Drarga Lagouira 1;;;30.3800625;-9.4725537;;;
transport;🚌;Drarga Lagouira 2;;;30.3806548;-9.4698662;;;
transport;🚌;Drarga Iguerer;;;30.3812125;-9.4673476;;;
transport;🚌;Douar Talfidi;;;30.3838526;-9.4561976;;;
ecole;🎓;Colegio Lagouira;Al massira;;30.3834373;-9.4715556;;;
pharmacie;💊;Farmacia Sidi Haj Said;Drarga;;30.3791031;-9.4780907;;;
pharmacie;💊;Farmacia Bouloiz;Drarga;;30.3791467;-9.4807774;;;
pharmacie;💊;Farmacia Lagouira;Drarga;;30.3798255;-9.473999;;;
pharmacie;💊;Farmacia Misri;Drarga;;30.38046;-9.4701008;;;
pharmacie;💊;Farmacia Etissir;Drarga;;30.3821136;-9.4797907;;;
pharmacie;💊;Farmacia Drarga;Drarga;;30.3834885;-9.4788257;;;
pharmacie;💊;Farmacia Imam Malik;Drarga;;30.3801817;-9.4728178;;;
pharmacie;💊;Farmacia Nour;Drarga;;30.3813842;-9.4656544;;;
pharmacie;💊;Farmacia Itto;Drargua;;30.3832238;-9.4839112;;;
sante;🏥;Centro de Salud Drarga;;;30.3843982;-9.4807713;;;
sante;🏥;maison d'accochement;Drarga;;30.3841618;-9.4805975;;;
mosquee;🕌;مسجد الامام مالك;;;30.3838858;-9.4802992;;;
ecole;🎓;Escuela Elhanssali;;;30.3850513;-9.4808537;;;
sante;🏥;Centro de Salud;Drarga;;30.3844126;-9.4807666;;;
sante;🏥;maison d'accouchement;Drarga;;30.3841655;-9.4805816;;;
