Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;بيت المودة;أكادير;;30.381708;-9.468861;;;
aeroport;✈️;مطار المسيرة;أكادير;4.0;30.3811;-9.5462;;+212 5 28 83 91 22;مطار دولي
plage;🏖️;شاطئ أكادير;كورنيش أكادير;4.5;30.4278;-9.6189;;;الشاطئ الرئيسي
medina;🏛️;سوق الأحد;أكادير;4.4;30.4198;-9.5897;;;أكبر سوق في أكادير
hopital;🏥;مستشفى الحسن الثاني;شارع الحسن الثاني أكادير;3.5;30.4042;-9.5811;;+212 5 28 84 13 51;مستشفى جهوي
monument;🏰;قصبة أكادير أوفلا;;;30.4297;-9.6248;;;قلعة تاريخية بإطلالة بانورامية
marina;⚓;مارينا أكادير;;;30.4224;-9.6177;;;مرسى ومطاعم
parc;🐦;وادي الطيور;;;30.4196;-9.6021;;;حديقة حيوانات مجانية
musee;🖼️;متحف التراث الأمازيغي;;;30.4160;-9.5971;;;الثقافة الأمازيغية
medina;🏛️;مدينة أكادير العتيقة;;;30.3785;-9.5725;;;المدينة الحرفية
stade;🏟️;ملعب أدرار;;;30.4274;-9.5403;;;الملعب الكبير بأكادير
parc;🌳;حديقة أولهاو;;;30.4247;-9.5971;;;حديقة عمومية
