Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;Dar Ben Cheikh;Agadir;;30.361824;-9.436652;;;
aeroport;✈️;Al Massira Airport;Agadir;4.0;30.3811;-9.5462;;+212 5 28 83 91 22;International airport
plage;🏖️;Agadir Beach;Agadir Corniche;4.5;30.4278;-9.6189;;;Main beach
medina;🏛️;Souk El Had;Agadir;4.4;30.4198;-9.5897;;;Largest souk in Agadir
hopital;🏥;Hassan II Hospital;Hassan II Ave. Agadir;3.5;30.4042;-9.5811;;+212 5 28 84 13 51;Regional hospital
monument;🏰;Agadir Oufella Kasbah;;;30.4297;-9.6248;;;Historic hilltop fortress
marina;⚓;Agadir Marina;;;30.4224;-9.6177;;;Marina & restaurants
parc;🐦;Valley of the Birds;;;30.4196;-9.6021;;;Free bird park
musee;🖼️;Amazigh Heritage Museum;;;30.4160;-9.5971;;;Amazigh culture
medina;🏛️;Agadir Medina;;;30.3785;-9.5725;;;Craft medina (Coco Polizzi)
stade;🏟️;Adrar Stadium;;;30.4274;-9.5403;;;Agadir's grand stadium
parc;🌳;Olhão Garden;;;30.4247;-9.5971;;;Landscaped public garden
