projet;immeuble;niveau;numero_lot;typologie;surface_habitable;surface_balcon;surface_totale;nb_chambres;nb_sdb;orientation;exposition;ascenseur;parking;prix_dh;prix_m2;statut;date_fin_option;plan_fichier;plan_architecte;plan_visuel;visite_360;notes
afrah;;RDC;03-04*01;f3;67.0;0.0;67.0;2;1;rue;;;aucun;670000;10000;vendu;;;;;;Consistance rdc · Façade 1F · Voie 9
afrah;;RDC;03-04*02;f3;39.0;0.0;39.0;2;1;rue;;;aucun;390000;10000;vendu;;;;;;Consistance rdc · Façade 1F · Voie 9
afrah;;RDC;03-04*03;f3;78.0;0.0;78.0;2;1;rue;;;aucun;758500;9724;disponible;;;;;;Consistance rdc · Façade 1F · Voie 9
afrah;;1;03-04*1.1;f3;70.0;0.0;70.0;2;1;rue;;;aucun;700000;10000;vendu;;;;;;Consistance 1ere · Façade 1F · Voie 9
afrah;;1;03-04*1.2;f3;55.0;0.0;55.0;2;1;rue;;;aucun;550000;10000;vendu;;;;;;Consistance 1ere · Façade 1F · Voie 9
afrah;;1;03-04*1.3;f3;71.0;0.0;71.0;2;1;rue;;;aucun;710000;10000;vendu;;;;;;Consistance 1ere · Façade 1F · Voie 9
afrah;;2;03-04*2.1;f3;70.0;0.0;70.0;2;1;rue;;;aucun;700000;10000;vendu;;;;;;Consistance 2eme · Façade 1F · Voie 9
afrah;;2;03-04*2.2;f3;55.0;0.0;55.0;2;1;rue;;;aucun;550000;10000;vendu;;;;;;Consistance 2eme · Façade 1F · Voie 9
afrah;;2;03-04*2.3;f3;71.0;0.0;71.0;2;1;rue;;;aucun;710000;10000;vendu;;;;;;Consistance 2eme · Façade 1F · Voie 9
afrah;;RDC;15-16*04;f3;74.0;0.0;74.0;2;1;rue;;;aucun;716500;9682;vendu;;;;;;Consistance rdc · Façade 1F · Voie 9
afrah;;RDC;15-16*05;f3;75.0;0.0;75.0;2;1;rue;;;aucun;727000;9693;disponible;;;;;;Consistance rdc · Façade 1F · Voie 9
afrah;;RDC;15-16*06;f3;31.0;0.0;31.0;2;1;rue;;;aucun;310000;10000;vendu;;;;;;Consistance rdc · Façade 1F · Voie 9
afrah;;1;15-16*1.4;f3;46.0;0.0;46.0;2;1;rue;;;aucun;460000;10000;vendu;;;;;;Consistance 1ere · Façade 1F · Voie 9
afrah;;1;15-16*1.5;f3;67.0;0.0;67.0;2;1;rue;;;aucun;670000;10000;vendu;;;;;;Consistance 1ere · Façade 1F · Voie 9
afrah;;1;15-16*1.6;f3;66.0;0.0;66.0;2;1;rue;;;aucun;660000;10000;vendu;;;;;;Consistance 1ere · Façade 1F · Voie 9
afrah;;2;15-16*2.4;f3;43.0;0.0;43.0;2;1;rue;;;aucun;430000;10000;reserve;;;;;;Consistance 2eme · Façade 1F · Voie 9
afrah;;2;15-16*2.5;f3;67.0;0.0;67.0;2;1;rue;;;aucun;670000;10000;vendu;;;;;;Consistance 2eme · Façade 1F · Voie 9
afrah;;2;15-16*2.6;f3;66.0;0.0;66.0;2;1;rue;;;aucun;660000;10000;vendu;;;;;;Consistance 2eme · Façade 1F · Voie 9
afrah;;RDC;17-18*0.7;f3;63.0;0.0;63.0;2;1;rue;;;aucun;601000;9539;vendu;;;;;;Consistance rdc · Façade 1F · Voie 9
afrah;;RDC;17-18*0.8;f3;30.0;0.0;30.0;2;1;rue;;;aucun;300000;10000;vendu;;;;;;Consistance rdc · Façade 1F · Voie 9
afrah;;RDC;17-18*0.9;f3;66.0;0.0;66.0;2;1;rue;;;aucun;632500;9583;vendu;;;;;;Consistance rdc · Façade 1F · Voie 9
afrah;;1;17-18*1.7;f3;68.0;0.0;68.0;2;1;rue;;;aucun;680000;10000;vendu;;;;;;Consistance 1ere · Façade 1F · Voie 9
afrah;;1;17-18*1.8;f3;43.0;0.0;43.0;2;1;rue;;;aucun;430000;10000;vendu;;;;;;Consistance 1ere · Façade 1F · Voie 9
afrah;;1;17-18*1.9;f3;55.0;0.0;55.0;2;1;rue;;;aucun;550000;10000;vendu;;;;;;Consistance 1ere · Façade 1F · Voie 9
afrah;;2;17-18*2.7;f3;68.0;0.0;68.0;2;1;rue;;;aucun;680000;10000;vendu;;;;;;Consistance 2eme · Façade 1F · Voie 9
afrah;;2;17-18*2.8;f3;43.0;0.0;43.0;2;1;rue;;;aucun;430000;10000;vendu;;;;;;Consistance 2eme · Façade 1F · Voie 9
afrah;;2;17-18*2.9;f3;68.0;0.0;68.0;2;1;rue;;;aucun;680000;10000;vendu;;;;;;Consistance 2eme · Façade 1F · Voie 9
