projet;immeuble;niveau;numero_lot;typologie;surface_habitable;surface_balcon;surface_totale;nb_chambres;nb_sdb;orientation;exposition;ascenseur;parking;prix_dh;prix_m2;statut;date_fin_option;plan_fichier;plan_architecte;plan_visuel;visite_360;notes
amical;;;11;terrain;95.0;0.0;95.0;0;0;rue;;;aucun;788500;8300;vendu;;;;;;Consistance he2 · Façade 1 · Voie 9
amical;;;12;terrain;81.0;0.0;81.0;0;0;rue;;;aucun;672300;8300;vendu;;;;;;Consistance he2 · Façade 1 · Voie 9
amical;;;15;terrain;96.0;0.0;96.0;0;0;rue;;;aucun;796800;8300;vendu;;;;;;Consistance he2 · Façade 1 · Voie 9
amical;;;17;terrain;82.0;0.0;82.0;0;0;rue;;;aucun;680600;8300;vendu;;;;;;Consistance he2 · Façade 1 · Voie 9
amical;;;21;terrain;89.0;0.0;89.0;0;0;rue;;;aucun;738700;8300;vendu;;;;;;Consistance he2 · Façade 1 · Voie 9
amical;;;26;terrain;100.0;0.0;100.0;0;0;rue;;;aucun;830000;8300;vendu;;;;;;Consistance he2 · Façade 1 · Voie 9
amical;;;28;terrain;82.0;0.0;82.0;0;0;rue;;;aucun;680600;8300;vendu;;;;;;Consistance he2 · Façade 1 · Voie 9
amical;;;32;terrain;80.0;0.0;80.0;0;0;rue;;;aucun;664000;8300;vendu;;;;;;Consistance he2 · Façade 1 · Voie 9
amical;;;34;terrain;80.0;0.0;80.0;0;0;rue;;;aucun;664000;8300;vendu;;;;;;Consistance he2 · Façade 1 · Voie 9
amical;;;36;terrain;80.0;0.0;80.0;0;0;rue;;;aucun;664000;8300;vendu;;;;;;Consistance he2 · Façade 1 · Voie 9
amical;;;5;terrain;82.0;0.0;82.0;0;0;rue;;;aucun;680600;8300;vendu;;;;;;Consistance he2 · Façade 1 · Voie 9
