projet;immeuble;niveau;numero_lot;typologie;surface_habitable;surface_balcon;surface_totale;nb_chambres;nb_sdb;orientation;exposition;ascenseur;parking;prix_dh;prix_m2;statut;date_fin_option;plan_fichier;plan_architecte;plan_visuel;visite_360;notes
andalusia;Malaga;RDC;MAL-RDC-C1;Commerce;46.0;0.0;46.0;0;1;Angle;sud;Oui;Aucun;694000;15087;Disponible;;;;andalusia/plans/malaga.jpeg;;Local commercial d'angle, double vitrine
andalusia;Malaga;RDC;MAL-RDC-C2;Commerce;38.0;0.0;38.0;0;1;Rue;ouest;Oui;Aucun;537000;14132;Disponible;;;;andalusia/plans/malaga.jpeg;;Local commercial avec vitrine sur voie principale
andalusia;Malaga;RDC;MAL-RDC-C3;Commerce;41.0;0.0;41.0;0;1;Rue;ouest;Oui;Aucun;605000;14756;Vendu;;;;andalusia/plans/malaga.jpeg;;Local commercial, reserve et sanitaire
andalusia;Malaga;RDC;MAL-RDC-B1;Bureau;58.0;0.0;58.0;0;1;Cour;nord-est;Oui;Aucun;837000;14431;Disponible;;;;andalusia/plans/malaga.jpeg;;Plateau de bureau modulable, entree independante
andalusia;Malaga;1;MAL-1-01;F3;65.0;8.0;73.0;2;1;Rue;ouest;Oui;box;737000;11338;Disponible;;;;andalusia/plans/malaga.jpeg;;Vue degagee sur les espaces verts
andalusia;Malaga;1;MAL-1-02;F3;65.0;7.5;72.5;2;1;Rue;ouest;Oui;exterieur;720000;11077;Disponible;;;;andalusia/plans/malaga.jpeg;;Balcon filant sur toute la facade
andalusia;Malaga;1;MAL-1-03;F4;92.0;12.0;104.0;3;2;Angle;sud-est;Oui;Aucun;1088000;11826;Disponible;;;;andalusia/plans/malaga.jpeg;;Cuisine equipee, cellier attenant
andalusia;Malaga;1;MAL-1-04;F3;62.0;9.0;71.0;2;1;Cour;nord-est;Oui;sous-sol;672000;10839;Bloque;;;;andalusia/plans/malaga.jpeg;;Sejour traversant, tres lumineux
andalusia;Malaga;1;MAL-1-05;F3;72.0;10.5;82.5;2;2;Double;est;Oui;sous-sol;851000;11819;Disponible;;;;andalusia/plans/malaga.jpeg;;Sejour traversant, tres lumineux
andalusia;Malaga;1;MAL-1-06;F3;70.0;9.5;79.5;2;1;Jardin;sud-est;Oui;box;834000;11914;Disponible;;;;andalusia/plans/malaga.jpeg;;Suite parentale avec salle d'eau privative
andalusia;Malaga;1;MAL-1-07;F3;60.0;8.5;68.5;2;1;Cour;nord-est;Oui;sous-sol;644000;10733;Vendu;;;;andalusia/plans/malaga.jpeg;;Balcon filant sur toute la facade
andalusia;Malaga;1;MAL-1-08;F3;66.0;9.0;75.0;2;1;Rue;sud;Oui;exterieur;728000;11030;Optionne;2026-09-15;;;andalusia/plans/malaga.jpeg;;Etage eleve, calme, sans vis-a-vis
andalusia;Malaga;2;MAL-2-01;F3;65.0;8.0;73.0;2;1;Rue;sud;Oui;sous-sol;758000;11662;Disponible;;;;andalusia/plans/malaga.jpeg;;Etage eleve, calme, sans vis-a-vis
andalusia;Malaga;2;MAL-2-02;F3;65.0;7.5;72.5;2;1;Rue;ouest;Oui;box;755000;11615;Disponible;;;;andalusia/plans/malaga.jpeg;;Balcon filant sur toute la facade
andalusia;Malaga;2;MAL-2-03;F4;92.0;12.0;104.0;3;2;Angle;sud;Oui;sous-sol;1099000;11946;Disponible;;;;andalusia/plans/malaga.jpeg;;Suite parentale avec salle d'eau privative
andalusia;Malaga;2;MAL-2-04;F3;62.0;9.0;71.0;2;1;Cour;nord;Oui;sous-sol;690000;11129;Disponible;;;;andalusia/plans/malaga.jpeg;;Rangements integres dans les deux chambres
andalusia;Malaga;2;MAL-2-05;F3;72.0;10.5;82.5;2;2;Double;ouest;Oui;box;867000;12042;Disponible;;;;andalusia/plans/malaga.jpeg;;Balcon filant sur toute la facade
andalusia;Malaga;2;MAL-2-06;F3;70.0;9.5;79.5;2;1;Jardin;sud;Oui;Aucun;829000;11843;Optionne;2026-09-15;;;andalusia/plans/malaga.jpeg;;Vue degagee sur les espaces verts
andalusia;Malaga;2;MAL-2-07;F3;60.0;8.5;68.5;2;1;Cour;nord-est;Oui;exterieur;650000;10833;Vendu;;;;andalusia/plans/malaga.jpeg;;Suite parentale avec salle d'eau privative
andalusia;Malaga;2;MAL-2-08;F3;66.0;9.0;75.0;2;1;Rue;sud-ouest;Oui;sous-sol;751000;11379;Optionne;2026-09-20;;;andalusia/plans/malaga.jpeg;;Rangements integres dans les deux chambres
andalusia;Malaga;3;MAL-3-01;F3;65.0;8.0;73.0;2;1;Rue;ouest;Oui;Aucun;764000;11754;Disponible;;;;andalusia/plans/malaga.jpeg;;Cuisine equipee, cellier attenant
andalusia;Malaga;3;MAL-3-02;F3;65.0;7.5;72.5;2;1;Rue;ouest;Oui;sous-sol;771000;11862;Disponible;;;;andalusia/plans/malaga.jpeg;;Vue degagee sur les espaces verts
andalusia;Malaga;3;MAL-3-03;F4;92.0;12.0;104.0;3;2;Angle;sud-est;Oui;box;1148000;12478;Disponible;;;;andalusia/plans/malaga.jpeg;;Proche de l'entree pietonne et de la creche
andalusia;Malaga;3;MAL-3-04;F3;62.0;9.0;71.0;2;1;Cour;nord-est;Oui;sous-sol;700000;11290;Optionne;2026-09-24;;;andalusia/plans/malaga.jpeg;;Suite parentale avec salle d'eau privative
andalusia;Malaga;3;MAL-3-05;F3;72.0;10.5;82.5;2;2;Double;ouest;Oui;sous-sol;859000;11931;Disponible;;;;andalusia/plans/malaga.jpeg;;Etage eleve, calme, sans vis-a-vis
andalusia;Malaga;3;MAL-3-06;F3;70.0;9.5;79.5;2;1;Jardin;sud-est;Oui;Aucun;849000;12129;Vendu;;;;andalusia/plans/malaga.jpeg;;Cuisine equipee, cellier attenant
andalusia;Malaga;3;MAL-3-07;F3;60.0;8.5;68.5;2;1;Cour;nord;Oui;sous-sol;666000;11100;Disponible;;;;andalusia/plans/malaga.jpeg;;Suite parentale avec salle d'eau privative
andalusia;Malaga;3;MAL-3-08;F3;66.0;9.0;75.0;2;1;Rue;ouest;Oui;sous-sol;756000;11455;Optionne;2026-09-22;;;andalusia/plans/malaga.jpeg;;Cuisine equipee, cellier attenant
andalusia;Malaga;4;MAL-4-01;F3;65.0;8.0;73.0;2;1;Rue;ouest;Oui;exterieur;789000;12138;Vendu;;;;andalusia/plans/malaga.jpeg;;Vue degagee sur les espaces verts
andalusia;Malaga;4;MAL-4-02;F3;65.0;7.5;72.5;2;1;Rue;ouest;Oui;box;769000;11831;Disponible;;;;andalusia/plans/malaga.jpeg;;Balcon filant sur toute la facade
andalusia;Malaga;4;MAL-4-03;F4;92.0;12.0;104.0;3;2;Angle;sud-est;Oui;exterieur;1152000;12522;Disponible;;;;andalusia/plans/malaga.jpeg;;Sejour traversant, tres lumineux
