projet;immeuble;niveau;numero_lot;typologie;surface_habitable;surface_balcon;surface_totale;nb_chambres;nb_sdb;orientation;exposition;ascenseur;parking;prix_dh;prix_m2;statut;date_fin_option;plan_fichier;plan_architecte;plan_visuel;visite_360;notes
andalusia;A;;A1 01;f4;71.0;0.0;71.0;3;1;rue;;;sous-sol;1064000;14985;vendu;;;;;;Consistance 3 chambre + salon + parking · Façade 1 · Voie 20
andalusia;A;1;A1 02;f3;69.0;0.0;69.0;2;1;rue;;;sous-sol;1001500;14514;vendu;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie 20
andalusia;A;1;A1 03;f3;60.0;0.0;60.0;2;1;rue;;;sous-sol;820000;13666;vendu;;;;;;Consistance 2 chambre + salon + parking · Façade 1 · Voie EV
andalusia;A;1;A1 04;f3;66.0;0.0;66.0;2;1;rue;;;sous-sol;780000;11818;vendu;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie 12
andalusia;A;2;A2 01;f4;71.0;0.0;71.0;3;1;rue;;;sous-sol;1064000;14985;vendu;;;;;;Consistance 3 chambre + salon + parking · Façade 1 · Voie 20
andalusia;A;2;A2 02;f3;70.0;0.0;70.0;2;1;angle;;;sous-sol;1050000;15000;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 2 FACADE · Voie 20
andalusia;A;2;A2 03;f3;60.0;0.0;60.0;2;1;rue;;;sous-sol;820000;13666;vendu;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie EV
andalusia;A;2;A2 04;f3;65.0;0.0;65.0;2;1;rue;;;sous-sol;700000;10769;vendu;;;;;;Consistance 2 chambre + salon + parking · Façade 1 · Voie 12
andalusia;A;3;A3 01;f4;71.0;0.0;71.0;3;1;rue;;;sous-sol;1064000;14985;vendu;;;;;;Consistance 3 chambre + salon + parking · Façade 1 · Voie 20
andalusia;A;3;A3 02;f3;70.0;0.0;70.0;2;1;angle;;;sous-sol;1050000;15000;vendu;;;;;;Consistance 2 chambre + salon + parking · Façade 2 · Voie 20
andalusia;A;3;A3 03;f3;60.0;0.0;60.0;2;1;rue;;;sous-sol;820000;13666;vendu;;;;;;Consistance 2 chambre + salon + parking · Façade 1 · Voie EV
andalusia;A;3;A3 04;f3;66.0;0.0;66.0;2;1;rue;;;sous-sol;895000;13560;vendu;;;;;;Consistance 2 chambre + salon + parking · Façade 1 · Voie 10
andalusia;A;4;A4 01;f4;71.0;0.0;71.0;3;1;rue;;;sous-sol;1064000;14985;vendu;;;;;;Consistance 3 chambre + salon + parking · Façade 1F · Voie 20
andalusia;A;4;A4 02;f3;69.0;0.0;69.0;2;1;angle;;;sous-sol;1036000;15014;vendu;;;;;;Consistance 2 chambre + salon + parking · Façade 2F · Voie 20
andalusia;A;4;A4 03;f2;57.0;0.0;57.0;1;1;rue;;;sous-sol;782500;13728;vendu;;;;;;Consistance 1 chambre + salon + parking · Façade 1 · Voie EV
andalusia;A;4;A4 04;f2;60.0;0.0;60.0;1;1;rue;;;sous-sol;820000;13666;vendu;;;;;;Consistance 1 chambre + salon + parking · Façade 1 · Voie 12
andalusia;B;RDC;B0 01;f3;64.0;0.0;64.0;2;1;rue;;;sous-sol;774000;12093;vendu;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie EV
andalusia;B;RDC;B0 02;f3;59.0;0.0;59.0;2;1;rue;;;sous-sol;719000;12186;vendu;;;;;;Consistance 2 chambre + salon + parking · Façade 1 · Voie 10
andalusia;B;RDC;B0 03;f3;64.0;0.0;64.0;2;1;rue;;;sous-sol;774000;12093;vendu;;;;;;Consistance 2 chambre + salon + parking · Façade 1 · Voie EV
andalusia;B;RDC;B0 04;f3;59.0;0.0;59.0;2;1;rue;;;sous-sol;719000;12186;vendu;;;;;;Consistance 2 chambre + salon + parking · Façade 1 · Voie 10
andalusia;B;1;B1 01;f3;65.0;0.0;65.0;2;1;rue;;;sous-sol;700000;10769;vendu;;;;;;Consistance 2 chambre + salon + parking · Façade 1 · Voie 12
andalusia;B;1;B1 02;f3;69.0;0.0;69.0;2;1;rue;;;sous-sol;740000;10724;vendu;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie 12
andalusia;B;1;B1 03;f3;65.0;0.0;65.0;2;1;rue;;;sous-sol;650000;10000;vendu;;;;;;Consistance 2 chambre + salon + parking · Façade 1 · Voie 12
andalusia;B;RDC;B1 04;f3;69.0;0.0;69.0;2;1;rue;;;sous-sol;829000;12014;vendu;;;;;;Consistance 2 chambre + salon + parking · Façade 1 · Voie 10
andalusia;B;2;B2 01;f3;65.0;0.0;65.0;2;1;rue;;;sous-sol;785000;12076;vendu;;;;;;Consistance 2 chambre + salon + parking · Façade 1 · Voie EV
andalusia;B;2;B2 02;f3;69.0;0.0;69.0;2;1;rue;;;sous-sol;740000;10724;vendu;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie 12
