projet;immeuble;niveau;numero_lot;typologie;surface_habitable;surface_balcon;surface_totale;nb_chambres;nb_sdb;orientation;exposition;ascenseur;parking;prix_dh;prix_m2;statut;date_fin_option;plan_fichier;plan_architecte;plan_visuel;visite_360;notes
andalusia_03;A;1;AND3-A-101;f4;84.0;0.0;84.0;3;1;rue;;;sous-sol;1063000;12654;disponible;;;;;;Consistance 3 chambre + salon + parking · Façade 1F · Voie 20
andalusia_03;A;1;AND3-A-102;f4;80.0;0.0;80.0;3;1;rue;;;sous-sol;1015000;12687;disponible;;;;;;Consistance 3 chambre + salon + parking · Façade 1F · Voie 20
andalusia_03;A;1;AND3-A-103;f3;66.0;0.0;66.0;2;1;rue;;;sous-sol;847000;12833;vendu;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie 20
andalusia_03;A;1;AND3-A-104;f3;60.0;0.0;60.0;2;1;rue;;;sous-sol;715000;11916;vendu;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie EV
andalusia_03;A;1;AND3-A-105;f3;60.0;0.0;60.0;2;1;rue;;;sous-sol;715000;11916;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie EV
andalusia_03;A;1;AND3-A-106;f3;53.0;0.0;53.0;2;1;rue;;;sous-sol;691000;13037;vendu;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie PARC
andalusia_03;A;1;AND3-A-107;f3;55.0;0.0;55.0;2;1;rue;;;sous-sol;715000;13000;vendu;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie PARC
andalusia_03;A;1;AND3-A-108;f3;60.0;0.0;60.0;2;1;rue;;;sous-sol;715000;11916;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie PARC
andalusia_03;A;1;AND3-A-109;f3;66.0;0.0;66.0;2;1;rue;;;sous-sol;781000;11833;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie PARC
andalusia_03;A;2;AND3-A-201;f4;84.0;0.0;84.0;3;1;rue;;;sous-sol;1063000;12654;disponible;;;;;;Consistance 3 chambre + salon + parking · Façade 1F · Voie 20
andalusia_03;A;2;AND3-A-202;f4;80.0;0.0;80.0;3;1;rue;;;sous-sol;1015000;12687;disponible;;;;;;Consistance 3 chambre + salon + parking · Façade 1F · Voie 20
andalusia_03;A;2;AND3-A-203;f3;66.0;0.0;66.0;2;1;rue;;;sous-sol;847000;12833;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie 20
andalusia_03;A;2;AND3-A-204;f3;60.0;0.0;60.0;2;1;rue;;;sous-sol;715000;11916;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie EV
andalusia_03;A;2;AND3-A-205;f3;60.0;0.0;60.0;2;1;rue;;;sous-sol;715000;11916;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie EV
andalusia_03;A;2;AND3-A-206;f3;53.0;0.0;53.0;2;1;rue;;;sous-sol;691000;13037;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie PARC
andalusia_03;A;2;AND3-A-207;f3;55.0;0.0;55.0;2;1;rue;;;sous-sol;715000;13000;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie PARC
andalusia_03;A;2;AND3-A-208;f3;60.0;0.0;60.0;2;1;rue;;;sous-sol;715000;11916;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie PARC
andalusia_03;A;2;AND3-A-209;f3;66.0;0.0;66.0;2;1;rue;;;sous-sol;781000;11833;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie PARC
andalusia_03;A;3;AND3-A-301;f4;84.0;0.0;84.0;3;1;rue;;;sous-sol;1063000;12654;disponible;;;;;;Consistance 3 chambre + salon + parking · Façade 1F · Voie 20
andalusia_03;A;3;AND3-A-302;f4;80.0;0.0;80.0;3;1;rue;;;sous-sol;1015000;12687;disponible;;;;;;Consistance 3 chambre + salon + parking · Façade 1F · Voie 20
andalusia_03;A;3;AND3-A-303;f3;66.0;0.0;66.0;2;1;rue;;;sous-sol;847000;12833;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie 20
andalusia_03;A;3;AND3-A-304;f3;60.0;0.0;60.0;2;1;rue;;;sous-sol;715000;11916;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie EV
andalusia_03;A;3;AND3-A-305;f3;60.0;0.0;60.0;2;1;rue;;;sous-sol;715000;11916;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie EV
andalusia_03;A;3;AND3-A-306;f3;53.0;0.0;53.0;2;1;rue;;;sous-sol;691000;13037;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie PARC
andalusia_03;A;3;AND3-A-307;f3;55.0;0.0;55.0;2;1;rue;;;sous-sol;715000;13000;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie PARC
andalusia_03;A;3;AND3-A-308;f3;60.0;0.0;60.0;2;1;rue;;;sous-sol;715000;11916;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie PARC
andalusia_03;A;3;AND3-A-309;f3;66.0;0.0;66.0;2;1;rue;;;sous-sol;781000;11833;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie PARC
andalusia_03;A;4;AND3-A-401;f4;84.0;0.0;84.0;3;1;rue;;;sous-sol;1063000;12654;disponible;;;;;;Consistance 3 chambre + salon + parking · Façade 1F · Voie 20
andalusia_03;A;4;AND3-A-402;f4;80.0;0.0;80.0;3;1;rue;;;sous-sol;1015000;12687;disponible;;;;;;Consistance 3 chambre + salon + parking · Façade 1F · Voie 20
andalusia_03;A;4;AND3-A-403;f3;66.0;0.0;66.0;2;1;rue;;;sous-sol;847000;12833;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie 20
andalusia_03;A;4;AND3-A-404;f3;60.0;0.0;60.0;2;1;rue;;;sous-sol;715000;11916;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie EV
andalusia_03;A;4;AND3-A-405;f3;60.0;0.0;60.0;2;1;rue;;;sous-sol;715000;11916;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie EV
andalusia_03;A;4;AND3-A-406;f3;53.0;0.0;53.0;2;1;rue;;;sous-sol;691000;13037;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie PARC
andalusia_03;A;4;AND3-A-407;f3;55.0;0.0;55.0;2;1;rue;;;sous-sol;715000;13000;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie PARC
andalusia_03;A;4;AND3-A-408;f3;60.0;0.0;60.0;2;1;rue;;;sous-sol;715000;11916;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie PARC
andalusia_03;A;4;AND3-A-409;f3;66.0;0.0;66.0;2;1;rue;;;sous-sol;781000;11833;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie PARC
andalusia_03;B;1;AND3-B-110;f3;65.0;0.0;65.0;2;1;rue;;;sous-sol;835000;12846;reserve;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie 20
andalusia_03;B;1;AND3-B-111;f3;65.0;0.0;65.0;2;1;rue;;;sous-sol;835000;12846;reserve;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie 20
andalusia_03;B;1;AND3-B-112;f4;92.0;0.0;92.0;3;1;angle;;;sous-sol;1159000;12597;reserve;;;;;;Consistance 3 chambre + salon + parking · Façade 2F · Voie 20.13
andalusia_03;B;1;AND3-B-113;f3;70.0;0.0;70.0;2;1;rue;;;sous-sol;825000;11785;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie 13
andalusia_03;B;1;AND3-B-114;f3;66.0;0.0;66.0;2;1;rue;;;sous-sol;781000;11833;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie 13
andalusia_03;B;1;AND3-B-115;f3;60.0;0.0;60.0;2;1;rue;;;sous-sol;715000;11916;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie EV
andalusia_03;B;1;AND3-B-116;f3;72.0;0.0;72.0;2;1;rue;;;sous-sol;847000;11763;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie EV
andalusia_03;B;1;AND3-B-117;f3;62.0;0.0;62.0;2;1;rue;;;sous-sol;737000;11887;vendu;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie EV
andalusia_03;B;2;AND3-B-210;f3;65.0;0.0;65.0;2;1;rue;;;sous-sol;835000;12846;reserve;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie 20
andalusia_03;B;2;AND3-B-211;f3;65.0;0.0;65.0;2;1;rue;;;sous-sol;835000;12846;vendu;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie 20
andalusia_03;B;2;AND3-B-212;f4;92.0;0.0;92.0;3;1;angle;;;sous-sol;1159000;12597;vendu;;;;;;Consistance 3 chambre + salon + parking · Façade 2F · Voie 20.13
andalusia_03;B;2;AND3-B-213;f3;70.0;0.0;70.0;2;1;rue;;;sous-sol;825000;11785;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie 13
andalusia_03;B;2;AND3-B-214;f3;66.0;0.0;66.0;2;1;rue;;;sous-sol;781000;11833;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie 13
andalusia_03;B;2;AND3-B-215;f3;60.0;0.0;60.0;2;1;rue;;;sous-sol;715000;11916;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie EV
andalusia_03;B;2;AND3-B-216;f3;72.0;0.0;72.0;2;1;rue;;;sous-sol;847000;11763;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie EV
andalusia_03;B;2;AND3-B-217;f3;62.0;0.0;62.0;2;1;rue;;;sous-sol;737000;11887;vendu;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie EV
andalusia_03;B;3;AND3-B-310;f3;65.0;0.0;65.0;2;1;rue;;;sous-sol;835000;12846;reserve;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie 20
andalusia_03;B;3;AND3-B-311;f3;65.0;0.0;65.0;2;1;rue;;;sous-sol;835000;12846;reserve;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie 20
andalusia_03;B;3;AND3-B-312;f4;92.0;0.0;92.0;3;1;angle;;;sous-sol;1159000;12597;vendu;;;;;;Consistance 3 chambre + salon + parking · Façade 2F · Voie 20.13
andalusia_03;B;3;AND3-B-313;f3;70.0;0.0;70.0;2;1;rue;;;sous-sol;825000;11785;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie 13
andalusia_03;B;3;AND3-B-314;f3;66.0;0.0;66.0;2;1;rue;;;sous-sol;781000;11833;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie 13
andalusia_03;B;3;AND3-B-315;f3;60.0;0.0;60.0;2;1;rue;;;sous-sol;715000;11916;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie EV
andalusia_03;B;3;AND3-B-316;f3;72.0;0.0;72.0;2;1;rue;;;sous-sol;847000;11763;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie EV
andalusia_03;B;3;AND3-B-317;f3;62.0;0.0;62.0;2;1;rue;;;sous-sol;737000;11887;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie EV
andalusia_03;B;4;AND3-B-410;f3;65.0;0.0;65.0;2;1;rue;;;sous-sol;835000;12846;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie 20
andalusia_03;B;4;AND3-B-411;f3;65.0;0.0;65.0;2;1;rue;;;sous-sol;835000;12846;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie 20
andalusia_03;B;4;AND3-B-412;f4;92.0;0.0;92.0;3;1;angle;;;sous-sol;1159000;12597;disponible;;;;;;Consistance 3 chambre + salon + parking · Façade 2F · Voie 20.13
andalusia_03;B;4;AND3-B-413;f3;53.0;0.0;53.0;2;1;rue;;;sous-sol;825000;15566;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie 13
andalusia_03;B;4;AND3-B-414;f3;54.0;0.0;54.0;2;1;rue;;;sous-sol;781000;14462;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie 13
andalusia_03;B;4;AND3-B-415;f3;60.0;0.0;60.0;2;1;rue;;;sous-sol;715000;11916;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie EV
andalusia_03;B;4;AND3-B-416;f3;72.0;0.0;72.0;2;1;rue;;;sous-sol;847000;11763;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie EV
andalusia_03;B;4;AND3-B-417;f3;62.0;0.0;62.0;2;1;rue;;;sous-sol;737000;11887;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie EV
andalusia_03;C;1;AND3-C-118;f4;87.0;0.0;87.0;3;1;rue;;;sous-sol;1012000;11632;disponible;;;;;;Consistance 3 chambre + salon + parking · Façade 1F · Voie 13
andalusia_03;C;1;AND3-C-119;f4;90.0;0.0;90.0;3;1;rue;;;sous-sol;1045000;11611;vendu;;;;;;Consistance 3 chambre + salon + parking · Façade 1F · Voie 13
andalusia_03;C;1;AND3-C-120;f3;63.0;0.0;63.0;2;1;rue;;;sous-sol;748000;11873;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie 18
andalusia_03;C;1;AND3-C-121;f3;63.0;0.0;63.0;2;1;rue;;;sous-sol;748000;11873;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie 18
andalusia_03;C;1;AND3-C-122;f3;78.0;0.0;78.0;2;1;rue;;;sous-sol;913000;11705;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie PARC
andalusia_03;C;1;AND3-C-123;f4;81.0;0.0;81.0;3;1;rue;;;sous-sol;946000;11679;disponible;;;;;;Consistance 3 chambre + salon + parking · Façade 1F · Voie PARC
andalusia_03;C;2;AND3-C-218;f4;87.0;0.0;87.0;3;1;rue;;;sous-sol;1012000;11632;disponible;;;;;;Consistance 3 chambre + salon + parking · Façade 1F · Voie 13
andalusia_03;C;2;AND3-C-219;f4;90.0;0.0;90.0;3;1;rue;;;sous-sol;1045000;11611;disponible;;;;;;Consistance 3 chambre + salon + parking · Façade 1F · Voie 13
andalusia_03;C;2;AND3-C-220;f3;63.0;0.0;63.0;2;1;rue;;;sous-sol;748000;11873;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie 18
andalusia_03;C;2;AND3-C-221;f3;63.0;0.0;63.0;2;1;rue;;;sous-sol;748000;11873;disponible;;;;;;Consistance 2 chambre + salon + parking · Façade 1F · Voie 18
