projet;immeuble;niveau;numero_lot;typologie;surface_habitable;surface_balcon;surface_totale;nb_chambres;nb_sdb;orientation;exposition;ascenseur;parking;prix_dh;prix_m2;statut;date_fin_option;plan_fichier;plan_architecte;plan_visuel;visite_360;notes
drarga_ahaga;;;01;terrain;91.0;0.0;91.0;0;0;angle;;;aucun;773500;8500;vendu;;;;;;Consistance he2 · Façade 2F · Voie 8-EV
drarga_ahaga;;;02;terrain;89.0;0.0;89.0;0;0;rue;;;aucun;756500;8500;disponible;;;;;;Consistance he2 · Façade 1F · Voie 8
drarga_ahaga;;;03;terrain;89.0;0.0;89.0;0;0;rue;;;aucun;712000;8000;vendu;;;;;;Consistance he2 · Façade 1F · Voie 8
drarga_ahaga;;;04;terrain;89.0;0.0;89.0;0;0;rue;;;aucun;712000;8000;vendu;;;;;;Consistance he2 · Façade 1F · Voie 9
drarga_ahaga;;;05;terrain;89.0;0.0;89.0;0;0;rue;;;aucun;712000;8000;vendu;;;;;;Consistance he2 · Façade 1F · Voie 9
drarga_ahaga;;;06;terrain;90.0;0.0;90.0;0;0;angle;;;aucun;720000;8000;vendu;;;;;;Consistance hc2 · Façade 2F · Voie 9-EV
drarga_ahaga;;;08;terrain;71.0;0.0;71.0;0;0;rue;;;aucun;568000;8000;vendu;;;;;;Consistance he2 · Façade 1F · Voie 8
drarga_ahaga;;;09;terrain;82.0;0.0;82.0;0;0;rue;;;aucun;697000;8500;disponible;;;;;;Consistance he2 · Façade 1 · Voie 9
drarga_ahaga;;;102;terrain;90.0;0.0;90.0;0;0;rue;;;aucun;675000;7500;vendu;;;;;;Consistance hc2 · Façade 1F · Voie 15
drarga_ahaga;;;103;terrain;92.0;0.0;92.0;0;0;rue;;;aucun;690000;7500;vendu;;;;;;Consistance hc2 · Façade 1F · Voie 15
drarga_ahaga;;;104;terrain;90.0;0.0;90.0;0;0;rue;;;aucun;675000;7500;vendu;;;;;;Consistance hc2 · Façade 1F · Voie 15
drarga_ahaga;;;107;terrain;80.0;0.0;80.0;0;0;rue;;;aucun;640000;8000;vendu;;;;;;Consistance he2 · Façade 1F · Voie 9
