projet;immeuble;niveau;numero_lot;typologie;surface_habitable;surface_balcon;surface_totale;nb_chambres;nb_sdb;orientation;exposition;ascenseur;parking;prix_dh;prix_m2;statut;date_fin_option;plan_fichier;plan_architecte;plan_visuel;visite_360;notes
jawhara;A;RDC;A-RDC-01;Commerce;29.0;0.0;29.0;0;1;angle;sud;Oui;Aucun;476000;16414;Bloque;;;;jawhara/plans/immeuble-A.jpg;;Local en pied d'immeuble, forte visibilite
jawhara;A;RDC;A-RDC-02;Commerce;29.7;0.0;29.7;0;1;rue;sud-ouest;Oui;Aucun;462000;15556;Optionne;2026-09-19;;;jawhara/plans/immeuble-A.jpg;;Local en pied d'immeuble, forte visibilite
jawhara;A;RDC;A-RDC-03;Commerce;38.9;0.0;38.9;0;1;rue;sud;Oui;Aucun;607000;15604;Disponible;;;;jawhara/plans/immeuble-A.jpg;;Local commercial avec vitrine sur voie principale
jawhara;A;RDC;A-RDC-04;Commerce;44.1;0.0;44.1;0;1;rue;ouest;Oui;Aucun;679000;15397;Vendu;;;;jawhara/plans/immeuble-A.jpg;;Local d'angle, double vitrine
jawhara;A;RDC;A-RDC-05;Commerce;30.7;0.0;30.7;0;1;rue;ouest;Oui;Aucun;481000;15668;Vendu;;;;jawhara/plans/immeuble-A.jpg;;Local en pied d'immeuble, forte visibilite
jawhara;A;RDC;A-RDC-06;Commerce;55.4;0.0;55.4;0;1;rue;sud-ouest;Oui;Aucun;863000;15578;Disponible;;;;jawhara/plans/immeuble-A.jpg;;Local commercial avec vitrine sur voie principale
jawhara;A;RDC;A-RDC-07;Commerce;40.4;0.0;40.4;0;1;rue;ouest;Oui;Aucun;598000;14802;Vendu;;;;jawhara/plans/immeuble-A.jpg;;Local d'angle, double vitrine
jawhara;A;RDC;A-RDC-08;Commerce;41.0;0.0;41.0;0;1;rue;sud-ouest;Oui;Aucun;617000;15049;Disponible;;;;jawhara/plans/immeuble-A.jpg;;Local commercial avec vitrine sur voie principale
jawhara;A;RDC;A-RDC-09;Commerce;45.6;0.0;45.6;0;1;rue;sud;Oui;Aucun;707000;15504;Disponible;;;;jawhara/plans/immeuble-A.jpg;;Local d'angle, double vitrine
jawhara;A;RDC;A-RDC-10;Commerce;56.6;0.0;56.6;0;1;rue;sud;Oui;Aucun;852000;15053;Disponible;;;;jawhara/plans/immeuble-A.jpg;;Local d'angle, double vitrine
jawhara;A;RDC;A-RDC-11;Commerce;30.1;0.0;30.1;0;1;rue;ouest;Oui;Aucun;455000;15116;Vendu;;;;jawhara/plans/immeuble-A.jpg;;Local commercial avec vitrine sur voie principale
jawhara;A;RDC;A-RDC-12;Commerce;52.8;0.0;52.8;0;1;rue;sud-ouest;Oui;Aucun;795000;15057;Disponible;;;;jawhara/plans/immeuble-A.jpg;;Local d'angle, double vitrine
jawhara;A;RDC;A-RDC-13;Commerce;54.1;0.0;54.1;0;1;rue;sud-ouest;Oui;Aucun;818000;15120;Vendu;;;;jawhara/plans/immeuble-A.jpg;;Local avec reserve et sanitaire
jawhara;A;RDC;A-RDC-14;Commerce;52.7;0.0;52.7;0;1;rue;sud-ouest;Oui;Aucun;807000;15313;Disponible;;;;jawhara/plans/immeuble-A.jpg;;Local en pied d'immeuble, forte visibilite
jawhara;A;RDC;A-RDC-15;Commerce;51.1;0.0;51.1;0;1;rue;sud;Oui;Aucun;766000;14990;Reserve;;;;jawhara/plans/immeuble-A.jpg;;Local d'angle, double vitrine
jawhara;A;RDC;A-RDC-16;Commerce;34.3;0.0;34.3;0;1;rue;ouest;Oui;Aucun;512000;14927;Disponible;;;;jawhara/plans/immeuble-A.jpg;;Local d'angle, double vitrine
jawhara;A;RDC;A-RDC-17;Commerce;41.9;0.0;41.9;0;1;rue;sud;Oui;Aucun;652000;15561;Disponible;;;;jawhara/plans/immeuble-A.jpg;;Local commercial avec vitrine sur voie principale
