projet;immeuble;niveau;numero_lot;typologie;surface_habitable;surface_balcon;surface_totale;nb_chambres;nb_sdb;orientation;exposition;ascenseur;parking;prix_dh;prix_m2;statut;date_fin_option;plan_fichier;plan_architecte;plan_visuel;visite_360;notes
jawhara;A;RDC;A-RDC-01;Commerce;46.0;0.0;46.0;0;1;Rue;Sud-Ouest;Oui;Aucun;687000;14935;Vendu;;;;;;Local d'angle avec vitrine sur la voie principale
jawhara;A;RDC;A-RDC-02;Commerce;46.0;0.0;46.0;0;1;Rue;Sud-Ouest;Oui;Aucun;687000;14935;Reserve;;;;;;
jawhara;A;RDC;A-RDC-03;F2;61.5;7.0;68.5;1;1;Jardin;Nord-Est;Oui;Exterieur;578000;9398;Vendu;;images/projects/jawhara/plans/f2.png;;;;
jawhara;A;RDC;A-RDC-04;F2;63.0;7.0;70.0;1;1;Jardin;Nord-Est;Oui;Exterieur;592000;9397;Vendu;;images/projects/jawhara/plans/f2.png;;;;
jawhara;A;1;A-1-01;F3;84.0;9.5;93.5;2;2;Rue;Sud-Ouest;Oui;Sous-sol;803000;9560;Vendu;;images/projects/jawhara/plans/f3.png;;;;
jawhara;A;1;A-1-02;F2;61.5;7.0;68.5;1;1;Rue;Sud-Ouest;Oui;Sous-sol;607000;9870;Optionne;2026-08-14;images/projects/jawhara/plans/f2.png;;;;
jawhara;A;1;A-1-03;F3;84.0;9.5;93.5;2;2;Cour;Nord-Est;Oui;Sous-sol;780000;9286;Vendu;;images/projects/jawhara/plans/f3.png;;;;
jawhara;A;1;A-1-04;F4;109.5;12.0;121.5;3;2;Cour;Nord-Est;Oui;Sous-sol;994000;9078;Disponible;;images/projects/jawhara/plans/f4.png;;;;
jawhara;A;2;A-2-01;F3;84.0;9.5;93.5;2;2;Rue;Sud-Ouest;Oui;Sous-sol;819000;9750;Reserve;;images/projects/jawhara/plans/f3.png;;;;
jawhara;A;2;A-2-02;F2;61.5;7.0;68.5;1;1;Rue;Sud-Ouest;Oui;Sous-sol;619000;10065;Disponible;;images/projects/jawhara/plans/f2.png;;;;
jawhara;A;2;A-2-03;F3;84.0;9.5;93.5;2;2;Cour;Nord-Est;Oui;Sous-sol;795000;9464;Disponible;;images/projects/jawhara/plans/f3.png;;;;
jawhara;A;2;A-2-04;F4;109.5;12.0;121.5;3;2;Cour;Nord-Est;Oui;Sous-sol;1014000;9260;Disponible;;images/projects/jawhara/plans/f4.png;;;;Vue degagee sur le jardin interieur
