projet;immeuble;niveau;numero_lot;typologie;surface_habitable;surface_balcon;surface_totale;nb_chambres;nb_sdb;orientation;exposition;ascenseur;parking;prix_dh;prix_m2;statut;date_fin_option;plan_fichier;plan_architecte;plan_visuel;visite_360;notes
jawhara;;;ECOLE PRV;f3;578.0;0.0;578.0;2;1;rue;;;aucun;1;0;disponible;;;;;;Consistance imm n · Façade ** · Voie **
jawhara;A;RDC;J3-A-001;f3;67.0;0.0;67.0;2;1;rue;;;aucun;737000;11000;disponible;;;;;;Consistance imm a · Façade F.P · Voie F.P
jawhara;A;1;J3-A-101;f3;98.0;0.0;98.0;2;1;rue;;;aucun;1078000;11000;disponible;;;;;;Consistance imm a · Façade F.P · Voie F.P
jawhara;A;1;J3-A-104;f3;71.0;0.0;71.0;2;1;rue;;;aucun;781000;11000;disponible;;;;;;Consistance imm a · Façade F.P · Voie F.P
jawhara;A;3;J3-A-301;f3;98.0;0.0;98.0;2;1;rue;;;aucun;1078000;11000;disponible;;;;;;Consistance imm a · Façade F.P · Voie F.P
jawhara;A;3;J3-A-302;f3;66.0;0.0;66.0;2;1;rue;;;aucun;693000;10500;disponible;;;;;;Consistance imm a · Façade F.A · Voie F.A
jawhara;A;3;J3-A-303;f3;69.0;0.0;69.0;2;1;rue;;;aucun;759000;11000;disponible;;;;;;Consistance imm a · Façade F.P · Voie F.P
jawhara;A;3;J3-A-305;f3;76.0;0.0;76.0;2;1;rue;;;aucun;836000;11000;disponible;;;;;;Consistance imm a · Façade F.P · Voie F.P
jawhara;B;RDC;J3-B-005;f3;57.0;0.0;57.0;2;1;rue;;;aucun;598500;10500;disponible;;;;;;Consistance imm b · Façade F.A · Voie F.A
jawhara;B;RDC;J3-B-006;f3;60.0;0.0;60.0;2;1;rue;;;aucun;630000;10500;disponible;;;;;;Consistance imm b · Façade F.A · Voie F.A
jawhara;B;1;J3-B-109;f3;61.0;0.0;61.0;2;1;rue;;;aucun;640500;10500;disponible;;;;;;Consistance imm b · Façade F.A · Voie F.A
jawhara;B;2;J3-B-208;f3;79.0;0.0;79.0;2;1;rue;;;aucun;829500;10500;disponible;;;;;;Consistance imm b · Façade F.A · Voie F.A
jawhara;B;3;J3-B-307;f3;63.0;0.0;63.0;2;1;rue;;;aucun;661500;10500;disponible;;;;;;Consistance imm b · Façade F.A · Voie F.A
jawhara;B;3;J3-B-308;f3;79.0;0.0;79.0;2;1;rue;;;aucun;829500;10500;disponible;;;;;;Consistance imm b · Façade F.A · Voie F.A
jawhara;C;1;J3-C-111;f3;54.0;0.0;54.0;2;1;rue;;;aucun;594000;11000;vendu;;;;;;Consistance imm c · Façade F.P · Voie F.P
jawhara;C;1;J3-C-116;f3;61.0;0.0;61.0;2;1;rue;;;aucun;671000;11000;reserve;;;;;;Consistance imm c · Façade F.P · Voie F.P
jawhara;C;2;J3-C-216;f3;61.0;0.0;61.0;2;1;rue;;;aucun;671000;11000;reserve;;;;;;Consistance imm c · Façade F.P · Voie F.P
jawhara;C;3;J3-C-316;f3;61.0;0.0;61.0;2;1;rue;;;aucun;671000;11000;disponible;;;;;;Consistance imm c · Façade F.P · Voie F.P
jawhara;D;RDC;J3-D-010;f3;61.0;0.0;61.0;2;1;rue;;;aucun;640500;10500;disponible;;;;;;Consistance imm d · Façade F.A · Voie F.A
jawhara;D;RDC;J3-D-012;f3;44.0;0.0;44.0;2;1;rue;;;aucun;462000;10500;reserve;;;;;;Consistance imm d · Façade F.A · Voie F.A
jawhara;D;1;J3-D-118;f3;56.0;0.0;56.0;2;1;rue;;;aucun;588000;10500;vendu;;;;;;Consistance imm d · Façade F.A · Voie F.A
jawhara;D;3;J3-D-317;f3;63.0;0.0;63.0;2;1;rue;;;aucun;693000;11000;disponible;;;;;;Consistance imm d · Façade F.P · Voie F.P
jawhara;D;3;J3-D-319;f3;59.0;0.0;59.0;2;1;rue;;;aucun;619500;10500;disponible;;;;;;Consistance imm d · Façade F.A · Voie F.A
jawhara;D;3;J3-D-320;f3;52.0;0.0;52.0;2;1;rue;;;aucun;546000;10500;disponible;;;;;;Consistance imm d · Façade F.A · Voie F.A
jawhara;D;3;J3-D-321;f3;63.0;0.0;63.0;2;1;rue;;;aucun;693000;11000;disponible;;;;;;Consistance imm d · Façade F.P · Voie F.P
jawhara;E;RDC;J3-E-013;f3;59.0;0.0;59.0;2;1;rue;;;aucun;619500;10500;disponible;;;;;;Consistance imm e · Façade F.A · Voie F.A
jawhara;E;1;J3-E-123;f3;55.0;0.0;55.0;2;1;rue;;;aucun;577500;10500;vendu;;;;;;Consistance imm e · Façade F.A · Voie F.A
jawhara;E;2;J3-E-223;f3;55.0;0.0;55.0;2;1;rue;;;aucun;577500;10500;disponible;;;;;;Consistance imm e · Façade F.A · Voie F.A
jawhara;E;3;J3-E-323;f3;55.0;0.0;55.0;2;1;rue;;;aucun;577500;10500;disponible;;;;;;Consistance imm e · Façade F.A · Voie F.A
jawhara;E;3;J3-E-324;f3;59.0;0.0;59.0;2;1;rue;;;aucun;619500;10500;disponible;;;;;;Consistance imm e · Façade F.A · Voie F.A
jawhara;E;3;J3-E-325;f3;54.0;0.0;54.0;2;1;rue;;;aucun;567000;10500;disponible;;;;;;Consistance imm e · Façade F.A · Voie F.A
jawhara;E;3;J3-E-326;f3;61.0;0.0;61.0;2;1;rue;;;aucun;671000;11000;disponible;;;;;;Consistance imm e · Façade F.A · Voie F.A
jawhara;F;RDC;J3-F-016;f3;58.0;0.0;58.0;2;1;rue;;;aucun;609000;10500;vendu;;;;;;Consistance imm f · Façade F.A · Voie F.A
jawhara;F;RDC;J3-F-017;f3;54.0;0.0;54.0;2;1;rue;;;aucun;567000;10500;disponible;;;;;;Consistance imm f · Façade F.A · Voie F.A
jawhara;F;1;J3-F-128;f3;53.0;0.0;53.0;2;1;rue;;;aucun;556500;10500;disponible;;;;;;Consistance imm f · Façade F.A · Voie F.A
