projet;immeuble;niveau;numero_lot;typologie;surface_habitable;surface_balcon;surface_totale;nb_chambres;nb_sdb;orientation;exposition;ascenseur;parking;prix_dh;prix_m2;statut;date_fin_option;plan_fichier;plan_architecte;plan_visuel;visite_360;notes
kb;;1;1-01;f3;97.0;0.0;97.0;2;1;rue;;;aucun;1195500;12324;vendu;;;;;;Consistance he · Façade 1 · Voie 20
kb;;1;1-02;f3;105.0;0.0;105.0;2;1;rue;;;aucun;1207500;11500;disponible;;;;;;Consistance he · Façade 1 · Voie 20
kb;;1;1-03;f3;91.0;0.0;91.0;2;1;rue;;;aucun;1126500;12379;disponible;;;;;;Consistance he · Façade 1 · Voie 20
kb;;1;1-04;f3;107.0;0.0;107.0;2;1;angle;;;aucun;1444500;13500;disponible;;;;;;Consistance he · Façade 2F · Voie 20-20
kb;;1;1-05;f3;72.0;0.0;72.0;2;1;rue;;;aucun;888000;12333;disponible;;;;;;Consistance he · Façade 1 · Voie 20
kb;;1;1-06;f3;89.0;0.0;89.0;2;1;rue;;;aucun;1078500;12117;disponible;;;;;;Consistance he · Façade 1 · Voie 20
kb;;1;1-07;f3;86.0;0.0;86.0;2;1;rue;;;aucun;963000;11197;disponible;;;;;;Consistance he · Façade -- · Voie COUR
kb;;1;1-08;f3;51.0;0.0;51.0;2;1;rue;;;aucun;875500;17166;vendu;;;;;;Consistance he · Façade -- · Voie COUR
kb;;1;1-09;f3;47.0;0.0;47.0;2;1;rue;;;aucun;833500;17734;disponible;;;;;;Consistance he · Façade -- · Voie COUR
kb;;2;2-01;f3;97.0;0.0;97.0;2;1;rue;;;aucun;1115500;11500;vendu;;;;;;Consistance he · Façade 1 · Voie 20
kb;;2;2-02;f3;105.0;0.0;105.0;2;1;rue;;;aucun;1207500;11500;vendu;;;;;;Consistance he · Façade 1 · Voie 20
kb;;2;2-03;f3;91.0;0.0;91.0;2;1;rue;;;aucun;1046500;11500;vendu;;;;;;Consistance he · Façade 1 · Voie 20
kb;;2;2-04;f3;107.0;0.0;107.0;2;1;angle;;;aucun;1444500;13500;disponible;;;;;;Consistance he · Façade 2F · Voie 20-20
kb;;2;2-05;f3;72.0;0.0;72.0;2;1;rue;;;aucun;828000;11500;vendu;;;;;;Consistance he · Façade 1 · Voie 20
kb;;2;2-06;f3;72.0;0.0;72.0;2;1;rue;;;aucun;1023500;14215;disponible;;;;;;Consistance he · Façade 1 · Voie 20
kb;;2;2-07;f3;86.0;0.0;86.0;2;1;rue;;;aucun;903000;10500;disponible;;;;;;Consistance he · Façade -- · Voie COUR
kb;;2;2-08;f3;51.0;0.0;51.0;2;1;rue;;;aucun;535500;10500;disponible;;;;;;Consistance he · Façade -- · Voie COUR
kb;;2;2-09;f3;47.0;0.0;47.0;2;1;rue;;;aucun;493500;10500;vendu;;;;;;Consistance he · Façade -- · Voie COUR
kb;;3;3-01;f3;97.0;0.0;97.0;2;1;rue;;;aucun;1115500;11500;disponible;;;;;;Consistance he · Façade 1 · Voie 20
kb;;3;3-02;f3;105.0;0.0;105.0;2;1;rue;;;aucun;1207500;11500;vendu;;;;;;Consistance he · Façade 1 · Voie 20
kb;;3;3-03;f3;91.0;0.0;91.0;2;1;rue;;;aucun;1046500;11500;vendu;;;;;;Consistance he · Façade 1 · Voie 20
kb;;3;3-04;f3;107.0;0.0;107.0;2;1;angle;;;aucun;1444500;13500;disponible;;;;;;Consistance he · Façade 2F · Voie 20-20
kb;;3;3-05;f3;72.0;0.0;72.0;2;1;rue;;;aucun;828000;11500;vendu;;;;;;Consistance he · Façade 1 · Voie 20
kb;;3;3-06;f3;89.0;0.0;89.0;2;1;rue;;;aucun;1023500;11500;disponible;;;;;;Consistance he · Façade 1 · Voie 20
kb;;3;3-07;f3;86.0;0.0;86.0;2;1;rue;;;aucun;903000;10500;disponible;;;;;;Consistance he · Façade -- · Voie COUR
kb;;3;3-08;f3;51.0;0.0;51.0;2;1;rue;;;aucun;535500;10500;vendu;;;;;;Consistance he · Façade -- · Voie COUR
kb;;3;3-09;f3;47.0;0.0;47.0;2;1;rue;;;aucun;493500;10500;vendu;;;;;;Consistance he · Façade -- · Voie COUR
kb;;4;4-01;f3;97.0;0.0;97.0;2;1;rue;;;aucun;1115500;11500;disponible;;;;;;Consistance he · Façade 1 · Voie 20
kb;;4;4-02;f3;105.0;0.0;105.0;2;1;rue;;;aucun;1207500;11500;disponible;;;;;;Consistance he · Façade 1 · Voie 20
kb;;4;4-03;f3;91.0;0.0;91.0;2;1;rue;;;aucun;1046500;11500;disponible;;;;;;Consistance he · Façade 1 · Voie 20
kb;;4;4-04;f3;107.0;0.0;107.0;2;1;angle;;;aucun;1444500;13500;disponible;;;;;;Consistance he · Façade 2F · Voie 20-20
kb;;4;4-05;f3;72.0;0.0;72.0;2;1;rue;;;aucun;828000;11500;disponible;;;;;;Consistance he · Façade 1 · Voie 20
