projet;immeuble;niveau;numero_lot;typologie;surface_habitable;surface_balcon;surface_totale;nb_chambres;nb_sdb;orientation;exposition;ascenseur;parking;prix_dh;prix_m2;statut;date_fin_option;plan_fichier;plan_architecte;plan_visuel;visite_360;notes
nassime_timersit;;;01;terrain;81.0;0.0;81.0;0;0;angle;;;aucun;607500;7500;disponible;;;;;;Consistance hc2 · Façade 2F · Voie 20-15
nassime_timersit;;;02;terrain;80.0;0.0;80.0;0;0;rue;;;aucun;560000;7000;disponible;;;;;;Consistance hc2 · Façade 1F · Voie 20
nassime_timersit;;;03;terrain;80.0;0.0;80.0;0;0;rue;;;aucun;560000;7000;disponible;;;;;;Consistance hc2 · Façade 1F · Voie 20
nassime_timersit;;;04;terrain;82.0;0.0;82.0;0;0;rue;;;aucun;492000;6000;disponible;;;;;;Consistance he2 · Façade 1F · Voie 10
nassime_timersit;;;05;terrain;80.0;0.0;80.0;0;0;rue;;;aucun;480000;6000;disponible;;;;;;Consistance he2 · Façade 1F · Voie 10
nassime_timersit;;;06;terrain;81.0;0.0;81.0;0;0;angle;;;aucun;607500;7500;disponible;;;;;;Consistance hc2 · Façade 2F · Voie 15-10
nassime_timersit;;;07;terrain;82.0;0.0;82.0;0;0;angle;;;aucun;615000;7500;disponible;;;;;;Consistance hc2 · Façade 2F · Voie 15-10
nassime_timersit;;;08;terrain;89.0;0.0;89.0;0;0;rue;;;aucun;578500;6500;disponible;;;;;;Consistance hc2 · Façade 1F · Voie 15
nassime_timersit;;;09;terrain;95.0;0.0;95.0;0;0;rue;;;aucun;617500;6500;disponible;;;;;;Consistance hc2 · Façade 1F · Voie 15
nassime_timersit;;;10;terrain;100.0;0.0;100.0;0;0;rue;;;aucun;650000;6500;disponible;;;;;;Consistance hc2 · Façade 1F · Voie 15
nassime_timersit;;;11;terrain;80.0;0.0;80.0;0;0;angle;;;aucun;560000;7000;disponible;;;;;;Consistance he2 · Façade 2F · Voie 10-10
nassime_timersit;;;12;terrain;81.0;0.0;81.0;0;0;rue;;;aucun;486000;6000;disponible;;;;;;Consistance he2 · Façade 1F · Voie 10
nassime_timersit;;;13;terrain;81.0;0.0;81.0;0;0;rue;;;aucun;486000;6000;disponible;;;;;;Consistance he2 · Façade 1F · Voie 10
nassime_timersit;;;14;terrain;80.0;0.0;80.0;0;0;rue;;;aucun;480000;6000;disponible;;;;;;Consistance he2 · Façade 1F · Voie 10
nassime_timersit;;;15;terrain;109.0;0.0;109.0;0;0;rue;;;aucun;708500;6500;disponible;;;;;;Consistance hc2 · Façade 1F · Voie 12
nassime_timersit;;;16;terrain;107.0;0.0;107.0;0;0;rue;;;aucun;695500;6500;disponible;;;;;;Consistance hc2 · Façade 1F · Voie 12
nassime_timersit;;;17;terrain;93.0;0.0;93.0;0;0;rue;;;aucun;604500;6500;disponible;;;;;;Consistance hc2 · Façade 1F · Voie 12
nassime_timersit;;;18;terrain;82.0;0.0;82.0;0;0;angle;;;aucun;615000;7500;disponible;;;;;;Consistance hc2 · Façade 2F · Voie 12-12
nassime_timersit;;;19;terrain;82.0;0.0;82.0;0;0;angle;;;aucun;615000;7500;disponible;;;;;;Consistance hc2 · Façade 2F · Voie 12-12
nassime_timersit;;;20;terrain;82.0;0.0;82.0;0;0;angle;;;aucun;615000;7500;disponible;;;;;;Consistance hc2 · Façade 2F · Voie P20-12
nassime_timersit;;;21;terrain;91.0;0.0;91.0;0;0;rue;;;aucun;591500;6500;disponible;;;;;;Consistance hc2 · Façade 1F · Voie 12
nassime_timersit;;;22;terrain;80.0;0.0;80.0;0;0;rue;;;aucun;520000;6500;disponible;;;;;;Consistance hc2 · Façade 1F · Voie P20
nassime_timersit;;;23;terrain;80.0;0.0;80.0;0;0;rue;;;aucun;520000;6500;disponible;;;;;;Consistance hc2 · Façade 1F · Voie 12
nassime_timersit;;;24;terrain;80.0;0.0;80.0;0;0;rue;;;aucun;520000;6500;disponible;;;;;;Consistance hc2 · Façade 1F · Voie P20
nassime_timersit;;;25;terrain;80.0;0.0;80.0;0;0;rue;;;aucun;520000;6500;disponible;;;;;;Consistance hc2 · Façade 1F · Voie 12
nassime_timersit;;;26;terrain;80.0;0.0;80.0;0;0;rue;;;aucun;520000;6500;disponible;;;;;;Consistance hc2 · Façade 1F · Voie P20
nassime_timersit;;;27;terrain;110.0;0.0;110.0;0;0;rue;;;aucun;770000;7000;disponible;;;;;;Consistance hc2 · Façade 1F · Voie 12
nassime_timersit;;;28;terrain;80.0;0.0;80.0;0;0;rue;;;aucun;560000;7000;disponible;;;;;;Consistance hc2 · Façade 1F · Voie P20
nassime_timersit;;;29;terrain;87.0;0.0;87.0;0;0;rue;;;aucun;609000;7000;disponible;;;;;;Consistance hc2 · Façade 1F · Voie P20
nassime_timersit;;;30;terrain;81.0;0.0;81.0;0;0;rue;;;aucun;486000;6000;disponible;;;;;;Consistance he2 · Façade 1F · Voie 10
nassime_timersit;;;31;terrain;80.0;0.0;80.0;0;0;rue;;;aucun;520000;6500;disponible;;;;;;Consistance hc2 · Façade 1F · Voie P20
nassime_timersit;;;32;terrain;80.0;0.0;80.0;0;0;rue;;;aucun;480000;6000;disponible;;;;;;Consistance he2 · Façade 1F · Voie 10
nassime_timersit;;;33;terrain;84.0;0.0;84.0;0;0;angle;;;aucun;630000;7500;disponible;;;;;;Consistance hc2 · Façade 2F · Voie P20-10
nassime_timersit;;;34;terrain;84.0;0.0;84.0;0;0;angle;;;aucun;546000;6500;disponible;;;;;;Consistance he2 · Façade 2F · Voie 10-10
nassime_timersit;;;35;terrain;90.0;0.0;90.0;0;0;angle;;;aucun;585000;6500;disponible;;;;;;Consistance he2 · Façade 2F · Voie 10-10
nassime_timersit;;;36;terrain;87.0;0.0;87.0;0;0;angle;;;aucun;565500;6500;disponible;;;;;;Consistance he2 · Façade 2F · Voie 10-10
nassime_timersit;;;37;terrain;84.0;0.0;84.0;0;0;rue;;;aucun;504000;6000;disponible;;;;;;Consistance he2 · Façade 1F · Voie 10
nassime_timersit;;;38;terrain;84.0;0.0;84.0;0;0;rue;;;aucun;504000;6000;disponible;;;;;;Consistance he2 · Façade 1F · Voie 10
nassime_timersit;;;39;terrain;82.0;0.0;82.0;0;0;rue;;;aucun;492000;6000;disponible;;;;;;Consistance he2 · Façade 1F · Voie 10
