projet;immeuble;niveau;numero_lot;typologie;surface_habitable;surface_balcon;surface_totale;nb_chambres;nb_sdb;orientation;exposition;ascenseur;parking;prix_dh;prix_m2;statut;date_fin_option;plan_fichier;plan_architecte;plan_visuel;visite_360;notes
tamount;;;1;terrain;73.0;0.0;73.0;0;0;rue;;;aucun;328500;4500;disponible;;;;;;Consistance he2 · Façade 1 · Voie EV
tamount;;;10;terrain;70.0;0.0;70.0;0;0;rue;;;aucun;280000;4000;disponible;;;;;;Consistance he2 · Façade 1 · Voie EV
tamount;;;100;terrain;79.0;0.0;79.0;0;0;rue;;;aucun;434500;5500;disponible;;;;;;Consistance hc2 · Façade 1 · Voie 12
tamount;;;101;terrain;80.0;0.0;80.0;0;0;rue;;;aucun;440000;5500;disponible;;;;;;Consistance hc2 · Façade 1 · Voie 12
tamount;;;102;terrain;81.0;0.0;81.0;0;0;rue;;;aucun;445500;5500;disponible;;;;;;Consistance hc2 · Façade 1 · Voie 12
tamount;;;103;terrain;81.0;0.0;81.0;0;0;rue;;;aucun;405000;5000;disponible;;;;;;Consistance hc2 · Façade 1 · Voie 12
tamount;;;104;terrain;83.0;0.0;83.0;0;0;rue;;;aucun;456500;5500;disponible;;;;;;Consistance hc2 · Façade 1 · Voie 12
tamount;;;105;terrain;84.0;0.0;84.0;0;0;rue;;;aucun;462000;5500;disponible;;;;;;Consistance hc2 · Façade 1 · Voie 12
tamount;;;106;terrain;85.0;0.0;85.0;0;0;rue;;;aucun;467500;5500;disponible;;;;;;Consistance hc2 · Façade 1 · Voie 12
tamount;;;107;terrain;85.0;0.0;85.0;0;0;rue;;;aucun;425000;5000;disponible;;;;;;Consistance hc2 · Façade 1 · Voie 12
tamount;;;108;terrain;88.0;0.0;88.0;0;0;rue;;;aucun;484000;5500;disponible;;;;;;Consistance hc2 · Façade 1 · Voie 12
tamount;;;109;terrain;89.0;0.0;89.0;0;0;rue;;;aucun;489500;5500;disponible;;;;;;Consistance hc2 · Façade 1 · Voie 12
tamount;;;11;terrain;70.0;0.0;70.0;0;0;angle;;;aucun;437500;6250;disponible;;;;;;Consistance hc2 · Façade 2 · Voie EV+PARK
tamount;;;110;terrain;83.0;0.0;83.0;0;0;rue;;;aucun;456500;5500;disponible;;;;;;Consistance hc2 · Façade 1 · Voie 14
tamount;;;111;terrain;80.0;0.0;80.0;0;0;rue;;;aucun;440000;5500;disponible;;;;;;Consistance hc2 · Façade 1 · Voie 14
tamount;;;112;terrain;81.0;0.0;81.0;0;0;rue;;;aucun;445500;5500;disponible;;;;;;Consistance hc2 · Façade 1 · Voie 14
tamount;;;113;terrain;82.0;0.0;82.0;0;0;rue;;;aucun;451000;5500;disponible;;;;;;Consistance hc2 · Façade 1 · Voie 14
tamount;;;114;terrain;83.0;0.0;83.0;0;0;rue;;;aucun;415000;5000;disponible;;;;;;Consistance hc2 · Façade 1 · Voie 14
tamount;;;115;terrain;83.0;0.0;83.0;0;0;rue;;;aucun;415000;5000;disponible;;;;;;Consistance hc2 · Façade 1 · Voie 14
tamount;;;116;terrain;83.0;0.0;83.0;0;0;rue;;;aucun;456500;5500;disponible;;;;;;Consistance hc2 · Façade 1 · Voie 14
tamount;;;117;terrain;84.0;0.0;84.0;0;0;rue;;;aucun;462000;5500;disponible;;;;;;Consistance hc2 · Façade 1 · Voie 14
tamount;;;118;terrain;84.0;0.0;84.0;0;0;rue;;;aucun;420000;5000;disponible;;;;;;Consistance hc2 · Façade 1 · Voie 14
tamount;;;119;terrain;84.0;0.0;84.0;0;0;rue;;;aucun;504000;6000;disponible;;;;;;Consistance hc2 · Façade 1 · Voie 14
tamount;;;12;terrain;79.0;0.0;79.0;0;0;angle;;;aucun;454250;5750;disponible;;;;;;Consistance hc2 · Façade 2 · Voie 10+PARK
tamount;;;120;terrain;88.0;0.0;88.0;0;0;rue;;;aucun;484000;5500;disponible;;;;;;Consistance hc2 · Façade 1 · Voie 14
tamount;;;121;terrain;90.0;0.0;90.0;0;0;angle;;;aucun;562500;6250;disponible;;;;;;Consistance hc2 · Façade 2 · Voie 12+12
tamount;;;122;terrain;120.0;0.0;120.0;0;0;angle;;;aucun;900000;7500;disponible;;;;;;Consistance hc3 · Façade 2 · Voie 30+12
tamount;;;123;terrain;120.0;0.0;120.0;0;0;rue;;;aucun;780000;6500;disponible;;;;;;Consistance hc3 · Façade 1 · Voie 30
tamount;;;124;terrain;120.0;0.0;120.0;0;0;rue;;;aucun;720000;6000;disponible;;;;;;Consistance hc3 · Façade 1 · Voie 30
tamount;;;125;terrain;120.0;0.0;120.0;0;0;rue;;;aucun;720000;6000;disponible;;;;;;Consistance hc3 · Façade 1 · Voie 30
tamount;;;126;terrain;120.0;0.0;120.0;0;0;rue;;;aucun;720000;6000;disponible;;;;;;Consistance hc3 · Façade 1 · Voie 30
tamount;;;127;terrain;120.0;0.0;120.0;0;0;rue;;;aucun;780000;6500;disponible;;;;;;Consistance hc3 · Façade 1 · Voie 30
tamount;;;128;terrain;120.0;0.0;120.0;0;0;rue;;;aucun;720000;6000;disponible;;;;;;Consistance hc3 · Façade 1 · Voie 30
tamount;;;129;terrain;120.0;0.0;120.0;0;0;rue;;;aucun;780000;6500;disponible;;;;;;Consistance hc3 · Façade 1 · Voie 30
