Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;تجزئة الدراركة أهاكا;الدراركة;;30.381597;-9.469034;;;
ecole;🎓;إعدادية Lagouira;الدراركة;;30.383437;-9.471556;;;
ecole;🎓;مدرسة Elhanssali;الدراركة;;30.385051;-9.480854;;;
pharmacie;💊;صيدلية مصري;الدراركة;;30.38046;-9.470101;;;
pharmacie;💊;صيدلية نور;الدراركة;;30.381384;-9.465654;;;
pharmacie;💊;صيدلية امام مالك;الدراركة;;30.380182;-9.472818;;;
pharmacie;💊;صيدلية الكويرة;الدراركة;;30.379825;-9.473999;;;
pharmacie;💊;صيدلية سيدي الحاج سعيد;الدراركة;;30.379103;-9.478091;;;
pharmacie;💊;صيدلية دراركة;الدراركة;;30.383488;-9.478826;;;
pharmacie;💊;صيدلية التيسير;الدراركة;;30.382114;-9.479791;;;
pharmacie;💊;صيدلية بولواز;الدراركة;;30.379147;-9.480777;;;
pharmacie;💊;صيدلية إيطو;الدراركة;;30.383224;-9.483911;;;
mosquee;🕌;مسجد الامام مالك;الدراركة;;30.383886;-9.480299;;;
sante;🏥;maison d'accouchement;الدراركة;;30.384166;-9.480582;;;
sante;🏥;maison d'accochement;الدراركة;;30.384162;-9.480598;;;
sante;🏥;المركز الصحي;الدراركة;;30.384413;-9.480767;;;
sante;🏥;المركز الصحي Drarga;الدراركة;;30.384398;-9.480771;;;
transport;🚌;Drarga Lagouira 2;الدراركة;;30.380655;-9.469866;;;
transport;🚌;Drarga Iguerer;الدراركة;;30.381213;-9.467348;;;
transport;🚌;Drarga Lagouira 1;الدراركة;;30.380063;-9.472554;;;
transport;🚌;Drarga Centre;الدراركة;;30.379743;-9.474587;;;
transport;🚌;Hay El Hana;الدراركة;;30.379503;-9.478852;;;
transport;🚌;Talat Izm;الدراركة;;30.379058;-9.480536;;;
transport;🚌;Douar Talfidi;الدراركة;;30.383853;-9.456198;;;
transport;🚌;Hay Saada;الدراركة;;30.3814;-9.483411;;;
