Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;Lotissement Drarga Ahaga;Drarga;;30.381597;-9.469034;;;
ecole;🎓;Collège Lagouira;Al massira;;30.383437;-9.471556;;;
ecole;🎓;Ecole Elhanssali;Drarga;;30.385051;-9.480854;;;
pharmacie;💊;Pharmacie Misri;Drarga;;30.38046;-9.470101;;;
pharmacie;💊;Pharmacie Nour;Drarga;;30.381384;-9.465654;;;
pharmacie;💊;Pharmacie Imam Malik;Drarga;;30.380182;-9.472818;;;
pharmacie;💊;Pharmacie Lagouira;Drarga;;30.379825;-9.473999;;;
pharmacie;💊;Pharmacie Sidi Haj Said;Drarga;;30.379103;-9.478091;;;
pharmacie;💊;Pharmacie Drarga;Drarga;;30.383488;-9.478826;;;
pharmacie;💊;Pharmacie Etissir;Drarga;;30.382114;-9.479791;;;
pharmacie;💊;Pharmacie Bouloiz;Drarga;;30.379147;-9.480777;;;
pharmacie;💊;Pharmacie Itto;Drarga;;30.383224;-9.483911;;;
mosquee;🕌;Mosquée الامام مالك;Drarga;;30.383886;-9.480299;;;
sante;🏥;maison d'accouchement;Drarga;;30.384166;-9.480582;;;
sante;🏥;maison d'accochement;Drarga;;30.384162;-9.480598;;;
sante;🏥;CENTRE DE SANTE;Drarga;;30.384413;-9.480767;;;
sante;🏥;centre de santé Drarga;Drarga;;30.384398;-9.480771;;;
transport;🚌;Drarga Lagouira 2;Drarga;;30.380655;-9.469866;;;
transport;🚌;Drarga Iguerer;Drarga;;30.381213;-9.467348;;;
transport;🚌;Drarga Lagouira 1;Drarga;;30.380063;-9.472554;;;
transport;🚌;Drarga Centre;Drarga;;30.379743;-9.474587;;;
transport;🚌;Hay El Hana;Drarga;;30.379503;-9.478852;;;
transport;🚌;Talat Izm;Drarga;;30.379058;-9.480536;;;
transport;🚌;Douar Talfidi;Drarga;;30.383853;-9.456198;;;
transport;🚌;Hay Saada;Drarga;;30.3814;-9.483411;;;
