Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;فرح;Agadir;;30.3993056;-9.5658333;;;
admin;🏛️;Agadir Al Fiddia;أكادير, أكادير;;30.4079;-9.5554;;;
admin;🏛️;Bensergao;أكادير, أكادير;;30.393;-9.5686;;;
transport;🚌;Jamal Dourra;;;30.4059458;-9.5523478;;;
ecole;🎓;ayoub bouihima agadiiir;;;30.3990205;-9.5715422;;;
cafe;☕;مقهى بوهام;Barreau Est/Ouest;;30.3939965;-9.5731285;;;Mo-Su 08:00-22:30
banque;🏦;تحويل الأموال كنال إم;شارع boujdour;;30.3988027;-9.5564051;;+212 6 00 39 84 44;"Mo-Fr 09:00-20:00; Sa 09:00-17:00"
cafe;☕;مقهى أسلال;شارع Jamal Abdennaser;;30.4090353;-9.5673744;;;Mo-Su 06:00-22:00
banque;🏦;سهام بنك;;;30.4081684;-9.5558536;;;Mo-Sa 08:00-18:00
banque;🏦;القرض العقاري والسياحي;;;30.4072649;-9.555259;;;
banque;🏦;بنك أفريقيا;;;30.4074087;-9.5554816;;;
transport;🚌;Hassan I - Ext. Dakhla;;;30.4076407;-9.5557464;;;
cafe;☕;Jnane Fruits;;;30.409336;-9.5573262;;;24/7
transport;🚌;Alsa 12 - 22;;;30.4090043;-9.5579672;;;
transport;🚌;Alsa 12 -22;;;30.4088979;-9.5581335;;;
magasin;🛒;Carrefour Market;;;30.4110976;-9.5615744;;;
pharmacie;💊;صيدلية النجد;أكادير;;30.4077853;-9.556302;;;
transport;🚌;Marjane;;;30.3952886;-9.5795578;;;
transport;🚌;Jet Sakane;;;30.3986923;-9.5505524;;;
transport;🚌;Farah 1;;;30.4005662;-9.5541143;;;
transport;🚌;Imm Farah;;;30.3994558;-9.5560455;;;
transport;🚌;Wifaq 2;;;30.3980214;-9.5610452;;;
transport;🚌;Wifaq 1;;;30.3947085;-9.558599;;;
transport;🚌;Douar Amzil;;;30.3922375;-9.5588726;;;
transport;🚌;Av Laayoune;;;30.3904144;-9.5620886;;;
transport;🚌;Bensergao Centre;;;30.3912022;-9.5685178;;;
transport;🚌;Wifaq Terminus;;;30.3924272;-9.571766;;;
transport;🚌;Av. Omar Benjelloun - Riad Salam;;;30.4100693;-9.5741022;;;
transport;🚌;Massira Toumbouktou;;;30.410757;-9.5711855;;;
transport;🚌;مدرسة Massira;;;30.407733;-9.5660877;;;
transport;🚌;3Eme Arrondissement Urbain;;;30.4057667;-9.5628288;;;
transport;🚌;Barreau Est - Ouest Encg;;;30.4037749;-9.5539078;;;
transport;🚌;Hassan I - L'Ghazali;;;30.4095558;-9.5596075;;;
transport;🚌;Hassan I - Cnops;;;30.4113092;-9.5631427;;;
pharmacie;💊;صيدلية عائشة;أكادير;;30.3885261;-9.5638686;;;
pharmacie;💊;صيدلية طريق الخير;أگادير;;30.3914696;-9.5549592;;;
pharmacie;💊;صيدلية أنور;أكادير;;30.3906273;-9.5590497;;;
pharmacie;💊;صيدلية سويقة;أكادير;;30.3874764;-9.5688138;;;
pharmacie;💊;صيدلية كريمة;أكادير;;30.3890391;-9.56805;;;
pharmacie;💊;صيدلية مستوصف;أكادير;;30.3910703;-9.5699476;;;
pharmacie;💊;صيدلية حسن;أكادير;;30.388877;-9.5707336;;;
pharmacie;💊;صيدلية الوفاق;أكادير;;30.392532;-9.5636561;;;
