Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;تجزئة فونتي;أكادير;;30.400406468380485;-9.573180104254527;;;
admin;🏛️;Bensergao;AGADIR, AGADIR;;30.393;-9.5686;;;
cafe;☕;Crèmerie Ibn Zohr;;;30.4078989;-9.5809784;;;
pharmacie;💊;Pharmacie Mekka صيدلية مكة;Agadir;;30.4076965;-9.5808502;;;
cafe;☕;Chez Ahmed;;;30.4074999;-9.5807426;;;
transport;🚌;Onep;;;30.4098518;-9.5841841;;;
ecole;🎓;ayoub bouihima agadiiir;;;30.3990205;-9.5715422;;;
cafe;☕;Café Bouham مقهى بوهام;Barreau Est/Ouest;;30.3939965;-9.5731285;;;Mo-Su 08:00-22:30
cafe;☕;McDonald's;;;30.3967305;-9.5813904;;;
cafe;☕;Café Aslal مقهى أسلال;Avenue Jamal Abdennaser;;30.4090353;-9.5673744;;;Mo-Su 06:00-22:00
banque;🏦;Bank of Africa ⵍⴱⴰⵏⴽ ⵏ ⴰⴼⵔⵉⵇⵢⴰ بنك أفريقيا;;;30.4132014;-9.572973;;;
banque;🏦;BMCI البنك المغربي للتجارة والصناعة;Avenue Abderrahim Bouabid;;30.4097143;-9.5836669;;;
cafe;☕;O.quotidien;;;30.3997438;-9.5878898;;;Mo-Su 07:00-23:00
banque;🏦;Banque Populaire;;;30.399121;-9.5879939;;;
cafe;☕;Rasta Pasta;;;30.4115109;-9.5802585;;;
transport;🚌;Entree Founty;;;30.4019439;-9.5844072;;;
transport;🚌;Marjane;;;30.3952886;-9.5795578;;;
transport;🚌;Ben Sergaou Centre;;;30.3873039;-9.5735349;;;
transport;🚌;Wifaq 2;;;30.3980214;-9.5610452;;;
transport;🚌;Bensergao Centre;;;30.3912022;-9.5685178;;;
transport;🚌;Wifaq Terminus;;;30.3924272;-9.571766;;;
transport;🚌;Sidi Youssef - Mosquée;;;30.4100138;-9.5760924;;;
transport;🚌;Av. Omar Benjelloun - Riad Salam;;;30.4100693;-9.5741022;;;
transport;🚌;Massira Toumbouktou;;;30.410757;-9.5711855;;;
transport;🚌;Ecole Massira;;;30.407733;-9.5660877;;;
transport;🚌;3Eme Arrondissement Urbain;;;30.4057667;-9.5628288;;;
transport;🚌;Souk Lhad Porte 2;;;30.411182;-9.5792306;;;
transport;🚌;Souk Lhad - Amsernat;;;30.4124473;-9.5762962;;;
pharmacie;💊;Pharmacie Souika صيدلية سويقة;Agadir;;30.3874764;-9.5688138;;;
pharmacie;💊;Pharmacie Karima صيدلية كريمة;Agadir;;30.3890391;-9.56805;;;
pharmacie;💊;Pharmacie Moustawsaf صيدلية مستوصف;AGADIR;;30.3910703;-9.5699476;;;
pharmacie;💊;Pharmacie Hassan صيدلية حسن;Agadir;;30.388877;-9.5707336;;;
pharmacie;💊;Pharmacie El Wifaq صيدلية الوفاق;Agadir;;30.392532;-9.5636561;;;
pharmacie;💊;Pharmacie Nessrine صيدلية نسرين;Agadir;;30.3874259;-9.5729581;;;
pharmacie;💊;Pharmacie Radi صيدلية راضي;Agadir;;30.390562;-9.573639;;;
pharmacie;💊;Pharmacie La Grande Al Farah صيدلية الفرح الكبرى;Agadir;;30.3974601;-9.5684309;;;
pharmacie;💊;Pharmacie Al Jisr صيدلية الجسر;Agadir;;30.3908949;-9.5658405;;;
pharmacie;💊;Pharmacie Oubelkhir صيدلية أوبلخير;Agadir;;30.3996068;-9.5592815;;;
pharmacie;💊;Pharmacie Le Complexe صيدلية المركب;Agadir;;30.3929041;-9.5611481;;;
pharmacie;💊;Pharmacie Ahl El Kheir صيدلية أهل الخير;Agadir;;30.4000382;-9.5674718;;;
pharmacie;💊;Pharmacie Al Farah صيدلية الفرح;Agadir;;30.3973291;-9.5615653;;;
pharmacie;💊;Pharmacie Bachouch صيدلية بشوش;Agadir;;30.4057815;-9.5607674;;;
pharmacie;💊;Pharmacie De France صيدلية فرنسا;Agadir;;30.4133364;-9.574119;;;
pharmacie;💊;Pharmacie Itry صيدلية اتري;Agadir;;30.4076204;-9.5767262;;;
pharmacie;💊;Pharmacie Toubkal صيدلية توبقال;Agadir;;30.4091709;-9.5641788;;;
pharmacie;💊;Pharmacie Al Massira صيدلية المسيرة;Agadir;;30.4109293;-9.568023;;;
pharmacie;💊;Pharmacie Erraji صيدلية الراجي;Agadir;;30.4121724;-9.5711049;;;
pharmacie;💊;Pharmacie Al Michwar صيدلية المشوار;AGADIR;;30.3946862;-9.5710401;;;
pharmacie;💊;Pharmacie Al Hamra صيدلية الحمرى;Agadir;;30.4122733;-9.5771392;;;
pharmacie;💊;Pharmacie Amjad صيدلية أمجد;Agadir;;30.3981152;-9.5724017;;;
pharmacie;💊;Pharmacie El Alami صيدلية العلمي;Agadir;;30.4067855;-9.5742029;;;
pharmacie;💊;Pharmacie Haut Founty صيدلية فونتي العليا;Agadir;;30.4012335;-9.5795913;;;
pharmacie;💊;Pharmacie Agadir Bay صيدلية أكادير باي;Agadir;;30.4010683;-9.5847458;;;
pharmacie;💊;Pharmacie Hay Founty صيدلية حي فونتي;Agadir;;30.4017834;-9.5730536;;;
pharmacie;💊;Pharmacie Boutasra صيدلية بوتاسرا;AGADIR;;30.3958719;-9.5737957;;;
pharmacie;💊;Pharmacie Al Mouna صيدلية المنى;Agadir;;30.4098619;-9.5833796;;;
pharmacie;💊;Pharmacie Marjane Agadir صيدلية مرجان أكادير;Agadir;;30.3937761;-9.5813813;;;
pharmacie;💊;Pharmacie Riad Salam الصيدلية رياض السلام;Agadir;;30.4096973;-9.5762705;;;
pharmacie;💊;Pharmacie Les Parents صيدلية الوالدين;Agadir;;30.4087537;-9.570152;;;
pharmacie;💊;Pharmacie Azmi صيدلية عزمي;Agadir;;30.4104154;-9.5728841;;;
pharmacie;💊;Pharmacie Nour Al Farah 3 صيدلية نور الفرح;Agadir;;30.400773;-9.5620105;;;
magasin;🛒;Tourtite;;;30.3996903;-9.5878875;;;
cafe;☕;Narjisse;;;30.4012041;-9.5887048;;+212 5 28 23 30 11;
cafe;☕;Vita mix;;;30.3995781;-9.5879027;;+212 8 08 50 32 50;Mo-Su 11:00-02:00
banque;🏦;Caisse de dépôt et de gestion;;;30.4006112;-9.5872671;;;
pharmacie;💊;Sonaba;;;30.3996557;-9.5878933;;+212 5 28 23 03 48;
cafe;☕;EL-Tepeyac;;;30.399052;-9.5872171;;;Mo-Su 12:00-02:00
cafe;☕;Roastery;N° 10 Immeuble 03 Bloc 03, Khalij Ennakhil. City Founty;;30.3997123;-9.5874165;;+212 5 28 21 54 99;Mo-Su 07:00-00:00
cafe;☕;Dar Jad;Lot I18 AMO3 Technopole 1 AgadirBay;;30.4016716;-9.5849387;;+212 8 08572324;Mo-Su 07:00-00:00
cafe;☕;Green's;;;30.4009585;-9.5868299;;;
cafe;☕;Crémerie Sonaba;;;30.4003632;-9.5866799;;;
cafe;☕;La cuccina di Mamma;;;30.3999966;-9.5870628;;;
cafe;☕;Brooklyn Pizza;;;30.4005526;-9.5866642;;;
cafe;☕;Zone 11;;;30.4005922;-9.5869803;;;
cafe;☕;Arôme de Paris;;;30.3995171;-9.5879234;;;
banque;🏦;Attijariwafa Bank;;;30.3991295;-9.5875621;;;
cafe;☕;Waffle city;;;30.4005653;-9.5867671;;;
banque;🏦;Crédit du Maroc;;;30.3990227;-9.5879897;;;
magasin;🛒;Lahcen Market;;;30.4003057;-9.5866867;;;
magasin;🛒;Mini Market Sonaba;;;30.3995289;-9.5874837;;;
cafe;☕;O'Comptoir;;;30.3992313;-9.5875377;;;
magasin;🛒;Stop Shop;;;30.3996874;-9.587298;;;
cafe;☕;Karisma;;;30.3990954;-9.5879869;;;
cafe;☕;Sushi Fleur de Ming;;;30.3994745;-9.587488;;;
cafe;☕;Crémerie Bay;;;30.3996743;-9.5870621;;;
cafe;☕;Yuzaki;;;30.399987;-9.5869932;;;
cafe;☕;Bo Passage;;;30.4012773;-9.5854013;;+212 8 08 59 27 49;Mo-Su 07:00-00:00
cafe;☕;Belle Passion;;;30.4103022;-9.5831611;;;
cafe;☕;Little Mamma;Avenue Mohamed V شارع الحسن الثاني;;30.4009641;-9.5846682;;;
banque;🏦;Agence Bouabid;;;30.4132387;-9.5728215;;;
banque;🏦;CIH Bank;;;30.4134238;-9.5721778;;;
cafe;☕;Delice Pizza Bay Sonaba;;;30.3990631;-9.5869064;;;
transport;🚌;Hay El Hassani;;;30.4100791;-9.5830632;;;
transport;🚌;Souk El Had;;;30.4116176;-9.5774583;;;
transport;🚌;Amsirnat;;;30.4129612;-9.5744462;;;
magasin;🛒;Marjane;Route d'Inzegane, Ben Sergaou;;30.3942721;-9.5810331;;+212 5 29 90 10 00;Mo-Su 09:00-22:00
ecole;🎓;Collège Abdel Ali Benchekroun;AGADIR;;30.393162;-9.5706228;;;
ecole;🎓;Ecole Primaire Al-Matar;;;30.3884994;-9.5722939;;;
ecole;🎓;Ecole National des Sciences Appliquées;;;30.4065352;-9.5790016;;;
ecole;🎓;Annexe cité universitaire;;;30.4056156;-9.5784218;;;
mosquee;🕌;Mosquée Sidi Youssef;;;30.4102419;-9.5757872;;;
cafe;☕;Restaurant universitaire;;;30.4060581;-9.5791735;;;
ecole;🎓;Institution Blaise Pascal;;;30.4055744;-9.5803185;;;
ecole;🎓;Lycée Technique Al Idrissi;;;30.4075948;-9.5824263;;;
ecole;🎓;Ecole le défi;;;30.4057989;-9.5821788;;;
ecole;🎓;OFPPT Hotelerie et Restauration, Agadir;;;30.4044692;-9.5712199;;;
ecole;🎓;Collège MOHAMED CHEIKH SAADI;;;30.4079036;-9.5860538;;;
ecole;🎓;Lycée Franaçais d'Agadir;;;30.3991957;-9.5852227;;;
sante;🏥;Clinique Souss;Avenue Abderrahim Bouabid;;30.4097449;-9.583329;;;
loisir;🌿;Parc Ben Sargao;;;30.3860632;-9.5749317;;;
loisir;🌿;Jardin Ibn Khaldoun;;;30.3899903;-9.5751227;;;
mosquee;🕌;Tadwart;;;30.3877783;-9.5695369;;;
loisir;🌿;Park Salam;;;30.4043416;-9.5548817;;;
ecole;🎓;Collège Ahmed Chawqi;;;30.4078971;-9.5618501;;;
ecole;🎓;école lwahda;;;30.388649;-9.5659067;;;
ecole;🎓;École Atahir Ifrani;;;30.3902536;-9.572065;;;
ecole;🎓;Lycée aby laabass sebty;;;30.3952823;-9.5637998;;;
ecole;🎓;école Al Massira;;;30.408391;-9.5662627;;;
ecole;🎓;Ecole AL MAGHRIB AL KABIR;;;30.4120714;-9.5665131;;;
ecole;🎓;Ecole AL FARABI;;;30.3944939;-9.5728898;;;
sante;🏥;Clinique Mokhtar Soussi;;;30.4128051;-9.5727228;;;
ecole;🎓;Institution Founty - Alexandre Pouchkine;;;30.3993049;-9.5862117;;;
loisir;🌿;laazib officiel;;;30.4116081;-9.5745897;;;
