Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;Lot Founty;Agadir;;30.400406468380485;-9.573180104254527;;;
admin;🏛️;Bensergao;AGADIR, AGADIR;;30.393;-9.5686;;;
cafe;☕;Crèmerie Ibn Zohr;;;30.4078989;-9.5809784;;;
pharmacie;💊;Mekka Pharmacy;Agadir;;30.4076965;-9.5808502;;;
cafe;☕;Chez Ahmed;;;30.4074999;-9.5807426;;;
transport;🚌;Onep;;;30.4098518;-9.5841841;;;
ecole;🎓;ayoub bouihima agadiiir;;;30.3990205;-9.5715422;;;
cafe;☕;Bouham Café;Barreau Est/Ouest;;30.3939965;-9.5731285;;;Mo-Su 08:00-22:30
cafe;☕;McDonald's;;;30.3967305;-9.5813904;;;
cafe;☕;Aslal Café;Jamal Abdennaser Avenue;;30.4090353;-9.5673744;;;Mo-Su 06:00-22:00
banque;🏦;Bank of Africa;;;30.4132014;-9.572973;;;
banque;🏦;BMCI;Abderrahim Bouabid Avenue;;30.4097143;-9.5836669;;;
cafe;☕;O.quotidien;;;30.3997438;-9.5878898;;;Mo-Su 07:00-23:00
banque;🏦;Banque Populaire;;;30.399121;-9.5879939;;;
cafe;☕;Rasta Pasta;;;30.4115109;-9.5802585;;;
transport;🚌;Entree Founty;;;30.4019439;-9.5844072;;;
transport;🚌;Marjane;;;30.3952886;-9.5795578;;;
transport;🚌;Ben Sergaou Centre;;;30.3873039;-9.5735349;;;
transport;🚌;Wifaq 2;;;30.3980214;-9.5610452;;;
transport;🚌;Bensergao Centre;;;30.3912022;-9.5685178;;;
transport;🚌;Wifaq Terminus;;;30.3924272;-9.571766;;;
transport;🚌;Sidi Youssef - Mosquée;;;30.4100138;-9.5760924;;;
transport;🚌;Av. Omar Benjelloun - Riad Salam;;;30.4100693;-9.5741022;;;
transport;🚌;Massira Toumbouktou;;;30.410757;-9.5711855;;;
transport;🚌;Massira School;;;30.407733;-9.5660877;;;
transport;🚌;3Eme Arrondissement Urbain;;;30.4057667;-9.5628288;;;
transport;🚌;Souk Lhad Porte 2;;;30.411182;-9.5792306;;;
transport;🚌;Souk Lhad - Amsernat;;;30.4124473;-9.5762962;;;
pharmacie;💊;Souika Pharmacy;Agadir;;30.3874764;-9.5688138;;;
pharmacie;💊;Karima Pharmacy;Agadir;;30.3890391;-9.56805;;;
pharmacie;💊;Moustawsaf Pharmacy;AGADIR;;30.3910703;-9.5699476;;;
pharmacie;💊;Hassan Pharmacy;Agadir;;30.388877;-9.5707336;;;
pharmacie;💊;El Wifaq Pharmacy;Agadir;;30.392532;-9.5636561;;;
pharmacie;💊;Nessrine Pharmacy;Agadir;;30.3874259;-9.5729581;;;
pharmacie;💊;Radi Pharmacy;Agadir;;30.390562;-9.573639;;;
pharmacie;💊;La Grande Al Farah Pharmacy;Agadir;;30.3974601;-9.5684309;;;
pharmacie;💊;Al Jisr Pharmacy;Agadir;;30.3908949;-9.5658405;;;
pharmacie;💊;Oubelkhir Pharmacy;Agadir;;30.3996068;-9.5592815;;;
pharmacie;💊;Le Complexe Pharmacy;Agadir;;30.3929041;-9.5611481;;;
pharmacie;💊;Ahl El Kheir Pharmacy;Agadir;;30.4000382;-9.5674718;;;
pharmacie;💊;Al Farah Pharmacy;Agadir;;30.3973291;-9.5615653;;;
pharmacie;💊;Bachouch Pharmacy;Agadir;;30.4057815;-9.5607674;;;
