Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;إقامة الجوهرة;الدشيرة الجهادية;;30.3732;-9.5372;;;
ecole;🎓;مدرسة السعديين;الدشيرة الجهادية;;30.3698941;-9.5386194;;;
ecole;🎓;مدرسة أم المؤمنين;الدشيرة الجهادية;;30.3695452;-9.5415978;;;
ecole;🎓;إعدادية القاضي عياض;الدشيرة الجهادية;;30.3701856;-9.5426932;;;
ecole;🎓;ثانوية عمر الخيام;الدشيرة الجهادية;;30.3659029;-9.5392751;;;
ecole;🎓;مدرسة النهضة;الدشيرة الجهادية;;30.3655968;-9.536741;;;
ecole;🎓;مدرسة ابن النفيس;الدشيرة الجهادية;;30.3649638;-9.5367558;;;
ecole;🎓;إعدادية فيصل بن عبد العزيز;الدشيرة الجهادية;;30.3676437;-9.5442214;;;
ecole;🎓;مدرسة البنك الشعبي;الدشيرة الجهادية;;30.3674867;-9.5465536;;;
ecole;🎓;ثانوية علال الفاسي;الدشيرة الجهادية;;30.3717304;-9.5364409;;;
ecole;🎓;مدرسة السلام;الدشيرة الجهادية;;30.3726061;-9.5370683;;;
ecole;🎓;إعدادية ابن زهر;إنزكان;;30.359034;-9.5440508;;;
ecole;🎓;إعدادية أحمد المنصور الذهبي;إنزكان;;30.3598893;-9.5417786;;;
ecole;🎓;مدرسة الشهداء;الدشيرة الجهادية;;30.3735316;-9.5486855;;;
ecole;🎓;مدرسة 18 نونبر;الدشيرة الجهادية;;30.3758283;-9.5452177;;;
ecole;🎓;إعدادية رحال بن أحمد;إنزكان;;30.3596978;-9.5468701;;;
ecole;🎓;مدرسة الإمام البخاري;الدشيرة الجهادية;;30.3758064;-9.5418176;;;
ecole;🎓;مدرسة أبو بكر الصديق;الدشيرة الجهادية;;30.3730236;-9.5639804;;;
ecole;🎓;مدرسة موسى بن الحسين;الدشيرة الجهادية;;30.3717289;-9.5371327;;;
ecole;🎓;مجموعة مدارس الحنان (خاصة);شارع القوات المسلحة الملكية;;30.3632783;-9.5376641;;+212 5 28 33 66 33;الإثنين-السبت 7:55ص-6:15م
ecole;🎓;المركز الجهوي لمهن التربية والتكوين - إنزكان أيت ملول;أيت ملول;;30.3607709;-9.5439186;;;
ecole;🎓;إعدادية بوشوارين;الدشيرة الجهادية;;30.3764812;-9.545598;;;
pharmacie;💊;صيدلية الدشيرة;شارع بئر أنزران;4.4;30.3712;-9.5413;22;+212 5 28 27 04 75;الإثنين-الجمعة 9ص-8:45م
pharmacie;💊;الصيدلية الرئيسية;شارع بئر أنزران;4.5;30.3711;-9.535;13;+212 6 66 24 42 88;الإثنين-السبت 9ص-8:30م
pharmacie;💊;صيدلية تافوكت;شارع الأدارسة;3.6;30.3717;-9.5328;28;+212 5 28 27 36 22;
