Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;Al Jawhara Residence;Dcheira El Jihadia;;30.3732;-9.5372;;;
ecole;🎓;Saadiyine School;Dcheira El Jihadia;;30.3698941;-9.5386194;;;
ecole;🎓;Oum Al-Mouminine School;Dcheira El Jihadia;;30.3695452;-9.5415978;;;
ecole;🎓;Cadi Ayyad Middle School;Dcheira El Jihadia;;30.3701856;-9.5426932;;;
ecole;🎓;Omar El Khayam High School;Dcheira El Jihadia;;30.3659029;-9.5392751;;;
ecole;🎓;Enahda School;Dcheira El Jihadia;;30.3655968;-9.536741;;;
ecole;🎓;Ibn Nafiss School;Dcheira El Jihadia;;30.3649638;-9.5367558;;;
ecole;🎓;Fayçal Ibn Abdelaziz Middle School;Dcheira El Jihadia;;30.3676437;-9.5442214;;;
ecole;🎓;Banque Populaire School;Dcheira El Jihadia;;30.3674867;-9.5465536;;;
ecole;🎓;Allal Al Fassi High School;Dcheira El Jihadia;;30.3717304;-9.5364409;;;
ecole;🎓;Salam School;Dcheira El Jihadia;;30.3726061;-9.5370683;;;
ecole;🎓;Ibn Zohr Middle School;Inezgane;;30.359034;-9.5440508;;;
ecole;🎓;Ahmed Al Manssour Dahbi Middle School;Inezgane;;30.3598893;-9.5417786;;;
ecole;🎓;Chohadaa School;Dcheira El Jihadia;;30.3735316;-9.5486855;;;
ecole;🎓;18 November School;Dcheira El Jihadia;;30.3758283;-9.5452177;;;
ecole;🎓;Rahal Ben Ahmed Middle School;Inezgane;;30.3596978;-9.5468701;;;
ecole;🎓;Imam Al Boukhari School;Dcheira El Jihadia;;30.3758064;-9.5418176;;;
ecole;🎓;Abou Bakr Assiddiq School;Dcheira El Jihadia;;30.3730236;-9.5639804;;;
ecole;🎓;Moussa Ben El Housseine School;Dcheira El Jihadia;;30.3717289;-9.5371327;;;
ecole;🎓;Al Hanane Private School;FAR Avenue;;30.3632783;-9.5376641;;+212 5 28 33 66 33;Mon-Sat 7:55am-6:15pm
ecole;🎓;CRMEF / DPEF Inezgane Ait Melloul;Ait Melloul;;30.3607709;-9.5439186;;;
ecole;🎓;Bouchouariyine Middle School;Dcheira El Jihadia;;30.3764812;-9.545598;;;
pharmacie;💊;Dcheira Pharmacy;Bir Anzarane Ave.;4.4;30.3712;-9.5413;22;+212 5 28 27 04 75;Mon-Fri 9am-8:45pm
pharmacie;💊;Main Pharmacy;Bir Anzarane Ave.;4.5;30.3711;-9.535;13;+212 6 66 24 42 88;Mon-Sat 9am-8:30pm
pharmacie;💊;Tafoukt Pharmacy;Adarissa Ave.;3.6;30.3717;-9.5328;28;+212 5 28 27 36 22;
pharmacie;💊;Hay Al Ihssane Pharmacy;AbouBakr Assedek Blvd;3.8;30.3675;-9.5292;10;+212 5 28 83 64 83;Open 24/7
pharmacie;💊;El Jihadia Pharmacy;Facing Inezgane souk;5.0;30.3624;-9.5298;2;+212 5 28 33 09 30;Mon-Fri 9am-1pm
pharmacie;💊;Pasteur Pharmacy;Dcheira El Jihadia;;30.3675201;-9.5409826;;;
pharmacie;💊;Ibn Sina Pharmacy;Dcheira El Jihadia;;30.3690089;-9.537553;;;
pharmacie;💊;Central Pharmacy;Dcheira El Jihadia;;30.3699837;-9.5401531;;;
pharmacie;💊;Al Amine Pharmacy;Dcheira El Jihadia;;30.3663321;-9.5380839;;;
pharmacie;💊;Al Kaoutar Pharmacy;Dcheira El Jihadia;;30.3689967;-9.5347901;;;
pharmacie;💊;Ksima Pharmacy;Dcheira El Jihadia;;30.3703588;-9.5372958;;;
pharmacie;💊;Hamzaoui Pharmacy;Dcheira El Jihadia;;30.369462;-9.544678;;;
pharmacie;💊;La Liberté Pharmacy;Dcheira El Jihadia;;30.3716093;-9.5443634;;;
pharmacie;💊;Tilila Pharmacy;Dcheira El Jihadia;;30.3743036;-9.5397798;;;
pharmacie;💊;Amgala Pharmacy;Dcheira El Jihadia;;30.3748601;-9.5485723;;;
magasin;🛒;Mido Market;Allal El Fassi Ave.;4.0;30.3732;-9.5359;21;+212 6 17 33 47 68;9am-2am daily
magasin;🛒;Akroumai Supermarket;Haj Lahbib Talti Ave.;5.0;30.3761;-9.5393;1;;
magasin;🛒;EcoPrix Market;Dcheira El Jihadia;4.5;30.3661;-9.5332;4;+212 5 28 27 15 95;Mon-Sat 9am-11pm
magasin;🛒;Pergola Market;Essaada St.;4.1;30.3753;-9.5468;12;+212 5 25 25 46 76;7am-2am, Wine cellar
