Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;Residencia Al Jawhara;Dcheira El Jihadia;;30.3732;-9.5372;;;
ecole;🎓;Escuela Saadiyine;Dcheira El Jihadia;;30.3698941;-9.5386194;;;
ecole;🎓;Escuela Oum Al-Mouminine;Dcheira El Jihadia;;30.3695452;-9.5415978;;;
ecole;🎓;Colegio Cadi Ayyad;Dcheira El Jihadia;;30.3701856;-9.5426932;;;
ecole;🎓;Instituto Omar El Khayam;Dcheira El Jihadia;;30.3659029;-9.5392751;;;
ecole;🎓;Escuela Enahda;Dcheira El Jihadia;;30.3655968;-9.536741;;;
ecole;🎓;Escuela Ibn Nafiss;Dcheira El Jihadia;;30.3649638;-9.5367558;;;
ecole;🎓;Colegio Fayçal Ibn Abdelaziz;Dcheira El Jihadia;;30.3676437;-9.5442214;;;
ecole;🎓;Escuela Banque Populaire;Dcheira El Jihadia;;30.3674867;-9.5465536;;;
ecole;🎓;Instituto Allal Al Fassi;Dcheira El Jihadia;;30.3717304;-9.5364409;;;
ecole;🎓;Escuela Salam;Dcheira El Jihadia;;30.3726061;-9.5370683;;;
ecole;🎓;Colegio Ibn Zohr;Inezgane;;30.359034;-9.5440508;;;
ecole;🎓;Colegio Ahmed Al Manssour Dahbi;Inezgane;;30.3598893;-9.5417786;;;
ecole;🎓;Escuela Chohadaa;Dcheira El Jihadia;;30.3735316;-9.5486855;;;
ecole;🎓;Escuela 18 de Noviembre;Dcheira El Jihadia;;30.3758283;-9.5452177;;;
ecole;🎓;Colegio Rahal Ben Ahmed;Inezgane;;30.3596978;-9.5468701;;;
ecole;🎓;Escuela Imam Al Boukhari;Dcheira El Jihadia;;30.3758064;-9.5418176;;;
ecole;🎓;Escuela Abou Bakr Assiddiq;Dcheira El Jihadia;;30.3730236;-9.5639804;;;
ecole;🎓;Escuela Moussa Ben El Housseine;Dcheira El Jihadia;;30.3717289;-9.5371327;;;
ecole;🎓;Grupo Escolar Al Hanane (privado);Avenida de las FAR;;30.3632783;-9.5376641;;+212 5 28 33 66 33;Lun-Sáb 07h55-18h15
ecole;🎓;CRMEF / DPEF Inezgane Ait Melloul;Ait Melloul;;30.3607709;-9.5439186;;;
ecole;🎓;Colegio Bouchouariyine;Dcheira El Jihadia;;30.3764812;-9.545598;;;
pharmacie;💊;Farmacia Dcheira;Av. Bir Anzarane;4.4;30.3712;-9.5413;22;+212 5 28 27 04 75;Lun-Vie 9h-20h45
pharmacie;💊;Farmacia Principal;Av. Bir Anzarane;4.5;30.3711;-9.535;13;+212 6 66 24 42 88;Lun-Sáb 9h-20h30
pharmacie;💊;Farmacia Tafoukt;Av. Adarissa;3.6;30.3717;-9.5328;28;+212 5 28 27 36 22;
pharmacie;💊;Farmacia Hay Al Ihssane;Bd AbouBakr Assedek;3.8;30.3675;-9.5292;10;+212 5 28 83 64 83;Abierto 24/7
pharmacie;💊;Farmacia El Jihadia;Frente al zoco de Inezgane;5.0;30.3624;-9.5298;2;+212 5 28 33 09 30;Lun-Vie 9h-13h
pharmacie;💊;Farmacia Pasteur;Dcheira El Jihadia;;30.3675201;-9.5409826;;;
pharmacie;💊;Farmacia Ibn Sina;Dcheira El Jihadia;;30.3690089;-9.537553;;;
pharmacie;💊;Farmacia Central;Dcheira El Jihadia;;30.3699837;-9.5401531;;;
pharmacie;💊;Farmacia Al Amine;Dcheira El Jihadia;;30.3663321;-9.5380839;;;
pharmacie;💊;Farmacia Al Kaoutar;Dcheira El Jihadia;;30.3689967;-9.5347901;;;
pharmacie;💊;Farmacia Ksima;Dcheira El Jihadia;;30.3703588;-9.5372958;;;
pharmacie;💊;Farmacia Hamzaoui;Dcheira El Jihadia;;30.369462;-9.544678;;;
pharmacie;💊;Farmacia La Liberté;Dcheira El Jihadia;;30.3716093;-9.5443634;;;
pharmacie;💊;Farmacia Tilila;Dcheira El Jihadia;;30.3743036;-9.5397798;;;
pharmacie;💊;Farmacia Amgala;Dcheira El Jihadia;;30.3748601;-9.5485723;;;
magasin;🛒;Mido Market;Av. Allal El Fassi;4.0;30.3732;-9.5359;21;+212 6 17 33 47 68;9h-2h todos los días
magasin;🛒;Akroumai Supermercado;Av. Haj Lahbib Talti;5.0;30.3761;-9.5393;1;;
