Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;Résidence Al Jawhara;Dcheira El Jihadia;;30.3732;-9.5372;;;
ecole;🎓;École Saadiyine مدرسة السعديين;Dcheira El Jihadia;;30.3698941;-9.5386194;;;
ecole;🎓;École Oum Al-Mouminine;Dcheira El Jihadia;;30.3695452;-9.5415978;;;
ecole;🎓;Collège Cadi Ayyad اعدادية القاضي عياض;Dcheira El Jihadia;;30.3701856;-9.5426932;;;
ecole;🎓;Lycée Omar El Khayam ثانوية عمر الخيام;Dcheira El Jihadia;;30.3659029;-9.5392751;;;
ecole;🎓;École Enahda مدرسة النهضة;Dcheira El Jihadia;;30.3655968;-9.536741;;;
ecole;🎓;École Ibn Nafiss;Dcheira El Jihadia;;30.3649638;-9.5367558;;;
ecole;🎓;Collège Fayçal Ibn Abdelaziz إعدادية فيصل بن عبد العزيز;Dcheira El Jihadia;;30.3676437;-9.5442214;;;
ecole;🎓;École Banque Populaire;Dcheira El Jihadia;;30.3674867;-9.5465536;;;
ecole;🎓;Lycée Allal Al Fassi ثانوية علال الفاسي;Dcheira El Jihadia;;30.3717304;-9.5364409;;;
ecole;🎓;École Salam مدرسة السلام;Dcheira El Jihadia;;30.3726061;-9.5370683;;;
ecole;🎓;Collège Ibn Zohr;Inezgane;;30.359034;-9.5440508;;;
ecole;🎓;Collège Ahmed Al Manssour Dahbi;Inezgane;;30.3598893;-9.5417786;;;
ecole;🎓;École Chohadaa مدرسة الشهداء;Dcheira El Jihadia;;30.3735316;-9.5486855;;;
ecole;🎓;École 18 Novembre;Dcheira El Jihadia;;30.3758283;-9.5452177;;;
ecole;🎓;Collège Rahal Ben Ahmed;Inezgane;;30.3596978;-9.5468701;;;
ecole;🎓;École Imam Al Boukhari;Dcheira El Jihadia;;30.3758064;-9.5418176;;;
ecole;🎓;École Abou Bakr Assiddiq;Dcheira El Jihadia;;30.3730236;-9.5639804;;;
ecole;🎓;École Moussa Ben El Housseine;Dcheira El Jihadia;;30.3717289;-9.5371327;;;
ecole;🎓;Groupe Scolaire Al Hanane (privé);Avenue des FAR;;30.3632783;-9.5376641;;+212 5 28 33 66 33;Lun-Sam 07h55-18h15
ecole;🎓;CRMEF / DPEF Inezgane Ait Melloul;Ait Melloul;;30.3607709;-9.5439186;;;
ecole;🎓;Collège Bouchouariyine;Dcheira El Jihadia;;30.3764812;-9.545598;;;
pharmacie;💊;Pharmacie Dcheira;Av. Bir Anzarane;4.4;30.3712;-9.5413;22;+212 5 28 27 04 75;Lun-Ven 9h-20h45
pharmacie;💊;Pharmacie Principale;Av. Bir Anzarane;4.5;30.3711;-9.535;13;+212 6 66 24 42 88;Lun-Sam 9h-20h30
pharmacie;💊;Pharmacie Tafoukt;Av. Adarissa;3.6;30.3717;-9.5328;28;+212 5 28 27 36 22;
pharmacie;💊;Pharmacie Hay Al Ihssane;Bd AbouBakr Assedek;3.8;30.3675;-9.5292;10;+212 5 28 83 64 83;24h/24 7j/7
pharmacie;💊;Pharmacie El Jihadia;Face au souk d'Inezgane;5.0;30.3624;-9.5298;2;+212 5 28 33 09 30;Lun-Ven 9h-13h
pharmacie;💊;Pharmacie Pasteur;Dcheira El Jihadia;;30.3675201;-9.5409826;;;
pharmacie;💊;Pharmacie Ibn Sina صيدلية ابن سينا;Dcheira El Jihadia;;30.3690089;-9.537553;;;
pharmacie;💊;Pharmacie Centrale الصيدلية المركزية;Dcheira El Jihadia;;30.3699837;-9.5401531;;;
pharmacie;💊;Pharmacie Al Amine صيدلية الأمين;Dcheira El Jihadia;;30.3663321;-9.5380839;;;
pharmacie;💊;Pharmacie Al Kaoutar صيدلية الكوثر;Dcheira El Jihadia;;30.3689967;-9.5347901;;;
pharmacie;💊;Pharmacie Ksima صيدلية كسيما;Dcheira El Jihadia;;30.3703588;-9.5372958;;;
pharmacie;💊;Pharmacie Hamzaoui صيدلية حمزاوي;Dcheira El Jihadia;;30.369462;-9.544678;;;
pharmacie;💊;Pharmacie La Liberté صيدلية الحرية;Dcheira El Jihadia;;30.3716093;-9.5443634;;;
