Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;R+4 K&B;Agadir;;30.371826407823608;-9.549940706126623;;;
transport;🚌;Arrondissement Dcheira;;;30.3701576;-9.5393649;;;
admin;🏛️;2ème arrondissement المقاطعة الثانية;;;30.3705676;-9.5477802;;;
banque;🏦;Banque Populaire البنك الشعبي;;;30.3704157;-9.5400017;;;
banque;🏦;Attijariwafa Bank التجاري وفا بنك;Avenue Bir Anzarane;;30.370512;-9.5397754;;;
banque;🏦;Saham Bank سهام بنك;;;30.3708639;-9.5405424;;;
pharmacie;💊;Pharmacie Dcheira صيدلية الدشيرة;Avenue Bir Anzarane, Dcheira El Jihadia ⴷⵛⵉⵔⴰ ⵍⵊⵉⵀⴰⴷⵉⵢⴰ الدشيرة الجهادية;;30.371139;-9.5412949;;;
banque;🏦;CIH Bank القرض العقاري والسياحي;Avenue Bir Anzarane;;30.3717916;-9.5451593;;;
banque;🏦;BMCI البنك المغربي للتجارة والصناعة;;;30.3705753;-9.5362329;;;
pharmacie;💊;Pharmacie Pasteur;;;30.3675201;-9.5409826;;;
transport;🚌;Bir Inzarane Assergal;;;30.3708256;-9.5355005;;;
banque;🏦;Bank of Africa ⵍⴱⴰⵏⴽ ⵏ ⴰⴼⵔⵉⵇⵢⴰ بنك أفريقيا;Avenue Bir Anzarane;;30.3719207;-9.54807;;;
banque;🏦;Crédit Agricole;;;30.3720838;-9.551011;;;
cafe;☕;Café France;;;30.3720339;-9.5500074;;;
transport;🚌;Bir Inzarane Pergola Dcheira;;;30.3718392;-9.5477666;;;
cafe;☕;Café Afoulki;;;30.3717687;-9.5447397;;;
transport;🚌;Bir Inzarane Slaoui;;;30.371646;-9.5435703;;;
mosquee;🕌;Mosquée de Walhori مسجد والحوري;;;30.3737347;-9.5344593;;;
cafe;☕;Argana;;;30.3690429;-9.5401461;;;
pharmacie;💊;Pharmacie Ibn Sina صيدلية ابن سينا;Dcheira El Jihadia ⴷⵛⵉⵔⴰ ⵍⵊⵉⵀⴰⴷⵉⵢⴰ الدشيرة الجهادية;;30.3690089;-9.537553;;;
pharmacie;💊;Pharmacie Centrale الصيدلية المركزية;Dcheira El Jihadia ⴷⵛⵉⵔⴰ ⵍⵊⵉⵀⴰⴷⵉⵢⴰ الدشيرة الجهادية;;30.3699837;-9.5401531;;;
cafe;☕;laiterie محلبة;;;30.3701446;-9.538622;;;
cafe;☕;Snack Afriquia;;;30.3699971;-9.5389599;;;
transport;🚌;La Base De Far;;;30.3758739;-9.5573571;;;
transport;🚌;Pergola;;;30.3725576;-9.5526981;;;
transport;🚌;Les Chalets;;;30.3659289;-9.5444631;;;
transport;🚌;Omar Lkhyam;;;30.3647675;-9.5411579;;;
transport;🚌;Remel Conservation;;;30.3630746;-9.546564;;;
pharmacie;💊;Pharmacie Al Andalouss صيدلية الأندلس;Inezgane ⵉⵏⴻⵣⴳⴰⵏ إنزگان;;30.3616772;-9.5403677;;;
pharmacie;💊;Pharmacie Jamal صيدلية جمال;Inezgane ⵉⵏⴻⵣⴳⴰⵏ إنزگان;;30.3641032;-9.5396173;;;
pharmacie;💊;Pharmacie Hader صيدلية حاضر;Inezgane;;30.3585031;-9.5498036;;;
pharmacie;💊;Pharmacie Al Amine صيدلية الأمين;Dcheira El Jihadia ⴷⵛⵉⵔⴰ ⵍⵊⵉⵀⴰⴷⵉⵢⴰ الدشيرة الجهادية;;30.3663321;-9.5380839;;;
pharmacie;💊;Pharmacie Principale الصيدلية الرئيسية;Dcheira El Jihadia ⴷⵛⵉⵔⴰ ⵍⵊⵉⵀⴰⴷⵉⵢⴰ الدشيرة الجهادية;;30.371081;-9.535116;;;
pharmacie;💊;Pharmacie Al Kaoutar صيدلية الكوثر;Dcheira El Jihadia ⴷⵛⵉⵔⴰ ⵍⵊⵉⵀⴰⴷⵉⵢⴰ الدشيرة الجهادية;;30.3689967;-9.5347901;;;
pharmacie;💊;Pharmacie Ksima صيدلية كسيما;Dcheira El Jihadia ⴷⵛⵉⵔⴰ ⵍⵊⵉⵀⴰⴷⵉⵢⴰ الدشيرة الجهادية;;30.3703588;-9.5372958;;;
pharmacie;💊;Pharmacie Hamzaoui صيدلية حمزاوي;Dcheira El Jihadia ⴷⵛⵉⵔⴰ ⵍⵊⵉⵀⴰⴷⵉⵢⴰ الدشيرة الجهادية;;30.369462;-9.544678;;;
pharmacie;💊;Pharmacie La Liberté صيدلية الحرية;Dcheira El Jihadia ⴷⵛⵉⵔⴰ ⵍⵊⵉⵀⴰⴷⵉⵢⴰ الدشيرة الجهادية;;30.3716093;-9.5443634;;;
