Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;K&B;Agadir;;30.371826407823608;-9.549940706126623;;;
transport;🚌;Arrondissement Dcheira;;;30.3701576;-9.5393649;;;
admin;🏛️;2ème arrondissement;;;30.3705676;-9.5477802;;;
banque;🏦;Banque Populaire;;;30.3704157;-9.5400017;;;
banque;🏦;Attijariwafa Bank;Avenida Bir Anzarane;;30.370512;-9.5397754;;;
banque;🏦;Saham Bank;;;30.3708639;-9.5405424;;;
pharmacie;💊;Farmacia Dcheira;Avenida Bir Anzarane, Dcheira El Jihadia;;30.371139;-9.5412949;;;
banque;🏦;CIH Bank;Avenida Bir Anzarane;;30.3717916;-9.5451593;;;
banque;🏦;BMCI;;;30.3705753;-9.5362329;;;
pharmacie;💊;Farmacia Pasteur;;;30.3675201;-9.5409826;;;
transport;🚌;Bir Inzarane Assergal;;;30.3708256;-9.5355005;;;
banque;🏦;Bank of Africa;Avenida Bir Anzarane;;30.3719207;-9.54807;;;
banque;🏦;Crédit Agricole;;;30.3720838;-9.551011;;;
cafe;☕;Café France;;;30.3720339;-9.5500074;;;
transport;🚌;Bir Inzarane Pergola Dcheira;;;30.3718392;-9.5477666;;;
cafe;☕;Café Afoulki;;;30.3717687;-9.5447397;;;
transport;🚌;Bir Inzarane Slaoui;;;30.371646;-9.5435703;;;
mosquee;🕌;Mezquita Walhori;;;30.3737347;-9.5344593;;;
cafe;☕;Argana;;;30.3690429;-9.5401461;;;
pharmacie;💊;Farmacia Ibn Sina;Dcheira El Jihadia;;30.3690089;-9.537553;;;
pharmacie;💊;Farmacia Centrale;Dcheira El Jihadia;;30.3699837;-9.5401531;;;
cafe;☕;laiterie;;;30.3701446;-9.538622;;;
cafe;☕;Snack Afriquia;;;30.3699971;-9.5389599;;;
transport;🚌;La Base De Far;;;30.3758739;-9.5573571;;;
transport;🚌;Pergola;;;30.3725576;-9.5526981;;;
transport;🚌;Les Chalets;;;30.3659289;-9.5444631;;;
transport;🚌;Omar Lkhyam;;;30.3647675;-9.5411579;;;
transport;🚌;Remel Conservation;;;30.3630746;-9.546564;;;
pharmacie;💊;Farmacia Al Andalouss;Inezgane;;30.3616772;-9.5403677;;;
pharmacie;💊;Farmacia Jamal;Inezgane;;30.3641032;-9.5396173;;;
pharmacie;💊;Farmacia Hader;Inezgane;;30.3585031;-9.5498036;;;
pharmacie;💊;Farmacia Al Amine;Dcheira El Jihadia;;30.3663321;-9.5380839;;;
pharmacie;💊;Farmacia Principale;Dcheira El Jihadia;;30.371081;-9.535116;;;
pharmacie;💊;Farmacia Al Kaoutar;Dcheira El Jihadia;;30.3689967;-9.5347901;;;
pharmacie;💊;Farmacia Ksima;Dcheira El Jihadia;;30.3703588;-9.5372958;;;
pharmacie;💊;Farmacia Hamzaoui;Dcheira El Jihadia;;30.369462;-9.544678;;;
pharmacie;💊;Farmacia La Liberté;Dcheira El Jihadia;;30.3716093;-9.5443634;;;
pharmacie;💊;Farmacia La Pergola;Dcheira El Jihadia;;30.3720843;-9.550622;;;
pharmacie;💊;Farmacia Najah Igroumai;Dcheira El Jihadia;;30.3774992;-9.5391625;;;
pharmacie;💊;Farmacia Tilila;Dcheira El Jihadia;;30.3743036;-9.5397798;;;
pharmacie;💊;Farmacia Hammam Aachak;Dcheira El Jihadia;;30.373974;-9.5355831;;;
pharmacie;💊;Farmacia Said;Dcheira El Jihadia;;30.373721;-9.5501004;;;
pharmacie;💊;Farmacia Amgala;Dcheira El Jihadia;;30.3748601;-9.5485723;;;
ecole;🎓;Escuela Saadiyine;;;30.3698941;-9.5386194;;;
admin;🏛️;Poste Maroc;;;30.3693549;-9.539588;;;
ecole;🎓;Escuela Oume Al-Mouminine;;;30.3695452;-9.5415978;;;
ecole;🎓;Colegio Cadi Ayyad;;;30.3701856;-9.5426932;;;
ecole;🎓;Instituto Omar El Khayame;;;30.3659029;-9.5392751;;;
ecole;🎓;Escuela Enahda;;;30.3655968;-9.536741;;;
ecole;🎓;Escuela Ibn Nafiss;;;30.3649638;-9.5367558;;;
sante;🏥;Centro de Salud Irhalne;;;30.3667288;-9.5412183;;;
ecole;🎓;Colegio Fayçal Ibn Abdelaziz;;;30.3676437;-9.5442214;;;
ecole;🎓;Escuela Banque Populaire;;;30.3674867;-9.5465536;;;
ecole;🎓;Instituto Allal Al Fassi;;;30.3717304;-9.5364409;;;
ecole;🎓;Escuela SALAM;;;30.3726061;-9.5370683;;;
ecole;🎓;Colegio Ibn Zohr;;;30.359034;-9.5440508;;;
ecole;🎓;Colegio Ahmed Al Manssour Dahbi;;;30.3598893;-9.5417786;;;
ecole;🎓;Escuela Chohadaa;;;30.3735316;-9.5486855;;;
mosquee;🕌;مسجد المحسنين تاكركورت;;;30.3756486;-9.5442405;;;
ecole;🎓;Escuela 18 Novembre;;;30.3758283;-9.5452177;;;
mosquee;🕌;Mezquita Irhalne;;;30.3681779;-9.5417859;;;
ecole;🎓;Colegio Rahal Ben Ahmed;;;30.3596978;-9.5468701;;;
ecole;🎓;Escuela Imam Al Boukhari;;;30.3758064;-9.5418176;;;
mosquee;🕌;مسجد النهضة;;;30.3763089;-9.5367729;;;
loisir;🌿;القاعة المغطات;;;30.3658957;-9.5421105;;;
mosquee;🕌;Mezquita Igi Farden;;;30.372103;-9.534686;;;
ecole;🎓;Escuela ABOU BAKR ASSIDDIQ;;;30.3730236;-9.5639804;;;
loisir;🌿;Club Equestre des forces armées royales;;;30.3791231;-9.5627816;;;
loisir;🌿;ملعب الرياضات الجماعية - إرحالن;;;30.3653309;-9.5420741;;;
loisir;🌿;ملعب الرياضات إبن النفيس;;;30.3642272;-9.5367273;;;
mosquee;🕌;مسجد المحسنين;;;30.3678444;-9.535658;;;
mosquee;🕌;Mosqueé Al Fath;;;30.3739974;-9.5496249;;;
mosquee;🕌;مسجد إلغياتن;;;30.3674172;-9.5373581;;;
ecole;🎓;DPEF Inezgane Ait Melloul / CRMEF-SM;;;30.3607709;-9.5439186;;;
