Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;محلات تجارية أندلسيا 03;الدشيرة الجهادية;;30.371735;-9.519943;;;
ecole;🎓;إعدادية Al Mobadara;الدشيرة الجهادية;;30.374795;-9.514802;;;
ecole;🎓;مدرسة 2O AOUT;الدشيرة الجهادية;;30.366584;-9.524861;;;
ecole;🎓;مدرسة إبن الفارض;الدشيرة الجهادية;;30.373239;-9.528266;;;
ecole;🎓;إعدادية Al Firdaous;الدشيرة الجهادية;;30.368944;-9.527954;;;
ecole;🎓;مدرسة KHALID BNOU AL WALID;الدشيرة الجهادية;;30.368657;-9.528608;;;
ecole;🎓;مدرسة IBN HAZM;الدشيرة الجهادية;;30.364099;-9.52367;;;
ecole;🎓;مدرسة بئرانزران;الدشيرة الجهادية;;30.377999;-9.511463;;;
ecole;🎓;ثانوية Homman El Fetouaki;الدشيرة الجهادية;;30.365069;-9.528314;;;
ecole;🎓;مدرسة Allal Ben Abdellah;الدشيرة الجهادية;;30.365636;-9.530898;;;
ecole;🎓;اعدادية أبي فراس الحمداني;الدشيرة الجهادية;;30.380398;-9.511145;;;
ecole;🎓;مدرسة سبيل النجاح الخاصة;الدشيرة الجهادية;;30.362474;-9.528403;;;
ecole;🎓;مدرسة الأدارسة;الدشيرة الجهادية;;30.376273;-9.532676;;;
ecole;🎓;Annexe Ecole Al Mobadara AKHLIJ;الدشيرة الجهادية;;30.363467;-9.509811;;;
pharmacie;💊;صيدلية الولاء;الدشيرة الجهادية;;30.372326;-9.520285;;;
pharmacie;💊;صيدلية خويا;الدشيرة الجهادية;;30.369595;-9.51961;;;
pharmacie;💊;صيدلية ضريف;الدشيرة الجهادية;;30.371633;-9.523802;;;
pharmacie;💊;صيدلية كوكاي;الدشيرة الجهادية;;30.374747;-9.51668;;;
pharmacie;💊;صيدلية اليسر;الدشيرة الجهادية;;30.375559;-9.523505;;;
pharmacie;💊;صيدلية تيتريت;الدشيرة الجهادية;;30.370051;-9.526224;;;
pharmacie;💊;صيدلية ابن الهيثم;الدشيرة الجهادية;;30.37755;-9.518179;;;
pharmacie;💊;صيدلية رحمة;الدشيرة الجهادية;;30.366592;-9.52601;;;
pharmacie;💊;صيدلية حي المرس;الدشيرة الجهادية;;30.371245;-9.528814;;;
pharmacie;💊;صيدلية فاديزا;الدشيرة الجهادية;;30.376858;-9.526668;;;
pharmacie;💊;صيدلية أساكا;الدشيرة الجهادية;;30.378833;-9.515313;;;
pharmacie;💊;صيدلية بلا;الدشيرة الجهادية;;30.374627;-9.511059;;;
pharmacie;💊;صيدلية الأمان;الدشيرة الجهادية;;30.364508;-9.525075;;;
pharmacie;💊;صيدلية جهادية;الدشيرة الجهادية;;30.364427;-9.526243;;;
pharmacie;💊;صيدلية فطواكي;الدشيرة الجهادية;;30.364423;-9.527005;;;
magasin;🛒;Marjane;الدشيرة الجهادية;;30.359279;-9.525524;;;
marche;🛒;سوق الثلاثاء;الدشيرة الجهادية;;30.359633;-9.530272;;;
mosquee;🕌;شارع عبد الرحيم بوعبيد;الدشيرة الجهادية;;30.372456;-9.518915;;;
mosquee;🕌;مسجد المرس;الدشيرة الجهادية;;30.371446;-9.526918;;;
mosquee;🕌;مسجد الايمان الجهادية;الدشيرة الجهادية;;30.363249;-9.527988;;;
mosquee;🕌;مسجد أموكاي;الدشيرة الجهادية;;30.367344;-9.533226;;;
mosquee;🕌;مسجد والحوري;الدشيرة الجهادية;;30.373735;-9.534459;;;
mosquee;🕌;مسجد إكي فاردن;الدشيرة الجهادية;;30.372103;-9.534686;;;
cafe;☕;المقهى الادبي;الدشيرة الجهادية;;30.365464;-9.529992;;;
cafe;☕;مقهى Andalus;الدشيرة الجهادية;;30.371158;-9.532385;;;
cafe;☕;سناك أيور;الدشيرة الجهادية;;30.371274;-9.533986;;;
sante;🏥;المركز الصحي;الدشيرة الجهادية;;30.367347;-9.525803;;;
sante;🏥;المركز الصحي Tabarine;الدشيرة الجهادية;;30.371943;-9.532428;;;
sante;🏥;عيادة Dr HAMYA;الدشيرة الجهادية;;30.359583;-9.52588;;;
transport;🚌;صيدلية Titrite;الدشيرة الجهادية;;30.371768;-9.523352;;;
transport;🚌;Lmers;الدشيرة الجهادية;;30.372824;-9.516504;;;
transport;🚌;Complexe Culturel;الدشيرة الجهادية;;30.369529;-9.526595;;;
transport;🚌;Lot Bir Inzarane Asaka;الدشيرة الجهادية;;30.374513;-9.5114;;;
transport;🚌;Imm Fadesa;الدشيرة الجهادية;;30.378029;-9.52562;;;
transport;🚌;Asaka 2 Pharmacie;الدشيرة الجهادية;;30.378929;-9.515029;;;
transport;🚌;Hotel De Ville Dcheira;الدشيرة الجهادية;;30.374035;-9.529844;;;
transport;🚌;Azghar;الدشيرة الجهادية;;30.380576;-9.517392;;;
admin;🏛️;Dcheira Hay Ilham;الدشيرة الجهادية;;30.3637;-9.5269;;;
admin;🏛️;الشرطة القضائية;الدشيرة الجهادية;;30.371561;-9.533495;;;
loisir;🌿;الفضاء الرياضي الترفيهي;الدشيرة الجهادية;;30.37515;-9.527446;;;
loisir;🌿;الفضاء الرياضي تاسيلا;الدشيرة الجهادية;;30.382337;-9.521936;;;
loisir;🌿;ملعب أحمد فانا;الدشيرة الجهادية;;30.367116;-9.531505;;;
loisir;🌿;ملعب والحوري;الدشيرة الجهادية;;30.375251;-9.532978;;;
