Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;محلات تجارية J3;الدشيرة الجهادية;;30.373259;-9.537229;;;
ecole;🎓;مدرسة SALAM;الدشيرة الجهادية;;30.372606;-9.537068;;;
ecole;🎓;مدرسة Moussa Ben El Housseine;الدشيرة الجهادية;;30.371729;-9.537133;;;
ecole;🎓;ثانوية علال الفاسي;الدشيرة الجهادية;;30.37173;-9.536441;;;
ecole;🎓;مدرسة السعديين;الدشيرة الجهادية;;30.369894;-9.538619;;;
ecole;🎓;مدرسة Imam Al Boukhari;الدشيرة الجهادية;;30.375806;-9.541818;;;
ecole;🎓;مدرسة الأدارسة;الدشيرة الجهادية;;30.376273;-9.532676;;;
ecole;🎓;مدرسة Oume Al-Mouminine;الدشيرة الجهادية;;30.369545;-9.541598;;;
ecole;🎓;اعدادية القاضي عياض;الدشيرة الجهادية;;30.370186;-9.542693;;;
ecole;🎓;مدرسة 18 Novembre;الدشيرة الجهادية;;30.375828;-9.545218;;;
ecole;🎓;ثانوية عمر الخيام;الدشيرة الجهادية;;30.365903;-9.539275;;;
ecole;🎓;مدرسة النهضة;الدشيرة الجهادية;;30.365597;-9.536741;;;
ecole;🎓;مدرسة إبن الفارض;الدشيرة الجهادية;;30.373239;-9.528266;;;
ecole;🎓;إعدادية Bouchouariyine;الدشيرة الجهادية;;30.376481;-9.545598;;;
ecole;🎓;إعدادية فيصل بن عبد العزيز;الدشيرة الجهادية;;30.367644;-9.544221;;;
ecole;🎓;مدرسة Ibn Nafiss;الدشيرة الجهادية;;30.364964;-9.536756;;;
ecole;🎓;مدرسة KHALID BNOU AL WALID;الدشيرة الجهادية;;30.368657;-9.528608;;;
ecole;🎓;إعدادية Al Firdaous;الدشيرة الجهادية;;30.368944;-9.527954;;;
ecole;🎓;مدرسة Allal Ben Abdellah;الدشيرة الجهادية;;30.365636;-9.530898;;;
ecole;🎓;مدرسة الشهداء;الدشيرة الجهادية;;30.373532;-9.548685;;;
ecole;🎓;مدرسة Banque Populaire;الدشيرة الجهادية;;30.367487;-9.546554;;;
pharmacie;💊;صيدلية حمام أعشاق;الدشيرة الجهادية;;30.373974;-9.535583;;;
pharmacie;💊;صيدلية تليلا;الدشيرة الجهادية;;30.374304;-9.53978;;;
pharmacie;💊;الصيدلية الرئيسية;الدشيرة الجهادية;;30.371081;-9.535116;;;
pharmacie;💊;صيدلية كسيما;الدشيرة الجهادية;;30.370359;-9.537296;;;
pharmacie;💊;صيدلية الدشيرة;الدشيرة الجهادية;;30.371139;-9.541295;;;
pharmacie;💊;صيدلية تفوكت;الدشيرة الجهادية;;30.371745;-9.53277;;;
pharmacie;💊;الصيدلية المركزية;الدشيرة الجهادية;;30.369984;-9.540153;;;
pharmacie;💊;صيدلية ابن سينا;الدشيرة الجهادية;;30.369009;-9.537553;;;
pharmacie;💊;صيدلية حي السباعي;الدشيرة الجهادية;;30.376884;-9.534314;;;
pharmacie;💊;صيدلية نجاح اكروماي;الدشيرة الجهادية;;30.377499;-9.539162;;;
pharmacie;💊;صيدلية طاباران;الدشيرة الجهادية;;30.374963;-9.53233;;;
pharmacie;💊;صيدلية الكوثر;الدشيرة الجهادية;;30.368997;-9.53479;;;
pharmacie;💊;صيدلية الحرية;الدشيرة الجهادية;;30.371609;-9.544363;;;
pharmacie;💊;صيدلية Pasteur;الدشيرة الجهادية;;30.36752;-9.540983;;;
pharmacie;💊;صيدلية الأمين;الدشيرة الجهادية;;30.366332;-9.538084;;;
marche;🛒;السوق النموذجي;الدشيرة الجهادية;;30.375119;-9.53653;;;
marche;🛒;سوق;الدشيرة الجهادية;;30.375082;-9.536058;;;
marche;🛒;السوق اليومي عمر الخيام;الدشيرة الجهادية;;30.365609;-9.541479;;;
mosquee;🕌;مسجد والحوري;الدشيرة الجهادية;;30.373735;-9.534459;;;
mosquee;🕌;مسجد إكي فاردن;الدشيرة الجهادية;;30.372103;-9.534686;;;
mosquee;🕌;مسجد النهضة;الدشيرة الجهادية;;30.376309;-9.536773;;;
mosquee;🕌;مسجد المحسنين;الدشيرة الجهادية;;30.367844;-9.535658;;;
mosquee;🕌;مسجد إلغياتن;الدشيرة الجهادية;;30.367417;-9.537358;;;
mosquee;🕌;مسجد ارحالن;الدشيرة الجهادية;;30.368178;-9.541786;;;
mosquee;🕌;مسجد المحسنين تاكركورت;الدشيرة الجهادية;;30.375649;-9.544241;;;
mosquee;🕌;مسجد أموكاي;الدشيرة الجهادية;;30.367344;-9.533226;;;
mosquee;🕌;مسجد المرس;الدشيرة الجهادية;;30.371446;-9.526918;;;
mosquee;🕌;مسجد الفتح;الدشيرة الجهادية;;30.373997;-9.549625;;;
cafe;☕;محلبة;الدشيرة الجهادية;;30.370145;-9.538622;;;
cafe;☕;سناك أيور;الدشيرة الجهادية;;30.371274;-9.533986;;;
cafe;☕;سناك Afriquia;الدشيرة الجهادية;;30.369997;-9.53896;;;
cafe;☕;مقهى Andalus;الدشيرة الجهادية;;30.371158;-9.532385;;;
cafe;☕;Argana;الدشيرة الجهادية;;30.369043;-9.540146;;;
cafe;☕;مقهى Afoulki;الدشيرة الجهادية;;30.371769;-9.54474;;;
cafe;☕;المقهى الادبي;الدشيرة الجهادية;;30.365464;-9.529992;;;
cafe;☕;مقهى France;الدشيرة الجهادية;;30.372034;-9.550007;;;
banque;🏦;البنك المغربي للتجارة والصناعة;الدشيرة الجهادية;;30.370575;-9.536233;;;
banque;🏦;التجاري وفا بنك;الدشيرة الجهادية;;30.370512;-9.539775;;;
banque;🏦;البنك الشعبي;الدشيرة الجهادية;;30.370416;-9.540002;;;
banque;🏦;سهام بنك;الدشيرة الجهادية;;30.370864;-9.540542;;;
banque;🏦;القرض العقاري والسياحي;الدشيرة الجهادية;;30.371792;-9.545159;;;
banque;🏦;بنك أفريقيا;الدشيرة الجهادية;;30.371921;-9.54807;;;
banque;🏦;Crédit Agricole;الدشيرة الجهادية;;30.372084;-9.551011;;;
sante;🏥;المركز الصحي Tabarine;الدشيرة الجهادية;;30.371943;-9.532428;;;
sante;🏥;المركز الصحي إرحالن;الدشيرة الجهادية;;30.366729;-9.541218;;;
sante;🏥;الدكتور Oubellahcene Abdallah;الدشيرة الجهادية;;30.362171;-9.534025;;+212 5 28 33 09 33;Mo-Fr 09:00-15:00
sante;🏥;المستشفى العسكري;الدشيرة الجهادية;;30.375747;-9.550223;;;
sante;🏥;المركز الصحي;الدشيرة الجهادية;;30.367347;-9.525803;;;
sante;🏥;مصحة تاغزوت;الدشيرة الجهادية;;30.360618;-9.534907;;+212 5 28 33 23 33;24/7
transport;🚌;Bir Inzarane Assergal;الدشيرة الجهادية;;30.370826;-9.5355;;;
transport;🚌;الجماعة Dcheira;الدشيرة الجهادية;;30.370158;-9.539365;;;
transport;🚌;مستشفى Dcheira;الدشيرة الجهادية;;30.370847;-9.532454;;;
transport;🚌;Bir Inzarane Slaoui;الدشيرة الجهادية;;30.371646;-9.54357;;;
transport;🚌;Hotel De Ville Dcheira;الدشيرة الجهادية;;30.374035;-9.529844;;;
transport;🚌;Amougay;الدشيرة الجهادية;;30.367087;-9.533016;;;
transport;🚌;Omar Lkhyam;الدشيرة الجهادية;;30.364767;-9.541158;;;
transport;🚌;Bir Inzarane Pergola Dcheira;الدشيرة الجهادية;;30.371839;-9.547767;;;
admin;🏛️;الشرطة القضائية;الدشيرة الجهادية;;30.371561;-9.533495;;;
admin;🏛️;بريد Maroc;الدشيرة الجهادية;;30.369355;-9.539588;;;
admin;🏛️;المقاطعة الثانية;الدشيرة الجهادية;;30.370568;-9.54778;;;
