Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;J3 Commercial Units;Dcheira El Jihadia;;30.373259;-9.537229;;;
ecole;🎓;SALAM School;Dcheira El Jihadia;;30.372606;-9.537068;;;
ecole;🎓;Moussa Ben El Housseine School;Dcheira El Jihadia;;30.371729;-9.537133;;;
ecole;🎓;Allal Al Fassi High School;Dcheira El Jihadia;;30.37173;-9.536441;;;
ecole;🎓;Saadiyine School;Dcheira El Jihadia;;30.369894;-9.538619;;;
ecole;🎓;Imam Al Boukhari School;Dcheira El Jihadia;;30.375806;-9.541818;;;
ecole;🎓;School الأدارسة;Dcheira El Jihadia;;30.376273;-9.532676;;;
ecole;🎓;Oume Al-Mouminine School;Dcheira El Jihadia;;30.369545;-9.541598;;;
ecole;🎓;Cadi Ayyad Middle School;Dcheira El Jihadia;;30.370186;-9.542693;;;
ecole;🎓;18 Novembre School;Dcheira El Jihadia;;30.375828;-9.545218;;;
ecole;🎓;Omar El Khayame High School;Dcheira El Jihadia;;30.365903;-9.539275;;;
ecole;🎓;Enahda School;Dcheira El Jihadia;;30.365597;-9.536741;;;
ecole;🎓;School إبن الفارض;Dcheira El Jihadia;;30.373239;-9.528266;;;
ecole;🎓;Bouchouariyine Middle School;Dcheira El Jihadia;;30.376481;-9.545598;;;
ecole;🎓;Fayçal Ibn Abdelaziz Middle School;Dcheira El Jihadia;;30.367644;-9.544221;;;
ecole;🎓;Ibn Nafiss School;Dcheira El Jihadia;;30.364964;-9.536756;;;
ecole;🎓;KHALID BNOU AL WALID School;Dcheira El Jihadia;;30.368657;-9.528608;;;
ecole;🎓;Al Firdaous Middle School;Dcheira El Jihadia;;30.368944;-9.527954;;;
ecole;🎓;Allal Ben Abdellah School;Dcheira El Jihadia;;30.365636;-9.530898;;;
ecole;🎓;Chohadaa School;Dcheira El Jihadia;;30.373532;-9.548685;;;
ecole;🎓;Banque Populaire School;Dcheira El Jihadia;;30.367487;-9.546554;;;
pharmacie;💊;Hammam Aachak Pharmacy;Dcheira El Jihadia;;30.373974;-9.535583;;;
pharmacie;💊;Tilila Pharmacy;Dcheira El Jihadia;;30.374304;-9.53978;;;
pharmacie;💊;Principale Pharmacy;Dcheira El Jihadia;;30.371081;-9.535116;;;
pharmacie;💊;Ksima Pharmacy;Dcheira El Jihadia;;30.370359;-9.537296;;;
pharmacie;💊;Dcheira Pharmacy;Avenue Bir Anzarane;;30.371139;-9.541295;;;
pharmacie;💊;Tafoukt Pharmacy;Dcheira El Jihadia;;30.371745;-9.53277;;;
pharmacie;💊;Centrale Pharmacy;Dcheira El Jihadia;;30.369984;-9.540153;;;
pharmacie;💊;Ibn Sina Pharmacy;Dcheira El Jihadia;;30.369009;-9.537553;;;
pharmacie;💊;Hay Sbai Pharmacy;Dcheira El Jihadia;;30.376884;-9.534314;;;
pharmacie;💊;Najah Igroumai Pharmacy;Dcheira El Jihadia;;30.377499;-9.539162;;;
pharmacie;💊;Tabarin Pharmacy;Dcheira El Jihadia;;30.374963;-9.53233;;;
pharmacie;💊;Al Kaoutar Pharmacy;Dcheira El Jihadia;;30.368997;-9.53479;;;
pharmacie;💊;La Liberté Pharmacy;Dcheira El Jihadia;;30.371609;-9.544363;;;
pharmacie;💊;Pasteur Pharmacy;Dcheira El Jihadia;;30.36752;-9.540983;;;
pharmacie;💊;Al Amine Pharmacy;Dcheira El Jihadia;;30.366332;-9.538084;;;
marche;🛒;Market النموذجي;Dcheira El Jihadia;;30.375119;-9.53653;;;
marche;🛒;Market سوق;Dcheira El Jihadia;;30.375082;-9.536058;;;
