Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;Locales comerciales J3;Dcheira El Jihadia;;30.373259;-9.537229;;;
ecole;🎓;Escuela SALAM;Dcheira El Jihadia;;30.372606;-9.537068;;;
ecole;🎓;Escuela Moussa Ben El Housseine;Dcheira El Jihadia;;30.371729;-9.537133;;;
ecole;🎓;Instituto Allal Al Fassi;Dcheira El Jihadia;;30.37173;-9.536441;;;
ecole;🎓;Escuela Saadiyine;Dcheira El Jihadia;;30.369894;-9.538619;;;
ecole;🎓;Escuela Imam Al Boukhari;Dcheira El Jihadia;;30.375806;-9.541818;;;
ecole;🎓;Escuela الأدارسة;Dcheira El Jihadia;;30.376273;-9.532676;;;
ecole;🎓;Escuela Oume Al-Mouminine;Dcheira El Jihadia;;30.369545;-9.541598;;;
ecole;🎓;Colegio Cadi Ayyad;Dcheira El Jihadia;;30.370186;-9.542693;;;
ecole;🎓;Escuela 18 Novembre;Dcheira El Jihadia;;30.375828;-9.545218;;;
ecole;🎓;Instituto Omar El Khayame;Dcheira El Jihadia;;30.365903;-9.539275;;;
ecole;🎓;Escuela Enahda;Dcheira El Jihadia;;30.365597;-9.536741;;;
ecole;🎓;Escuela إبن الفارض;Dcheira El Jihadia;;30.373239;-9.528266;;;
ecole;🎓;Colegio Bouchouariyine;Dcheira El Jihadia;;30.376481;-9.545598;;;
ecole;🎓;Colegio Fayçal Ibn Abdelaziz;Dcheira El Jihadia;;30.367644;-9.544221;;;
ecole;🎓;Escuela Ibn Nafiss;Dcheira El Jihadia;;30.364964;-9.536756;;;
ecole;🎓;Escuela KHALID BNOU AL WALID;Dcheira El Jihadia;;30.368657;-9.528608;;;
ecole;🎓;Colegio Al Firdaous;Dcheira El Jihadia;;30.368944;-9.527954;;;
ecole;🎓;Escuela Allal Ben Abdellah;Dcheira El Jihadia;;30.365636;-9.530898;;;
ecole;🎓;Escuela Chohadaa;Dcheira El Jihadia;;30.373532;-9.548685;;;
ecole;🎓;Escuela Banque Populaire;Dcheira El Jihadia;;30.367487;-9.546554;;;
pharmacie;💊;Farmacia Hammam Aachak;Dcheira El Jihadia;;30.373974;-9.535583;;;
pharmacie;💊;Farmacia Tilila;Dcheira El Jihadia;;30.374304;-9.53978;;;
pharmacie;💊;Farmacia Principale;Dcheira El Jihadia;;30.371081;-9.535116;;;
pharmacie;💊;Farmacia Ksima;Dcheira El Jihadia;;30.370359;-9.537296;;;
pharmacie;💊;Farmacia Dcheira;Avenue Bir Anzarane;;30.371139;-9.541295;;;
pharmacie;💊;Farmacia Tafoukt;Dcheira El Jihadia;;30.371745;-9.53277;;;
pharmacie;💊;Farmacia Centrale;Dcheira El Jihadia;;30.369984;-9.540153;;;
pharmacie;💊;Farmacia Ibn Sina;Dcheira El Jihadia;;30.369009;-9.537553;;;
pharmacie;💊;Farmacia Hay Sbai;Dcheira El Jihadia;;30.376884;-9.534314;;;
pharmacie;💊;Farmacia Najah Igroumai;Dcheira El Jihadia;;30.377499;-9.539162;;;
pharmacie;💊;Farmacia Tabarin;Dcheira El Jihadia;;30.374963;-9.53233;;;
pharmacie;💊;Farmacia Al Kaoutar;Dcheira El Jihadia;;30.368997;-9.53479;;;
pharmacie;💊;Farmacia La Liberté;Dcheira El Jihadia;;30.371609;-9.544363;;;
pharmacie;💊;Farmacia Pasteur;Dcheira El Jihadia;;30.36752;-9.540983;;;
pharmacie;💊;Farmacia Al Amine;Dcheira El Jihadia;;30.366332;-9.538084;;;
marche;🛒;Zoco Típico;Dcheira El Jihadia;;30.375119;-9.53653;;;
marche;🛒;Zoco;Dcheira El Jihadia;;30.375082;-9.536058;;;
marche;🛒;Mercado اليومي عمر الخيام;Dcheira El Jihadia;;30.365609;-9.541479;;;
mosquee;🕌;Mezquita de Walhori;Dcheira El Jihadia;;30.373735;-9.534459;;;
mosquee;🕌;Mezquita de Igi Farden;Dcheira El Jihadia;;30.372103;-9.534686;;;
mosquee;🕌;Mezquita النهضة;Dcheira El Jihadia;;30.376309;-9.536773;;;
mosquee;🕌;Mezquita المحسنين;Dcheira El Jihadia;;30.367844;-9.535658;;;
mosquee;🕌;Mezquita إلغياتن;Dcheira El Jihadia;;30.367417;-9.537358;;;
mosquee;🕌;Mezquita Irhalne;Dcheira El Jihadia;;30.368178;-9.541786;;;
mosquee;🕌;Mezquita المحسنين تاكركورت;Dcheira El Jihadia;;30.375649;-9.544241;;;
mosquee;🕌;Mezquita أموكاي;Dcheira El Jihadia;;30.367344;-9.533226;;;
mosquee;🕌;Mezquita de El Mers;Dcheira El Jihadia;;30.371446;-9.526918;;;
mosquee;🕌;Mosqueé Al Fath;Dcheira El Jihadia;;30.373997;-9.549625;;;
cafe;☕;laiterie;Dcheira El Jihadia;;30.370145;-9.538622;;;
cafe;☕;Café سناك أيور;Dcheira El Jihadia;;30.371274;-9.533986;;;
cafe;☕;Snack Afriquia;Dcheira El Jihadia;;30.369997;-9.53896;;;
cafe;☕;Café Andalus;Dcheira El Jihadia;;30.371158;-9.532385;;;
cafe;☕;Argana;Dcheira El Jihadia;;30.369043;-9.540146;;;
cafe;☕;Café Afoulki;Dcheira El Jihadia;;30.371769;-9.54474;;;
cafe;☕;Café الادبي;Dcheira El Jihadia;;30.365464;-9.529992;;;
cafe;☕;Café France;Dcheira El Jihadia;;30.372034;-9.550007;;;
banque;🏦;BMCI;Dcheira El Jihadia;;30.370575;-9.536233;;;
banque;🏦;Banco Attijariwafa;Avenue Bir Anzarane;;30.370512;-9.539775;;;
banque;🏦;Banco Populaire;Dcheira El Jihadia;;30.370416;-9.540002;;;
banque;🏦;Saham Bank;Dcheira El Jihadia;;30.370864;-9.540542;;;
banque;🏦;CIH Bank;Avenue Bir Anzarane;;30.371792;-9.545159;;;
banque;🏦;Bank of Africa;Avenue Bir Anzarane;;30.371921;-9.54807;;;
banque;🏦;Crédit Agricole;Dcheira El Jihadia;;30.372084;-9.551011;;;
sante;🏥;Centro de salud Tabarine;Dcheira El Jihadia;;30.371943;-9.532428;;;
sante;🏥;Centro de salud Irhalne;Dcheira El Jihadia;;30.366729;-9.541218;;;
sante;🏥;Dr. Oubellahcene Abdallah;Avenue des Far شارع الجيش الملكي;;30.362171;-9.534025;;+212 5 28 33 09 33;Mo-Fr 09:00-15:00
sante;🏥;Centro de salud العسكري;Dcheira El Jihadia;;30.375747;-9.550223;;;
sante;🏥;Centro de Salud;Dcheira El Jihadia;;30.367347;-9.525803;;;
sante;🏥;Clínica taghzout;Boulevard Hassan II شارع الحسن الثاني;;30.360618;-9.534907;;+212 5 28 33 23 33;24/7
transport;🚌;Bir Inzarane Assergal;Dcheira El Jihadia;;30.370826;-9.5355;;;
transport;🚌;Ayuntamiento Dcheira;Dcheira El Jihadia;;30.370158;-9.539365;;;
transport;🚌;Hospital Dcheira;Dcheira El Jihadia;;30.370847;-9.532454;;;
transport;🚌;Bir Inzarane Slaoui;Dcheira El Jihadia;;30.371646;-9.54357;;;
transport;🚌;Hotel De Ville Dcheira;Dcheira El Jihadia;;30.374035;-9.529844;;;
transport;🚌;Amougay;Dcheira El Jihadia;;30.367087;-9.533016;;;
transport;🚌;Omar Lkhyam;Dcheira El Jihadia;;30.364767;-9.541158;;;
transport;🚌;Bir Inzarane Pergola Dcheira;Dcheira El Jihadia;;30.371839;-9.547767;;;
admin;🏛️;Police judiciaire;Dcheira El Jihadia;;30.371561;-9.533495;;;
admin;🏛️;Correos Maroc;Dcheira El Jihadia;;30.369355;-9.539588;;;
admin;🏛️;2ème arrondissement;Dcheira El Jihadia;;30.370568;-9.54778;;;
admin;🏛️;Comisaría Centrale - Inezgane;Dcheira El Jihadia;;30.362409;-9.534501;;;
admin;🏛️;Dcheira Hay Ilham;DCHEIRA EL JIHADIA;;30.3637;-9.5269;;;
loisir;🌿;ملعب;Dcheira El Jihadia;;30.37243;-9.536819;;;
loisir;🌿;Estadio de Walhori;Dcheira El Jihadia;;30.375251;-9.532978;;;
loisir;🌿;Estadio Ahmed Fana;Dcheira El Jihadia;;30.367116;-9.531505;;;
loisir;🌿;القاعة المغطات;Dcheira El Jihadia;;30.365896;-9.54211;;;
loisir;🌿;الفضاء الرياضي الترفيهي;Dcheira El Jihadia;;30.37515;-9.527446;;;
loisir;🌿;ملعب الرياضات الجماعية - إرحالن;Dcheira El Jihadia;;30.365331;-9.542074;;;
loisir;🌿;ملعب الرياضات إبن النفيس;Dcheira El Jihadia;;30.364227;-9.536727;;;
loisir;🌿;Club socio-sportif de proximité;Dcheira El Jihadia;;30.364116;-9.536171;;;
