Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;Locaux commerciaux J3;Dcheira El Jihadia, Agadir;;30.373259;-9.537229;;;
aeroport;✈️;Aéroport Al Massira;Agadir;4.0;30.3811;-9.5462;;+212 5 28 83 91 22;Aéroport international
marche;🛒;Souk d'Inezgane (marché du mardi);Inezgane;;30.359344;-9.530888;;;Grand souk hebdomadaire
transport;🚌;Gare routière d'Inezgane;RN10, Inezgane;;30.359746;-9.527025;;;Autocars toutes directions
medina;🏛️;Médina d'Agadir;;;30.3785;-9.5725;;;Médina artisanale (Coco Polizzi)
ecole;🎓;Faculté de Médecine – Université Ibn Zohr;RN1, El Houda, Agadir;;30.406885;-9.533029;;;Campus universitaire
magasin;🛒;Marjane Agadir;Bd Mohammed VI, Founty;;30.394457;-9.580797;;;Hypermarché & galerie
parc;🐊;Crocoparc;Drarga;;30.389379;-9.484029;;;Parc aux crocodiles et jardins
hopital;🏥;Hôpital Hassan II;Av. Hassan II Agadir;3.5;30.4042;-9.5811;;+212 5 28 84 13 51;CHU régional
stade;🏟️;Stade Adrar;;;30.4274;-9.5403;;;Grand stade d'Agadir
medina;🏛️;Souk El Had;Agadir;4.4;30.4198;-9.5897;;;Plus grand souk d'Agadir
musee;🖼️;Musée du Patrimoine Amazigh;;;30.416;-9.5971;;;Culture amazighe
parc;🐦;Vallée des Oiseaux;;;30.4196;-9.6021;;;Parc animalier gratuit
parc;🌳;Jardin d'Olhão;;;30.4247;-9.5971;;;Jardin public paysager
marina;⚓;Marina d'Agadir;;;30.4224;-9.6177;;;Port de plaisance & restaurants
plage;🏖️;Plage d'Agadir;Corniche d'Agadir;4.5;30.4278;-9.6189;;;Plage principale
monument;🏰;Kasbah Agadir Oufella;;;30.4297;-9.6248;;;Forteresse historique, vue panoramique
