Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;محلات تجارية بيرل;الدشيرة الجهادية (لابيركولا);;30.371911;-9.547333;;;
ecole;🎓;مدرسة الشهداء;الدشيرة الجهادية (لابيركولا);;30.373532;-9.548685;;;
ecole;🎓;مدرسة 18 Novembre;الدشيرة الجهادية (لابيركولا);;30.375828;-9.545218;;;
ecole;🎓;اعدادية القاضي عياض;الدشيرة الجهادية (لابيركولا);;30.370186;-9.542693;;;
ecole;🎓;مدرسة Banque Populaire;الدشيرة الجهادية (لابيركولا);;30.367487;-9.546554;;;
ecole;🎓;إعدادية Bouchouariyine;الدشيرة الجهادية (لابيركولا);;30.376481;-9.545598;;;
ecole;🎓;إعدادية فيصل بن عبد العزيز;الدشيرة الجهادية (لابيركولا);;30.367644;-9.544221;;;
ecole;🎓;مدرسة Oume Al-Mouminine;الدشيرة الجهادية (لابيركولا);;30.369545;-9.541598;;;
ecole;🎓;مدرسة Imam Al Boukhari;الدشيرة الجهادية (لابيركولا);;30.375806;-9.541818;;;
ecole;🎓;مدرسة السعديين;الدشيرة الجهادية (لابيركولا);;30.369894;-9.538619;;;
ecole;🎓;مدرسة Moussa Ben El Housseine;الدشيرة الجهادية (لابيركولا);;30.371729;-9.537133;;;
ecole;🎓;مدرسة SALAM;الدشيرة الجهادية (لابيركولا);;30.372606;-9.537068;;;
ecole;🎓;ثانوية عمر الخيام;الدشيرة الجهادية (لابيركولا);;30.365903;-9.539275;;;
ecole;🎓;ثانوية علال الفاسي;الدشيرة الجهادية (لابيركولا);;30.37173;-9.536441;;;
ecole;🎓;مدرسة النهضة;الدشيرة الجهادية (لابيركولا);;30.365597;-9.536741;;;
ecole;🎓;مدرسة Ibn Nafiss;الدشيرة الجهادية (لابيركولا);;30.364964;-9.536756;;;
ecole;🎓;DPEF Inezgane Ait Melloul / CRMEF-SM;الدشيرة الجهادية (لابيركولا);;30.360771;-9.543919;;;
ecole;🎓;مجموعة مدارس الحنان الخاصة;الدشيرة الجهادية (لابيركولا);;30.363278;-9.537664;;+212 5 28 33 66 33;Mo-Sa 07:55-18:15
