Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;Locaux commerciaux Perle;Dcheira El Jihadia (La Pergola);;30.371911;-9.547333;;;
ecole;🎓;Ecole Chohadaa;Dcheira El Jihadia (La Pergola);;30.373532;-9.548685;;;
ecole;🎓;Ecole 18 Novembre;Dcheira El Jihadia (La Pergola);;30.375828;-9.545218;;;
ecole;🎓;Collège Cadi Ayyad;Dcheira El Jihadia (La Pergola);;30.370186;-9.542693;;;
ecole;🎓;Ecole Banque Populaire;Dcheira El Jihadia (La Pergola);;30.367487;-9.546554;;;
ecole;🎓;Collège Bouchouariyine;Dcheira El Jihadia (La Pergola);;30.376481;-9.545598;;;
ecole;🎓;Collège Fayçal Ibn Abdelaziz;Dcheira El Jihadia (La Pergola);;30.367644;-9.544221;;;
ecole;🎓;Ecole Oume Al-Mouminine;Dcheira El Jihadia (La Pergola);;30.369545;-9.541598;;;
ecole;🎓;Ecole Imam Al Boukhari;Dcheira El Jihadia (La Pergola);;30.375806;-9.541818;;;
ecole;🎓;École Saadiyine;Dcheira El Jihadia (La Pergola);;30.369894;-9.538619;;;
ecole;🎓;Ecole Moussa Ben El Housseine;Dcheira El Jihadia (La Pergola);;30.371729;-9.537133;;;
ecole;🎓;Ecole SALAM;Dcheira El Jihadia (La Pergola);;30.372606;-9.537068;;;
ecole;🎓;Lycée Omar El Khayame;Dcheira El Jihadia (La Pergola);;30.365903;-9.539275;;;
ecole;🎓;Lycée Allal Al Fassi;Dcheira El Jihadia (La Pergola);;30.37173;-9.536441;;;
ecole;🎓;Ecole Enahda;Dcheira El Jihadia (La Pergola);;30.365597;-9.536741;;;
ecole;🎓;Ecole Ibn Nafiss;Dcheira El Jihadia (La Pergola);;30.364964;-9.536756;;;
ecole;🎓;DPEF Inezgane Ait Melloul / CRMEF-SM;Dcheira El Jihadia (La Pergola);;30.360771;-9.543919;;;
ecole;🎓;Groupe Scolaire Al Hanane Prive;Avenue des Far شارع الجيش الملكي;;30.363278;-9.537664;;+212 5 28 33 66 33;Mo-Sa 07:55-18:15
ecole;🎓;Collège Rahal Ben Ahmed;Dcheira El Jihadia (La Pergola);;30.359698;-9.54687;;;
ecole;🎓;Collège Ahmed Al Manssour Dahbi;Dcheira El Jihadia (La Pergola);;30.359889;-9.541779;;;
