Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;تجزئة مكتوب;الدشيرة الجهادية;;30.372065;-9.52895;;;
ecole;🎓;مدرسة إبن الفارض;الدشيرة الجهادية;;30.373239;-9.528266;;;
ecole;🎓;إعدادية Al Firdaous;الدشيرة الجهادية;;30.368944;-9.527954;;;
ecole;🎓;مدرسة KHALID BNOU AL WALID;الدشيرة الجهادية;;30.368657;-9.528608;;;
ecole;🎓;مدرسة الأدارسة;الدشيرة الجهادية;;30.376273;-9.532676;;;
ecole;🎓;ثانوية علال الفاسي;الدشيرة الجهادية;;30.37173;-9.536441;;;
ecole;🎓;مدرسة 2O AOUT;الدشيرة الجهادية;;30.366584;-9.524861;;;
ecole;🎓;مدرسة Allal Ben Abdellah;الدشيرة الجهادية;;30.365636;-9.530898;;;
ecole;🎓;ثانوية Homman El Fetouaki;الدشيرة الجهادية;;30.365069;-9.528314;;;
ecole;🎓;مدرسة SALAM;الدشيرة الجهادية;;30.372606;-9.537068;;;
ecole;🎓;مدرسة Moussa Ben El Housseine;الدشيرة الجهادية;;30.371729;-9.537133;;;
ecole;🎓;مدرسة السعديين;الدشيرة الجهادية;;30.369894;-9.538619;;;
ecole;🎓;مدرسة IBN HAZM;الدشيرة الجهادية;;30.364099;-9.52367;;;
ecole;🎓;مدرسة النهضة;الدشيرة الجهادية;;30.365597;-9.536741;;;
ecole;🎓;مدرسة سبيل النجاح الخاصة;الدشيرة الجهادية;;30.362474;-9.528403;;;
ecole;🎓;مدرسة Ibn Nafiss;الدشيرة الجهادية;;30.364964;-9.536756;;;
ecole;🎓;ثانوية عمر الخيام;الدشيرة الجهادية;;30.365903;-9.539275;;;
ecole;🎓;مدرسة Oume Al-Mouminine;الدشيرة الجهادية;;30.369545;-9.541598;;;
ecole;🎓;مجموعة مدارس الحنان الخاصة;الدشيرة الجهادية;;30.363278;-9.537664;;+212 5 28 33 66 33;Mo-Sa 07:55-18:15
ecole;🎓;مدرسة Imam Al Boukhari;الدشيرة الجهادية;;30.375806;-9.541818;;;
ecole;🎓;اعدادية القاضي عياض;الدشيرة الجهادية;;30.370186;-9.542693;;;
pharmacie;💊;صيدلية حي المرس;الدشيرة الجهادية;;30.371245;-9.528814;;;
pharmacie;💊;صيدلية تيتريت;الدشيرة الجهادية;;30.370051;-9.526224;;;
pharmacie;💊;صيدلية تفوكت;الدشيرة الجهادية;;30.371745;-9.53277;;;
pharmacie;💊;صيدلية طاباران;الدشيرة الجهادية;;30.374963;-9.53233;;;
pharmacie;💊;صيدلية ضريف;الدشيرة الجهادية;;30.371633;-9.523802;;;
pharmacie;💊;صيدلية فاديزا;الدشيرة الجهادية;;30.376858;-9.526668;;;
pharmacie;💊;الصيدلية الرئيسية;الدشيرة الجهادية;;30.371081;-9.535116;;;
pharmacie;💊;صيدلية اليسر;الدشيرة الجهادية;;30.375559;-9.523505;;;
pharmacie;💊;صيدلية الكوثر;الدشيرة الجهادية;;30.368997;-9.53479;;;
pharmacie;💊;صيدلية رحمة;الدشيرة الجهادية;;30.366592;-9.52601;;;
pharmacie;💊;صيدلية حمام أعشاق;الدشيرة الجهادية;;30.373974;-9.535583;;;
pharmacie;💊;صيدلية أموكاي;الدشيرة الجهادية;;30.3665;-9.53316;;;
pharmacie;💊;صيدلية حي السباعي;الدشيرة الجهادية;;30.376884;-9.534314;;;
pharmacie;💊;صيدلية كسيما;الدشيرة الجهادية;;30.370359;-9.537296;;;
pharmacie;💊;صيدلية الولاء;الدشيرة الجهادية;;30.372326;-9.520285;;;
magasin;🛒;Marjane;الدشيرة الجهادية;;30.359279;-9.525524;;;
marche;🛒;سوق;الدشيرة الجهادية;;30.375082;-9.536058;;;
marche;🛒;السوق النموذجي;الدشيرة الجهادية;;30.375119;-9.53653;;;
marche;🛒;سوق الثلاثاء;الدشيرة الجهادية;;30.359633;-9.530272;;;
marche;🛒;السوق اليومي عمر الخيام;الدشيرة الجهادية;;30.365609;-9.541479;;;
mosquee;🕌;مسجد المرس;الدشيرة الجهادية;;30.371446;-9.526918;;;
mosquee;🕌;مسجد إكي فاردن;الدشيرة الجهادية;;30.372103;-9.534686;;;
mosquee;🕌;مسجد والحوري;الدشيرة الجهادية;;30.373735;-9.534459;;;
mosquee;🕌;مسجد أموكاي;الدشيرة الجهادية;;30.367344;-9.533226;;;
mosquee;🕌;مسجد المحسنين;الدشيرة الجهادية;;30.367844;-9.535658;;;
mosquee;🕌;مسجد النهضة;الدشيرة الجهادية;;30.376309;-9.536773;;;
mosquee;🕌;مسجد إلغياتن;الدشيرة الجهادية;;30.367417;-9.537358;;;
mosquee;🕌;شارع عبد الرحيم بوعبيد;الدشيرة الجهادية;;30.372456;-9.518915;;;
mosquee;🕌;مسجد الايمان الجهادية;الدشيرة الجهادية;;30.363249;-9.527988;;;
mosquee;🕌;مسجد ارحالن;الدشيرة الجهادية;;30.368178;-9.541786;;;
cafe;☕;مقهى Andalus;الدشيرة الجهادية;;30.371158;-9.532385;;;
cafe;☕;سناك أيور;الدشيرة الجهادية;;30.371274;-9.533986;;;
cafe;☕;المقهى الادبي;الدشيرة الجهادية;;30.365464;-9.529992;;;
cafe;☕;محلبة;الدشيرة الجهادية;;30.370145;-9.538622;;;
cafe;☕;سناك Afriquia;الدشيرة الجهادية;;30.369997;-9.53896;;;
cafe;☕;Argana;الدشيرة الجهادية;;30.369043;-9.540146;;;
banque;🏦;البنك المغربي للتجارة والصناعة;الدشيرة الجهادية;;30.370575;-9.536233;;;
banque;🏦;التجاري وفا بنك;الدشيرة الجهادية;;30.370512;-9.539775;;;
banque;🏦;البنك الشعبي;الدشيرة الجهادية;;30.370416;-9.540002;;;
banque;🏦;سهام بنك;الدشيرة الجهادية;;30.370864;-9.540542;;;
banque;🏦;بنك أفريقيا;الدشيرة الجهادية;;30.359812;-9.533736;;;
banque;🏦;البنك المغربي للتجارة و الصناعة;الدشيرة الجهادية;;30.359085;-9.533155;;;
sante;🏥;المركز الصحي Tabarine;الدشيرة الجهادية;;30.371943;-9.532428;;;
sante;🏥;المركز الصحي;الدشيرة الجهادية;;30.367347;-9.525803;;;
sante;🏥;الدكتور Oubellahcene Abdallah;الدشيرة الجهادية;;30.362171;-9.534025;;+212 5 28 33 09 33;Mo-Fr 09:00-15:00
sante;🏥;المركز الصحي إرحالن;الدشيرة الجهادية;;30.366729;-9.541218;;;
sante;🏥;مصحة تاغزوت;الدشيرة الجهادية;;30.360618;-9.534907;;+212 5 28 33 23 33;24/7
sante;🏥;عيادة Dr HAMYA;الدشيرة الجهادية;;30.359583;-9.52588;;;
transport;🚌;Hotel De Ville Dcheira;الدشيرة الجهادية;;30.374035;-9.529844;;;
transport;🚌;Complexe Culturel;الدشيرة الجهادية;;30.369529;-9.526595;;;
transport;🚌;مستشفى Dcheira;الدشيرة الجهادية;;30.370847;-9.532454;;;
transport;🚌;صيدلية Titrite;الدشيرة الجهادية;;30.371768;-9.523352;;;
transport;🚌;Bir Inzarane Assergal;الدشيرة الجهادية;;30.370826;-9.5355;;;
transport;🚌;Amougay;الدشيرة الجهادية;;30.367087;-9.533016;;;
transport;🚌;Imm Fadesa;الدشيرة الجهادية;;30.378029;-9.52562;;;
transport;🚌;Immeubles Jihadia;الدشيرة الجهادية;;30.363896;-9.525463;;;
admin;🏛️;الشرطة القضائية;الدشيرة الجهادية;;30.371561;-9.533495;;;
admin;🏛️;Dcheira Hay Ilham;الدشيرة الجهادية;;30.3637;-9.5269;;;
admin;🏛️;بريد Maroc;الدشيرة الجهادية;;30.369355;-9.539588;;;
admin;🏛️;المقاطعة الأولى للأمن الوطني - انزكان;الدشيرة الجهادية;;30.362409;-9.534501;;;
loisir;🌿;الفضاء الرياضي الترفيهي;الدشيرة الجهادية;;30.37515;-9.527446;;;
loisir;🌿;ملعب والحوري;الدشيرة الجهادية;;30.375251;-9.532978;;;
loisir;🌿;ملعب أحمد فانا;الدشيرة الجهادية;;30.367116;-9.531505;;;
loisir;🌿;ملعب;الدشيرة الجهادية;;30.37243;-9.536819;;;
loisir;🌿;Club socio-sportif de proximité;الدشيرة الجهادية;;30.364116;-9.536171;;;
loisir;🌿;ملعب الرياضات إبن النفيس;الدشيرة الجهادية;;30.364227;-9.536727;;;
loisir;🌿;الفضاء الرياضي تاسيلا;الدشيرة الجهادية;;30.382337;-9.521936;;;
loisir;🌿;القاعة المغطات;الدشيرة الجهادية;;30.365896;-9.54211;;;
