Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;Lot Mektoub;Dcheira El Jihadia;;30.372065;-9.52895;;;
ecole;🎓;School إبن الفارض;Dcheira El Jihadia;;30.373239;-9.528266;;;
ecole;🎓;Al Firdaous Middle School;Dcheira El Jihadia;;30.368944;-9.527954;;;
ecole;🎓;KHALID BNOU AL WALID School;Dcheira El Jihadia;;30.368657;-9.528608;;;
ecole;🎓;School الأدارسة;Dcheira El Jihadia;;30.376273;-9.532676;;;
ecole;🎓;Allal Al Fassi High School;Dcheira El Jihadia;;30.37173;-9.536441;;;
ecole;🎓;2O AOUT School;Dcheira El Jihadia;;30.366584;-9.524861;;;
ecole;🎓;Allal Ben Abdellah School;Dcheira El Jihadia;;30.365636;-9.530898;;;
ecole;🎓;Homman El Fetouaki High School;Dcheira El Jihadia;;30.365069;-9.528314;;;
ecole;🎓;SALAM School;Dcheira El Jihadia;;30.372606;-9.537068;;;
ecole;🎓;Moussa Ben El Housseine School;Dcheira El Jihadia;;30.371729;-9.537133;;;
ecole;🎓;Saadiyine School;Dcheira El Jihadia;;30.369894;-9.538619;;;
ecole;🎓;IBN HAZM School;Dcheira El Jihadia;;30.364099;-9.52367;;;
ecole;🎓;Enahda School;Dcheira El Jihadia;;30.365597;-9.536741;;;
ecole;🎓;School سبيل النجاح الخاصة;Dcheira El Jihadia;;30.362474;-9.528403;;;
ecole;🎓;Ibn Nafiss School;Dcheira El Jihadia;;30.364964;-9.536756;;;
ecole;🎓;Omar El Khayame High School;Dcheira El Jihadia;;30.365903;-9.539275;;;
ecole;🎓;Oume Al-Mouminine School;Dcheira El Jihadia;;30.369545;-9.541598;;;
ecole;🎓;Al Hanane Prive School Group;Avenue des Far شارع الجيش الملكي;;30.363278;-9.537664;;+212 5 28 33 66 33;Mo-Sa 07:55-18:15
ecole;🎓;Imam Al Boukhari School;Dcheira El Jihadia;;30.375806;-9.541818;;;
ecole;🎓;Cadi Ayyad Middle School;Dcheira El Jihadia;;30.370186;-9.542693;;;
pharmacie;💊;Hay El Mers Pharmacy;Dcheira El Jihadia;;30.371245;-9.528814;;;
pharmacie;💊;Titrite Pharmacy;Dcheira El Jihadia;;30.370051;-9.526224;;;
pharmacie;💊;Tafoukt Pharmacy;Dcheira El Jihadia;;30.371745;-9.53277;;;
pharmacie;💊;Tabarin Pharmacy;Dcheira El Jihadia;;30.374963;-9.53233;;;
pharmacie;💊;Darif Pharmacy;Dcheira El Jihadia;;30.371633;-9.523802;;;
pharmacie;💊;Fadesa Pharmacy;Dcheira El Jihadia;;30.376858;-9.526668;;;
pharmacie;💊;Principale Pharmacy;Dcheira El Jihadia;;30.371081;-9.535116;;;
pharmacie;💊;Al Yosr Pharmacy;Dcheira El Jihadia;;30.375559;-9.523505;;;
pharmacie;💊;Al Kaoutar Pharmacy;Dcheira El Jihadia;;30.368997;-9.53479;;;
pharmacie;💊;Rahma Pharmacy;Dcheira El Jihadia;;30.366592;-9.52601;;;
pharmacie;💊;Hammam Aachak Pharmacy;Dcheira El Jihadia;;30.373974;-9.535583;;;
pharmacie;💊;Amougay Pharmacy;Dcheira El Jihadia;;30.3665;-9.53316;;;
pharmacie;💊;Hay Sbai Pharmacy;Dcheira El Jihadia;;30.376884;-9.534314;;;
pharmacie;💊;Ksima Pharmacy;Dcheira El Jihadia;;30.370359;-9.537296;;;
pharmacie;💊;Al Walae Pharmacy;Dcheira El Jihadia;;30.372326;-9.520285;;;
magasin;🛒;Marjane;Avenue Othmane Ben Affane;;30.359279;-9.525524;;;
marche;🛒;Market سوق;Dcheira El Jihadia;;30.375082;-9.536058;;;
marche;🛒;Market النموذجي;Dcheira El Jihadia;;30.375119;-9.53653;;;
marche;🛒;Mardi Market;Dcheira El Jihadia;;30.359633;-9.530272;;;
marche;🛒;Market اليومي عمر الخيام;Dcheira El Jihadia;;30.365609;-9.541479;;;
mosquee;🕌;Masdjid de El Mers;Dcheira El Jihadia;;30.371446;-9.526918;;;
mosquee;🕌;Igi Farden Mosque;Dcheira El Jihadia;;30.372103;-9.534686;;;
mosquee;🕌;Walhori Mosque;Dcheira El Jihadia;;30.373735;-9.534459;;;
mosquee;🕌;Mosque أموكاي;Dcheira El Jihadia;;30.367344;-9.533226;;;
mosquee;🕌;Mosque المحسنين;Dcheira El Jihadia;;30.367844;-9.535658;;;
mosquee;🕌;Mosque النهضة;Dcheira El Jihadia;;30.376309;-9.536773;;;
mosquee;🕌;Mosque إلغياتن;Dcheira El Jihadia;;30.367417;-9.537358;;;
mosquee;🕌;Avenue Abdelerrahim Bouabid;Dcheira El Jihadia;;30.372456;-9.518915;;;
mosquee;🕌;Mosque الايمان الجهادية;Dcheira El Jihadia;;30.363249;-9.527988;;;
mosquee;🕌;Irhalne Mosque;Dcheira El Jihadia;;30.368178;-9.541786;;;
cafe;☕;Andalus Café;Dcheira El Jihadia;;30.371158;-9.532385;;;
cafe;☕;Café سناك أيور;Dcheira El Jihadia;;30.371274;-9.533986;;;
cafe;☕;Café الادبي;Dcheira El Jihadia;;30.365464;-9.529992;;;
cafe;☕;laiterie;Dcheira El Jihadia;;30.370145;-9.538622;;;
cafe;☕;Afriquia Snack;Dcheira El Jihadia;;30.369997;-9.53896;;;
cafe;☕;Argana;Dcheira El Jihadia;;30.369043;-9.540146;;;
