Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;Lot Mektoub;Dcheira El Jihadia;;30.372065;-9.52895;;;
ecole;🎓;Escuela إبن الفارض;Dcheira El Jihadia;;30.373239;-9.528266;;;
ecole;🎓;Colegio Al Firdaous;Dcheira El Jihadia;;30.368944;-9.527954;;;
ecole;🎓;Escuela KHALID BNOU AL WALID;Dcheira El Jihadia;;30.368657;-9.528608;;;
ecole;🎓;Escuela الأدارسة;Dcheira El Jihadia;;30.376273;-9.532676;;;
ecole;🎓;Instituto Allal Al Fassi;Dcheira El Jihadia;;30.37173;-9.536441;;;
ecole;🎓;Escuela 2O AOUT;Dcheira El Jihadia;;30.366584;-9.524861;;;
ecole;🎓;Escuela Allal Ben Abdellah;Dcheira El Jihadia;;30.365636;-9.530898;;;
ecole;🎓;Instituto Homman El Fetouaki;Dcheira El Jihadia;;30.365069;-9.528314;;;
ecole;🎓;Escuela SALAM;Dcheira El Jihadia;;30.372606;-9.537068;;;
ecole;🎓;Escuela Moussa Ben El Housseine;Dcheira El Jihadia;;30.371729;-9.537133;;;
ecole;🎓;Escuela Saadiyine;Dcheira El Jihadia;;30.369894;-9.538619;;;
ecole;🎓;Escuela IBN HAZM;Dcheira El Jihadia;;30.364099;-9.52367;;;
ecole;🎓;Escuela Enahda;Dcheira El Jihadia;;30.365597;-9.536741;;;
ecole;🎓;Escuela سبيل النجاح الخاصة;Dcheira El Jihadia;;30.362474;-9.528403;;;
ecole;🎓;Escuela Ibn Nafiss;Dcheira El Jihadia;;30.364964;-9.536756;;;
ecole;🎓;Instituto Omar El Khayame;Dcheira El Jihadia;;30.365903;-9.539275;;;
ecole;🎓;Escuela Oume Al-Mouminine;Dcheira El Jihadia;;30.369545;-9.541598;;;
ecole;🎓;Grupo escolar Al Hanane Prive;Avenue des Far شارع الجيش الملكي;;30.363278;-9.537664;;+212 5 28 33 66 33;Mo-Sa 07:55-18:15
ecole;🎓;Escuela Imam Al Boukhari;Dcheira El Jihadia;;30.375806;-9.541818;;;
ecole;🎓;Colegio Cadi Ayyad;Dcheira El Jihadia;;30.370186;-9.542693;;;
pharmacie;💊;Farmacia Hay El Mers;Dcheira El Jihadia;;30.371245;-9.528814;;;
pharmacie;💊;Farmacia Titrite;Dcheira El Jihadia;;30.370051;-9.526224;;;
pharmacie;💊;Farmacia Tafoukt;Dcheira El Jihadia;;30.371745;-9.53277;;;
pharmacie;💊;Farmacia Tabarin;Dcheira El Jihadia;;30.374963;-9.53233;;;
pharmacie;💊;Farmacia Darif;Dcheira El Jihadia;;30.371633;-9.523802;;;
pharmacie;💊;Farmacia Fadesa;Dcheira El Jihadia;;30.376858;-9.526668;;;
pharmacie;💊;Farmacia Principale;Dcheira El Jihadia;;30.371081;-9.535116;;;
pharmacie;💊;Farmacia Al Yosr;Dcheira El Jihadia;;30.375559;-9.523505;;;
pharmacie;💊;Farmacia Al Kaoutar;Dcheira El Jihadia;;30.368997;-9.53479;;;
pharmacie;💊;Farmacia Rahma;Dcheira El Jihadia;;30.366592;-9.52601;;;
pharmacie;💊;Farmacia Hammam Aachak;Dcheira El Jihadia;;30.373974;-9.535583;;;
pharmacie;💊;Farmacia Amougay;Dcheira El Jihadia;;30.3665;-9.53316;;;
pharmacie;💊;Farmacia Hay Sbai;Dcheira El Jihadia;;30.376884;-9.534314;;;
pharmacie;💊;Farmacia Ksima;Dcheira El Jihadia;;30.370359;-9.537296;;;
pharmacie;💊;Farmacia Al Walae;Dcheira El Jihadia;;30.372326;-9.520285;;;
magasin;🛒;Marjane;Avenue Othmane Ben Affane;;30.359279;-9.525524;;;
marche;🛒;Zoco;Dcheira El Jihadia;;30.375082;-9.536058;;;
marche;🛒;Zoco Típico;Dcheira El Jihadia;;30.375119;-9.53653;;;
marche;🛒;Mercado Mardi;Dcheira El Jihadia;;30.359633;-9.530272;;;
marche;🛒;Mercado اليومي عمر الخيام;Dcheira El Jihadia;;30.365609;-9.541479;;;
mosquee;🕌;Mezquita de El Mers;Dcheira El Jihadia;;30.371446;-9.526918;;;
mosquee;🕌;Mezquita de Igi Farden;Dcheira El Jihadia;;30.372103;-9.534686;;;
mosquee;🕌;Mezquita de Walhori;Dcheira El Jihadia;;30.373735;-9.534459;;;
mosquee;🕌;Mezquita أموكاي;Dcheira El Jihadia;;30.367344;-9.533226;;;
mosquee;🕌;Mezquita المحسنين;Dcheira El Jihadia;;30.367844;-9.535658;;;
mosquee;🕌;Mezquita النهضة;Dcheira El Jihadia;;30.376309;-9.536773;;;
mosquee;🕌;Mezquita إلغياتن;Dcheira El Jihadia;;30.367417;-9.537358;;;
mosquee;🕌;Avenue Abdelerrahim Bouabid;Dcheira El Jihadia;;30.372456;-9.518915;;;
mosquee;🕌;Mezquita الايمان الجهادية;Dcheira El Jihadia;;30.363249;-9.527988;;;
mosquee;🕌;Mezquita Irhalne;Dcheira El Jihadia;;30.368178;-9.541786;;;
cafe;☕;Café Andalus;Dcheira El Jihadia;;30.371158;-9.532385;;;
cafe;☕;Café سناك أيور;Dcheira El Jihadia;;30.371274;-9.533986;;;
cafe;☕;Café الادبي;Dcheira El Jihadia;;30.365464;-9.529992;;;
cafe;☕;laiterie;Dcheira El Jihadia;;30.370145;-9.538622;;;
cafe;☕;Snack Afriquia;Dcheira El Jihadia;;30.369997;-9.53896;;;
cafe;☕;Argana;Dcheira El Jihadia;;30.369043;-9.540146;;;
banque;🏦;BMCI;Dcheira El Jihadia;;30.370575;-9.536233;;;
banque;🏦;Banco Attijariwafa;Avenue Bir Anzarane;;30.370512;-9.539775;;;
banque;🏦;Banco Populaire;Dcheira El Jihadia;;30.370416;-9.540002;;;
banque;🏦;Saham Bank;Dcheira El Jihadia;;30.370864;-9.540542;;;
banque;🏦;Bank of Africa;Boulevard Mohammed V;;30.359812;-9.533736;;;
banque;🏦;Banco المغربي للتجارة و الصناعة;Dcheira El Jihadia;;30.359085;-9.533155;;;
sante;🏥;Centro de salud Tabarine;Dcheira El Jihadia;;30.371943;-9.532428;;;
sante;🏥;Centro de Salud;Dcheira El Jihadia;;30.367347;-9.525803;;;
sante;🏥;Dr. Oubellahcene Abdallah;Avenue des Far شارع الجيش الملكي;;30.362171;-9.534025;;+212 5 28 33 09 33;Mo-Fr 09:00-15:00
sante;🏥;Centro de salud Irhalne;Dcheira El Jihadia;;30.366729;-9.541218;;;
sante;🏥;Clínica taghzout;Boulevard Hassan II شارع الحسن الثاني;;30.360618;-9.534907;;+212 5 28 33 23 33;24/7
sante;🏥;Consultorio Dr HAMYA;6 2ème étage, En face de Marjane, Immeuble Najah, Lotissement Najah lot n°16;;30.359583;-9.52588;;;
transport;🚌;Hotel De Ville Dcheira;Dcheira El Jihadia;;30.374035;-9.529844;;;
transport;🚌;Complejo Cultural;Dcheira El Jihadia;;30.369529;-9.526595;;;
transport;🚌;Hospital Dcheira;Dcheira El Jihadia;;30.370847;-9.532454;;;
transport;🚌;Farmacia Titrite;Dcheira El Jihadia;;30.371768;-9.523352;;;
transport;🚌;Bir Inzarane Assergal;Dcheira El Jihadia;;30.370826;-9.5355;;;
transport;🚌;Amougay;Dcheira El Jihadia;;30.367087;-9.533016;;;
transport;🚌;Imm Fadesa;Dcheira El Jihadia;;30.378029;-9.52562;;;
transport;🚌;Immeubles Jihadia;Dcheira El Jihadia;;30.363896;-9.525463;;;
admin;🏛️;Police judiciaire;Dcheira El Jihadia;;30.371561;-9.533495;;;
admin;🏛️;Dcheira Hay Ilham;DCHEIRA EL JIHADIA;;30.3637;-9.5269;;;
admin;🏛️;Correos Maroc;Dcheira El Jihadia;;30.369355;-9.539588;;;
admin;🏛️;Comisaría Centrale - Inezgane;Dcheira El Jihadia;;30.362409;-9.534501;;;
loisir;🌿;الفضاء الرياضي الترفيهي;Dcheira El Jihadia;;30.37515;-9.527446;;;
loisir;🌿;Estadio de Walhori;Dcheira El Jihadia;;30.375251;-9.532978;;;
loisir;🌿;Estadio Ahmed Fana;Dcheira El Jihadia;;30.367116;-9.531505;;;
loisir;🌿;ملعب;Dcheira El Jihadia;;30.37243;-9.536819;;;
loisir;🌿;Club socio-sportif de proximité;Dcheira El Jihadia;;30.364116;-9.536171;;;
loisir;🌿;ملعب الرياضات إبن النفيس;Dcheira El Jihadia;;30.364227;-9.536727;;;
loisir;🌿;الفضاء الرياضي تاسيلا;Dcheira El Jihadia;;30.382337;-9.521936;;;
loisir;🌿;القاعة المغطات;Dcheira El Jihadia;;30.365896;-9.54211;;;
