Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;Lotissement Mektoub;Dcheira El Jihadia;;30.372065;-9.52895;;;
ecole;🎓;École إبن الفارض;Dcheira El Jihadia;;30.373239;-9.528266;;;
ecole;🎓;Collège Al Firdaous;Dcheira El Jihadia;;30.368944;-9.527954;;;
ecole;🎓;Ecole KHALID BNOU AL WALID;Dcheira El Jihadia;;30.368657;-9.528608;;;
ecole;🎓;École الأدارسة;Dcheira El Jihadia;;30.376273;-9.532676;;;
ecole;🎓;Lycée Allal Al Fassi;Dcheira El Jihadia;;30.37173;-9.536441;;;
ecole;🎓;Ecole 2O AOUT;Dcheira El Jihadia;;30.366584;-9.524861;;;
ecole;🎓;Ecole Allal Ben Abdellah;Dcheira El Jihadia;;30.365636;-9.530898;;;
ecole;🎓;Lycée Homman El Fetouaki;Dcheira El Jihadia;;30.365069;-9.528314;;;
ecole;🎓;Ecole SALAM;Dcheira El Jihadia;;30.372606;-9.537068;;;
ecole;🎓;Ecole Moussa Ben El Housseine;Dcheira El Jihadia;;30.371729;-9.537133;;;
ecole;🎓;École Saadiyine;Dcheira El Jihadia;;30.369894;-9.538619;;;
ecole;🎓;Ecole IBN HAZM;Dcheira El Jihadia;;30.364099;-9.52367;;;
ecole;🎓;Ecole Enahda;Dcheira El Jihadia;;30.365597;-9.536741;;;
ecole;🎓;École سبيل النجاح الخاصة;Dcheira El Jihadia;;30.362474;-9.528403;;;
ecole;🎓;Ecole Ibn Nafiss;Dcheira El Jihadia;;30.364964;-9.536756;;;
ecole;🎓;Lycée Omar El Khayame;Dcheira El Jihadia;;30.365903;-9.539275;;;
ecole;🎓;Ecole Oume Al-Mouminine;Dcheira El Jihadia;;30.369545;-9.541598;;;
ecole;🎓;Groupe Scolaire Al Hanane Prive;Avenue des Far شارع الجيش الملكي;;30.363278;-9.537664;;+212 5 28 33 66 33;Mo-Sa 07:55-18:15
ecole;🎓;Ecole Imam Al Boukhari;Dcheira El Jihadia;;30.375806;-9.541818;;;
ecole;🎓;Collège Cadi Ayyad;Dcheira El Jihadia;;30.370186;-9.542693;;;
pharmacie;💊;Pharmacie Hay El Mers;Dcheira El Jihadia;;30.371245;-9.528814;;;
pharmacie;💊;Pharmacie Titrite;Dcheira El Jihadia;;30.370051;-9.526224;;;
pharmacie;💊;Pharmacie Tafoukt;Dcheira El Jihadia;;30.371745;-9.53277;;;
pharmacie;💊;Pharmacie Tabarin;Dcheira El Jihadia;;30.374963;-9.53233;;;
pharmacie;💊;Pharmacie Darif;Dcheira El Jihadia;;30.371633;-9.523802;;;
pharmacie;💊;Pharmacie Fadesa;Dcheira El Jihadia;;30.376858;-9.526668;;;
pharmacie;💊;Pharmacie Principale;Dcheira El Jihadia;;30.371081;-9.535116;;;
pharmacie;💊;Pharmacie Al Yosr;Dcheira El Jihadia;;30.375559;-9.523505;;;
pharmacie;💊;Pharmacie Al Kaoutar;Dcheira El Jihadia;;30.368997;-9.53479;;;
pharmacie;💊;Pharmacie Rahma;Dcheira El Jihadia;;30.366592;-9.52601;;;
pharmacie;💊;Pharmacie Hammam Aachak;Dcheira El Jihadia;;30.373974;-9.535583;;;
pharmacie;💊;Pharmacie Amougay;Dcheira El Jihadia;;30.3665;-9.53316;;;
pharmacie;💊;Pharmacie Hay Sbai;Dcheira El Jihadia;;30.376884;-9.534314;;;
pharmacie;💊;Pharmacie Ksima;Dcheira El Jihadia;;30.370359;-9.537296;;;
pharmacie;💊;Pharmacie Al Walae;Dcheira El Jihadia;;30.372326;-9.520285;;;
magasin;🛒;Marjane;Avenue Othmane Ben Affane;;30.359279;-9.525524;;;
marche;🛒;Marché سوق;Dcheira El Jihadia;;30.375082;-9.536058;;;
marche;🛒;Marché النموذجي;Dcheira El Jihadia;;30.375119;-9.53653;;;
marche;🛒;Marché de Mardi;Dcheira El Jihadia;;30.359633;-9.530272;;;
marche;🛒;Marché اليومي عمر الخيام;Dcheira El Jihadia;;30.365609;-9.541479;;;
mosquee;🕌;Masdjid de El Mers;Dcheira El Jihadia;;30.371446;-9.526918;;;
mosquee;🕌;Mosquée de Igi Farden;Dcheira El Jihadia;;30.372103;-9.534686;;;
mosquee;🕌;Mosquée de Walhori;Dcheira El Jihadia;;30.373735;-9.534459;;;
mosquee;🕌;Mosquée أموكاي;Dcheira El Jihadia;;30.367344;-9.533226;;;
mosquee;🕌;Mosquée المحسنين;Dcheira El Jihadia;;30.367844;-9.535658;;;
mosquee;🕌;Mosquée النهضة;Dcheira El Jihadia;;30.376309;-9.536773;;;
mosquee;🕌;Mosquée إلغياتن;Dcheira El Jihadia;;30.367417;-9.537358;;;
mosquee;🕌;Avenue Abdelerrahim Bouabid;Dcheira El Jihadia;;30.372456;-9.518915;;;
mosquee;🕌;Mosquée الايمان الجهادية;Dcheira El Jihadia;;30.363249;-9.527988;;;
mosquee;🕌;Mosquée Irhalne;Dcheira El Jihadia;;30.368178;-9.541786;;;
cafe;☕;Cafe Andalus;Dcheira El Jihadia;;30.371158;-9.532385;;;
cafe;☕;Café سناك أيور;Dcheira El Jihadia;;30.371274;-9.533986;;;
cafe;☕;Café الادبي;Dcheira El Jihadia;;30.365464;-9.529992;;;
cafe;☕;laiterie;Dcheira El Jihadia;;30.370145;-9.538622;;;
cafe;☕;Snack Afriquia;Dcheira El Jihadia;;30.369997;-9.53896;;;
cafe;☕;Argana;Dcheira El Jihadia;;30.369043;-9.540146;;;
banque;🏦;BMCI;Dcheira El Jihadia;;30.370575;-9.536233;;;
banque;🏦;Attijariwafa Bank;Avenue Bir Anzarane;;30.370512;-9.539775;;;
banque;🏦;Banque Populaire;Dcheira El Jihadia;;30.370416;-9.540002;;;
banque;🏦;Saham Bank;Dcheira El Jihadia;;30.370864;-9.540542;;;
banque;🏦;Bank of Africa;Boulevard Mohammed V;;30.359812;-9.533736;;;
banque;🏦;Banque المغربي للتجارة و الصناعة;Dcheira El Jihadia;;30.359085;-9.533155;;;
sante;🏥;Centre de Santé Tabarine;Dcheira El Jihadia;;30.371943;-9.532428;;;
sante;🏥;Centre de Santé;Dcheira El Jihadia;;30.367347;-9.525803;;;
sante;🏥;Dr Oubellahcene Abdallah;Avenue des Far شارع الجيش الملكي;;30.362171;-9.534025;;+212 5 28 33 09 33;Mo-Fr 09:00-15:00
sante;🏥;Centre de santé Irhalne;Dcheira El Jihadia;;30.366729;-9.541218;;;
sante;🏥;Clinique taghzout;Boulevard Hassan II شارع الحسن الثاني;;30.360618;-9.534907;;+212 5 28 33 23 33;24/7
sante;🏥;Cabinet Dr HAMYA;6 2ème étage, En face de Marjane, Immeuble Najah, Lotissement Najah lot n°16;;30.359583;-9.52588;;;
transport;🚌;Hotel De Ville Dcheira;Dcheira El Jihadia;;30.374035;-9.529844;;;
transport;🚌;Complexe Culturel;Dcheira El Jihadia;;30.369529;-9.526595;;;
transport;🚌;Hopital Dcheira;Dcheira El Jihadia;;30.370847;-9.532454;;;
transport;🚌;Pharmacie Titrite;Dcheira El Jihadia;;30.371768;-9.523352;;;
transport;🚌;Bir Inzarane Assergal;Dcheira El Jihadia;;30.370826;-9.5355;;;
transport;🚌;Amougay;Dcheira El Jihadia;;30.367087;-9.533016;;;
transport;🚌;Imm Fadesa;Dcheira El Jihadia;;30.378029;-9.52562;;;
transport;🚌;Immeubles Jihadia;Dcheira El Jihadia;;30.363896;-9.525463;;;
admin;🏛️;Police judiciaire;Dcheira El Jihadia;;30.371561;-9.533495;;;
admin;🏛️;Dcheira Hay Ilham;DCHEIRA EL JIHADIA;;30.3637;-9.5269;;;
admin;🏛️;Poste Maroc;Dcheira El Jihadia;;30.369355;-9.539588;;;
admin;🏛️;Commissariat Centrale - Inezgane;Dcheira El Jihadia;;30.362409;-9.534501;;;
