Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;Lot Nahda 2;Agadir;;30.303208344750637;-9.463554523291856;;;
transport;🚌;Laaouina Source;;;30.2941389;-9.4578773;;;
transport;🚌;Ait Ouagmer;;;30.2957976;-9.4594189;;;
transport;🚌;Hamman Nejma;;;30.3051011;-9.4677982;;;
transport;🚌;Hay Lazraq;;;30.3036318;-9.4664115;;;
transport;🚌;Soussi;;;30.2978678;-9.4615191;;;
transport;🚌;Khoumais - Ben Anfre;;;30.3003782;-9.4637722;;;
transport;🚌;Gendarmerie Klea;;;30.3080733;-9.4702417;;;
transport;🚌;Bachaouia;;;30.3121348;-9.4737017;;;
pharmacie;💊;Ouakssim Pharmacy;Lqliaa;;30.2930423;-9.4566677;;;
pharmacie;💊;Al Mostawssaf Pharmacy;Lqliaa;;30.3003697;-9.4690893;;;
pharmacie;💊;Du Quartier Pharmacy;Lqliaa;;30.2977941;-9.461015;;;
pharmacie;💊;La Source Pharmacy;Lqliaa;;30.2944828;-9.4585199;;;
pharmacie;💊;Souk Pharmacy;Lqliaa;;30.2923937;-9.4614586;;;
pharmacie;💊;Mounawar Pharmacy;Lqliaa;;30.2931333;-9.4724518;;;
pharmacie;💊;Lkhmayess Pharmacy;Lqliaa;;30.2934897;-9.4727784;;;
pharmacie;💊;El Ouahhabi Pharmacy;Lqliaa;;30.2952775;-9.4564119;;;
pharmacie;💊;Jerada Pharmacy;Lqliaa;;30.2967193;-9.4644719;;;
pharmacie;💊;Ben Jillali Pharmacy;Lqliaa;;30.299277;-9.4623165;;;
pharmacie;💊;Al Houda Pharmacy;Lqliaa;;30.2961288;-9.4674482;;;
pharmacie;💊;Al Izdihar Pharmacy;Lqliaa;;30.2938462;-9.4683602;;;
pharmacie;💊;Place Des Fêtes Pharmacy;Lqliaa;;30.2968896;-9.4734809;;;
pharmacie;💊;Ben Anfar Pharmacy;Lqliaa;;30.3038978;-9.4701161;;;
pharmacie;💊;Lycée Pharmacy;Lqliaa;;30.3082949;-9.4705744;;;
pharmacie;💊;Al Anwar Pharmacy;Lqliaa;;30.3005573;-9.4640246;;;
pharmacie;💊;La Santé Pharmacy;Lqliaa;;30.3023067;-9.4773058;;;
pharmacie;💊;Lqliaa Pharmacy;Lqliaa;;30.3041611;-9.4691201;;;
pharmacie;💊;Arrahman Pharmacy;Lqliaa;;30.3033189;-9.4664624;;;
pharmacie;💊;Qweit Lqliaa Pharmacy;Lqliaa;;30.3057478;-9.4721582;;;
pharmacie;💊;La Commune Pharmacy;Lqliaa;;30.3095013;-9.476568;;;
pharmacie;💊;Principale Pharmacy;Lqliaa;;30.3107614;-9.4725464;;;
pharmacie;💊;du centre de santé Pharmacy;Lqliaa;;30.3092471;-9.4751421;;;
cafe;☕;Grillaz Café & Restaurant;;;30.3107027;-9.4724648;;+212 8 08 56 23 98;
ecole;🎓;Charif El Idrissi School;Lqliaa;;30.2942701;-9.4552416;;;
ecole;🎓;مدرسة أبي بكر الصديق;;;30.3030552;-9.4637977;;;
ecole;🎓;مدرسة وادي المخازن;;;30.2998235;-9.4672738;;;
ecole;🎓;مدرسة العوينة;;;30.2941351;-9.4697394;;;
ecole;🎓;مدرسة المنار;;;30.2970582;-9.4740503;;;
ecole;🎓;مدرسة الجهاد;;;30.3029119;-9.4755018;;;
ecole;🎓;مدرسة الازدهار;;;30.2969148;-9.4717799;;;
ecole;🎓;Al Fath High School;;;30.3081312;-9.475303;;;
ecole;🎓;Al Bayrouni Middle School;;;30.2911214;-9.4642496;;;
ecole;🎓;Al Khawarizmi Middle School;;;30.2999671;-9.4553608;;;
ecole;🎓;Collége Ibn Sina;;;30.308519;-9.4739484;;;
ecole;🎓;Al Aalaouine Middle School;;;30.3083893;-9.4694223;;;
admin;🏛️;Gendarmerie royale;;;30.3089814;-9.4704612;;;
