Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;Lot Nahda 2;Agadir;;30.303208344750637;-9.463554523291856;;;
transport;🚌;Laaouina Source;;;30.2941389;-9.4578773;;;
transport;🚌;Ait Ouagmer;;;30.2957976;-9.4594189;;;
transport;🚌;Hamman Nejma;;;30.3051011;-9.4677982;;;
transport;🚌;Hay Lazraq;;;30.3036318;-9.4664115;;;
transport;🚌;Soussi;;;30.2978678;-9.4615191;;;
transport;🚌;Khoumais - Ben Anfre;;;30.3003782;-9.4637722;;;
transport;🚌;Gendarmerie Klea;;;30.3080733;-9.4702417;;;
transport;🚌;Bachaouia;;;30.3121348;-9.4737017;;;
pharmacie;💊;Farmacia Ouakssim;Lqliaa;;30.2930423;-9.4566677;;;
pharmacie;💊;Farmacia Al Mostawssaf;Lqliaa;;30.3003697;-9.4690893;;;
pharmacie;💊;Farmacia Du Quartier;Lqliaa;;30.2977941;-9.461015;;;
pharmacie;💊;Farmacia La Source;Lqliaa;;30.2944828;-9.4585199;;;
pharmacie;💊;Farmacia Souk;Lqliaa;;30.2923937;-9.4614586;;;
pharmacie;💊;Farmacia Mounawar;Lqliaa;;30.2931333;-9.4724518;;;
pharmacie;💊;Farmacia Lkhmayess;Lqliaa;;30.2934897;-9.4727784;;;
pharmacie;💊;Farmacia El Ouahhabi;Lqliaa;;30.2952775;-9.4564119;;;
pharmacie;💊;Farmacia Jerada;Lqliaa;;30.2967193;-9.4644719;;;
pharmacie;💊;Farmacia Ben Jillali;Lqliaa;;30.299277;-9.4623165;;;
pharmacie;💊;Farmacia Al Houda;Lqliaa;;30.2961288;-9.4674482;;;
pharmacie;💊;Farmacia Al Izdihar;Lqliaa;;30.2938462;-9.4683602;;;
pharmacie;💊;Farmacia Place Des Fêtes;Lqliaa;;30.2968896;-9.4734809;;;
pharmacie;💊;Farmacia Ben Anfar;Lqliaa;;30.3038978;-9.4701161;;;
pharmacie;💊;Farmacia Lycée;Lqliaa;;30.3082949;-9.4705744;;;
pharmacie;💊;Farmacia Al Anwar;Lqliaa;;30.3005573;-9.4640246;;;
pharmacie;💊;Farmacia La Santé;Lqliaa;;30.3023067;-9.4773058;;;
pharmacie;💊;Farmacia Lqliaa;Lqliaa;;30.3041611;-9.4691201;;;
pharmacie;💊;Farmacia Arrahman;Lqliaa;;30.3033189;-9.4664624;;;
pharmacie;💊;Farmacia Qweit Lqliaa;Lqliaa;;30.3057478;-9.4721582;;;
pharmacie;💊;Farmacia La Commune;Lqliaa;;30.3095013;-9.476568;;;
pharmacie;💊;Farmacia Principale;Lqliaa;;30.3107614;-9.4725464;;;
pharmacie;💊;Farmacia du centre de santé;Lqliaa;;30.3092471;-9.4751421;;;
cafe;☕;Grillaz Café & Restaurant;;;30.3107027;-9.4724648;;+212 8 08 56 23 98;
ecole;🎓;Escuela Charif El Idrissi;Lqliaa;;30.2942701;-9.4552416;;;
ecole;🎓;مدرسة أبي بكر الصديق;;;30.3030552;-9.4637977;;;
ecole;🎓;مدرسة وادي المخازن;;;30.2998235;-9.4672738;;;
ecole;🎓;مدرسة العوينة;;;30.2941351;-9.4697394;;;
ecole;🎓;مدرسة المنار;;;30.2970582;-9.4740503;;;
ecole;🎓;مدرسة الجهاد;;;30.3029119;-9.4755018;;;
ecole;🎓;مدرسة الازدهار;;;30.2969148;-9.4717799;;;
ecole;🎓;Instituto Al Fath;;;30.3081312;-9.475303;;;
ecole;🎓;Colegio Al Bayrouni;;;30.2911214;-9.4642496;;;
ecole;🎓;Colegio Al Khawarizmi;;;30.2999671;-9.4553608;;;
ecole;🎓;Collége Ibn Sina;;;30.308519;-9.4739484;;;
ecole;🎓;Colegio Al Aalaouine;;;30.3083893;-9.4694223;;;
admin;🏛️;Gendarmerie royale;;;30.3089814;-9.4704612;;;
