Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;تجزئة نسيم تيمرسيت;تيمرسيت، آيت ملول;;30.358068;-9.481689;;;
ecole;🎓;مدرسة المناهل;تيمرسيت، آيت ملول;;30.356332;-9.481641;;;
ecole;🎓;Complexe Horticole d'Agadir;تيمرسيت، آيت ملول;;30.355428;-9.477339;;+212 5 28 24 10 06;
ecole;🎓;كلية العلوم القانونية والاقتصادية والاجتماعية أزرو أيت ملول ، جامعة ابن زهر;تيمرسيت، آيت ملول;;30.356581;-9.473425;;+212 5 28 24 24 23;
ecole;🎓;معهد Agronomique et Veterinaire Hassan II;تيمرسيت، آيت ملول;;30.352029;-9.476783;;;
ecole;🎓;مدرسة الزيتون;تيمرسيت، آيت ملول;;30.359012;-9.472585;;;
ecole;🎓;Campus Universitaire Ait Melloul;تيمرسيت، آيت ملول;;30.35461;-9.472518;;;Mo-Sa 08:30-18:30
ecole;🎓;إعدادية Al Amane;تيمرسيت، آيت ملول;;30.357534;-9.471523;;;
ecole;🎓;كلية اللغات والفنون والعلوم الانسانية;تيمرسيت، آيت ملول;;30.353378;-9.472624;;;
ecole;🎓;مدرسة الإشراق;تيمرسيت، آيت ملول;;30.354183;-9.492013;;;
ecole;🎓;كلية العلوم التطبيقية - آيت ملول;تيمرسيت، آيت ملول;;30.353517;-9.471484;;;
ecole;🎓;المعهد المتخصص في التكنولوجيا التطبيقية ايت ملول;تيمرسيت، آيت ملول;;30.349314;-9.487275;;+212 5 28 24 63 01;
ecole;🎓;جامعة Sciences Appliquées Ibn Zohr Ait Melloul;تيمرسيت، آيت ملول;;30.352844;-9.471659;;+212 5 28 24 14 34;
ecole;🎓;مدرسة قنطرة سوس;تيمرسيت، آيت ملول;;30.348084;-9.486252;;;
ecole;🎓;مدرسة ابن تومرت;تيمرسيت، آيت ملول;;30.361083;-9.466683;;;
pharmacie;💊;صيدلية اسية;تيمرسيت، آيت ملول;;30.352243;-9.489525;;;
pharmacie;💊;صيدلية أدمين;تيمرسيت، آيت ملول;;30.347138;-9.485527;;;
pharmacie;💊;صيدلية حي الأمل;تيمرسيت، آيت ملول;;30.353529;-9.494083;;;
pharmacie;💊;صيدلية الازهر;تيمرسيت، آيت ملول;;30.34837;-9.4901;;;
pharmacie;💊;صيدلية الشهداء;تيمرسيت، آيت ملول;;30.350246;-9.492949;;;
pharmacie;💊;صيدلية حبيبة;تيمرسيت، آيت ملول;;30.359914;-9.466506;;;
mosquee;🕌;مسجد الشهداء;تيمرسيت، آيت ملول;;30.348471;-9.491494;;;
cafe;☕;Coopérative Tibourk de Valorisation de Couscous;تيمرسيت، آيت ملول;;30.355302;-9.490965;;;
cafe;☕;Targante;تيمرسيت، آيت ملول;;30.352685;-9.489404;;;
sante;🏥;المركز الصحي الحضري ازرو ايت ملول;تيمرسيت، آيت ملول;;30.357657;-9.470667;;;
transport;🚌;معهد Agronomique;تيمرسيت، آيت ملول;;30.357513;-9.476137;;;
transport;🚌;Ait Jerrar;تيمرسيت، آيت ملول;;30.357744;-9.487987;;;
transport;🚌;El Beqali;تيمرسيت، آيت ملول;;30.353407;-9.488277;;;
transport;🚌;El Beqali 2;تيمرسيت، آيت ملول;;30.351093;-9.486941;;;
transport;🚌;الجماعة Azrou;تيمرسيت، آيت ملول;;30.358967;-9.4708;;;
transport;🚌;Chouhada Ecole;تيمرسيت، آيت ملول;;30.347223;-9.486399;;;
transport;🚌;Admin 1;تيمرسيت، آيت ملول;;30.346778;-9.484873;;;
transport;🚌;Chouhada 1;تيمرسيت، آيت ملول;;30.351093;-9.493016;;;
admin;🏛️;الدرك الملكي;تيمرسيت، آيت ملول;;30.354478;-9.482418;;;
loisir;🌿;منتزه تمرسيط;تيمرسيت، آيت ملول;;30.358935;-9.474249;;;Mo-Su 08:00-21:30
loisir;🌿;Zone de sport;تيمرسيت، آيت ملول;;30.35577;-9.471961;;;
