Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;Lotissement Nassime Timersit;Timersit, Aït Melloul;;30.358068;-9.481689;;;
ecole;🎓;École المناهل;Timersit, Aït Melloul;;30.356332;-9.481641;;;
ecole;🎓;Complexe Horticole d'Agadir;Timersit, Aït Melloul;;30.355428;-9.477339;;+212 5 28 24 10 06;
ecole;🎓;Faculté des Sciences Juridiques, Économiques et Sociales Ait Melloul;Timersit, Aït Melloul;;30.356581;-9.473425;;+212 5 28 24 24 23;
ecole;🎓;Institut Agronomique et Veterinaire Hassan II;Timersit, Aït Melloul;;30.352029;-9.476783;;;
ecole;🎓;École الزيتون;Timersit, Aït Melloul;;30.359012;-9.472585;;;
ecole;🎓;Campus Universitaire Ait Melloul;N10;;30.35461;-9.472518;;;Mo-Sa 08:30-18:30
ecole;🎓;College Al Amane;Timersit, Aït Melloul;;30.357534;-9.471523;;;
ecole;🎓;École اللغات والفنون والعلوم الانسانية;Timersit, Aït Melloul;;30.353378;-9.472624;;;
ecole;🎓;École الإشراق;Timersit, Aït Melloul;;30.354183;-9.492013;;;
ecole;🎓;Faculté des Sciences Appliquées Ait Melloul;Timersit, Aït Melloul;;30.353517;-9.471484;;;
ecole;🎓;École المعهد المتخصص في التكنولوجيا التطبيقية ايت ملول;Timersit, Aït Melloul;;30.349314;-9.487275;;+212 5 28 24 63 01;
ecole;🎓;Faculté des Sciences Appliquées Ibn Zohr Ait Melloul;Route Nationale N10. BP 6146 Cité Azrou;;30.352844;-9.471659;;+212 5 28 24 14 34;
ecole;🎓;École قنطرة سوس;Timersit, Aït Melloul;;30.348084;-9.486252;;;
ecole;🎓;École ابن تومرت;Timersit, Aït Melloul;;30.361083;-9.466683;;;
pharmacie;💊;Pharmacie Assia;Timersit, Aït Melloul;;30.352243;-9.489525;;;
pharmacie;💊;Pharmacie Admine;Timersit, Aït Melloul;;30.347138;-9.485527;;;
pharmacie;💊;Pharmacie Hay El Amal;Timersit, Aït Melloul;;30.353529;-9.494083;;;
pharmacie;💊;Pharmacie Al Azhar;Timersit, Aït Melloul;;30.34837;-9.4901;;;
pharmacie;💊;Pharmacie Chouhada;Timersit, Aït Melloul;;30.350246;-9.492949;;;
pharmacie;💊;Pharmacie Habiba;Timersit, Aït Melloul;;30.359914;-9.466506;;;
mosquee;🕌;Mosquée الشهداء;Timersit, Aït Melloul;;30.348471;-9.491494;;;
cafe;☕;Coopérative Tibourk de Valorisation de Couscous;Timersit, Aït Melloul;;30.355302;-9.490965;;;
cafe;☕;Targante;Timersit, Aït Melloul;;30.352685;-9.489404;;;
sante;🏥;Centre de santé المركز الصحي الحضري ازرو ايت ملول;Timersit, Aït Melloul;;30.357657;-9.470667;;;
transport;🚌;Institut Agronomique;Timersit, Aït Melloul;;30.357513;-9.476137;;;
transport;🚌;Ait Jerrar;Timersit, Aït Melloul;;30.357744;-9.487987;;;
transport;🚌;El Beqali;Timersit, Aït Melloul;;30.353407;-9.488277;;;
transport;🚌;El Beqali 2;Timersit, Aït Melloul;;30.351093;-9.486941;;;
transport;🚌;Arrondissement Azrou;Timersit, Aït Melloul;;30.358967;-9.4708;;;
transport;🚌;Chouhada Ecole;Timersit, Aït Melloul;;30.347223;-9.486399;;;
transport;🚌;Admin 1;Timersit, Aït Melloul;;30.346778;-9.484873;;;
transport;🚌;Chouhada 1;Timersit, Aït Melloul;;30.351093;-9.493016;;;
admin;🏛️;Gendarmerie Royale;Timersit, Aït Melloul;;30.354478;-9.482418;;;
loisir;🌿;Parc Timerssit;Timersit, Aït Melloul;;30.358935;-9.474249;;;Mo-Su 08:00-21:30
loisir;🌿;Zone de sport;Timersit, Aït Melloul;;30.35577;-9.471961;;;
