Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;تجزئة أم الخير;الدشيرة الجهادية;;30.377164;-9.532224;;;
ecole;🎓;مدرسة الأدارسة;الدشيرة الجهادية;;30.376273;-9.532676;;;
ecole;🎓;مدرسة إبن الفارض;الدشيرة الجهادية;;30.373239;-9.528266;;;
ecole;🎓;مدرسة SALAM;الدشيرة الجهادية;;30.372606;-9.537068;;;
ecole;🎓;ثانوية علال الفاسي;الدشيرة الجهادية;;30.37173;-9.536441;;;
ecole;🎓;مدرسة Moussa Ben El Housseine;الدشيرة الجهادية;;30.371729;-9.537133;;;
ecole;🎓;مدرسة Imam Al Boukhari;الدشيرة الجهادية;;30.375806;-9.541818;;;
ecole;🎓;إعدادية Al Firdaous;الدشيرة الجهادية;;30.368944;-9.527954;;;
ecole;🎓;مدرسة KHALID BNOU AL WALID;الدشيرة الجهادية;;30.368657;-9.528608;;;
ecole;🎓;مدرسة السعديين;الدشيرة الجهادية;;30.369894;-9.538619;;;
ecole;🎓;مدرسة Oume Al-Mouminine;الدشيرة الجهادية;;30.369545;-9.541598;;;
ecole;🎓;مدرسة 18 Novembre;الدشيرة الجهادية;;30.375828;-9.545218;;;
ecole;🎓;اعدادية القاضي عياض;الدشيرة الجهادية;;30.370186;-9.542693;;;
ecole;🎓;إعدادية Bouchouariyine;الدشيرة الجهادية;;30.376481;-9.545598;;;
ecole;🎓;مدرسة Allal Ben Abdellah;الدشيرة الجهادية;;30.365636;-9.530898;;;
ecole;🎓;مدرسة النهضة;الدشيرة الجهادية;;30.365597;-9.536741;;;
ecole;🎓;مدرسة 2O AOUT;الدشيرة الجهادية;;30.366584;-9.524861;;;
ecole;🎓;ثانوية Homman El Fetouaki;الدشيرة الجهادية;;30.365069;-9.528314;;;
ecole;🎓;ثانوية عمر الخيام;الدشيرة الجهادية;;30.365903;-9.539275;;;
ecole;🎓;مدرسة Ibn Nafiss;الدشيرة الجهادية;;30.364964;-9.536756;;;
ecole;🎓;إعدادية فيصل بن عبد العزيز;الدشيرة الجهادية;;30.367644;-9.544221;;;
pharmacie;💊;صيدلية حي السباعي;الدشيرة الجهادية;;30.376884;-9.534314;;;
pharmacie;💊;صيدلية طاباران;الدشيرة الجهادية;;30.374963;-9.53233;;;
pharmacie;💊;صيدلية حمام أعشاق;الدشيرة الجهادية;;30.373974;-9.535583;;;
pharmacie;💊;صيدلية فاديزا;الدشيرة الجهادية;;30.376858;-9.526668;;;
pharmacie;💊;صيدلية تفوكت;الدشيرة الجهادية;;30.371745;-9.53277;;;
