Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;Perle Office Space;Dcheira El Jihadia;;30.371911;-9.547333;;;
ecole;🎓;Chohadaa School;Dcheira El Jihadia;;30.373532;-9.548685;;;
ecole;🎓;18 Novembre School;Dcheira El Jihadia;;30.375828;-9.545218;;;
ecole;🎓;Cadi Ayyad Middle School;Dcheira El Jihadia;;30.370186;-9.542693;;;
ecole;🎓;Banque Populaire School;Dcheira El Jihadia;;30.367487;-9.546554;;;
ecole;🎓;Bouchouariyine Middle School;Dcheira El Jihadia;;30.376481;-9.545598;;;
ecole;🎓;Fayçal Ibn Abdelaziz Middle School;Dcheira El Jihadia;;30.367644;-9.544221;;;
ecole;🎓;Oume Al-Mouminine School;Dcheira El Jihadia;;30.369545;-9.541598;;;
ecole;🎓;Imam Al Boukhari School;Dcheira El Jihadia;;30.375806;-9.541818;;;
ecole;🎓;Saadiyine School;Dcheira El Jihadia;;30.369894;-9.538619;;;
ecole;🎓;Moussa Ben El Housseine School;Dcheira El Jihadia;;30.371729;-9.537133;;;
ecole;🎓;SALAM School;Dcheira El Jihadia;;30.372606;-9.537068;;;
ecole;🎓;Omar El Khayame High School;Dcheira El Jihadia;;30.365903;-9.539275;;;
ecole;🎓;Allal Al Fassi High School;Dcheira El Jihadia;;30.37173;-9.536441;;;
ecole;🎓;Enahda School;Dcheira El Jihadia;;30.365597;-9.536741;;;
ecole;🎓;Ibn Nafiss School;Dcheira El Jihadia;;30.364964;-9.536756;;;
ecole;🎓;DPEF Inezgane Ait Melloul / CRMEF-SM;Dcheira El Jihadia;;30.360771;-9.543919;;;
ecole;🎓;Al Hanane Prive School Group;Avenue des Far شارع الجيش الملكي;;30.363278;-9.537664;;+212 5 28 33 66 33;Mo-Sa 07:55-18:15
ecole;🎓;Rahal Ben Ahmed Middle School;Dcheira El Jihadia;;30.359698;-9.54687;;;
ecole;🎓;Ahmed Al Manssour Dahbi Middle School;Dcheira El Jihadia;;30.359889;-9.541779;;;
ecole;🎓;Ibn Zohr Middle School;Dcheira El Jihadia;;30.359034;-9.544051;;;
pharmacie;💊;La Liberté Pharmacy;Dcheira El Jihadia;;30.371609;-9.544363;;;
pharmacie;💊;La Pergola Pharmacy;Dcheira El Jihadia;;30.372084;-9.550622;;;
pharmacie;💊;Said Pharmacy;Dcheira El Jihadia;;30.373721;-9.5501;;;
pharmacie;💊;Amgala Pharmacy;Dcheira El Jihadia;;30.37486;-9.548572;;;
pharmacie;💊;Hamzaoui Pharmacy;Dcheira El Jihadia;;30.369462;-9.544678;;;
pharmacie;💊;Dcheira Pharmacy;Avenue Bir Anzarane;;30.371139;-9.541295;;;
pharmacie;💊;Centrale Pharmacy;Dcheira El Jihadia;;30.369984;-9.540153;;;
pharmacie;💊;Tilila Pharmacy;Dcheira El Jihadia;;30.374304;-9.53978;;;
pharmacie;💊;Pasteur Pharmacy;Dcheira El Jihadia;;30.36752;-9.540983;;;
pharmacie;💊;Ksima Pharmacy;Dcheira El Jihadia;;30.370359;-9.537296;;;
pharmacie;💊;Ibn Sina Pharmacy;Dcheira El Jihadia;;30.369009;-9.537553;;;
pharmacie;💊;Najah Igroumai Pharmacy;Dcheira El Jihadia;;30.377499;-9.539162;;;
pharmacie;💊;Al Amine Pharmacy;Dcheira El Jihadia;;30.366332;-9.538084;;;
pharmacie;💊;Jamal Pharmacy;Dcheira El Jihadia;;30.364103;-9.539617;;;
pharmacie;💊;Hammam Aachak Pharmacy;Dcheira El Jihadia;;30.373974;-9.535583;;;
marche;🛒;Market اليومي عمر الخيام;Dcheira El Jihadia;;30.365609;-9.541479;;;
marche;🛒;Market النموذجي;Dcheira El Jihadia;;30.375119;-9.53653;;;
marche;🛒;Market سوق;Dcheira El Jihadia;;30.375082;-9.536058;;;
mosquee;🕌;Mosqueé Al Fath;Dcheira El Jihadia;;30.373997;-9.549625;;;
mosquee;🕌;Mosque المحسنين تاكركورت;Dcheira El Jihadia;;30.375649;-9.544241;;;
mosquee;🕌;Irhalne Mosque;Dcheira El Jihadia;;30.368178;-9.541786;;;
mosquee;🕌;Mosque إلغياتن;Dcheira El Jihadia;;30.367417;-9.537358;;;
mosquee;🕌;Mosque النهضة;Dcheira El Jihadia;;30.376309;-9.536773;;;
mosquee;🕌;Mosque المحسنين;Dcheira El Jihadia;;30.367844;-9.535658;;;
mosquee;🕌;Igi Farden Mosque;Dcheira El Jihadia;;30.372103;-9.534686;;;
mosquee;🕌;Walhori Mosque;Dcheira El Jihadia;;30.373735;-9.534459;;;
mosquee;🕌;Mosque أموكاي;Dcheira El Jihadia;;30.367344;-9.533226;;;
cafe;☕;Afoulki Café;Dcheira El Jihadia;;30.371769;-9.54474;;;
cafe;☕;France Café;Dcheira El Jihadia;;30.372034;-9.550007;;;
cafe;☕;Argana;Dcheira El Jihadia;;30.369043;-9.540146;;;
cafe;☕;Afriquia Snack;Dcheira El Jihadia;;30.369997;-9.53896;;;
cafe;☕;laiterie;Dcheira El Jihadia;;30.370145;-9.538622;;;
cafe;☕;Café سناك أيور;Dcheira El Jihadia;;30.371274;-9.533986;;;
cafe;☕;Andalus Café;Dcheira El Jihadia;;30.371158;-9.532385;;;
banque;🏦;Bank of Africa;Avenue Bir Anzarane;;30.371921;-9.54807;;;
banque;🏦;CIH Bank;Avenue Bir Anzarane;;30.371792;-9.545159;;;
banque;🏦;Crédit Agricole;Dcheira El Jihadia;;30.372084;-9.551011;;;
banque;🏦;Saham Bank;Dcheira El Jihadia;;30.370864;-9.540542;;;
banque;🏦;Populaire Bank;Dcheira El Jihadia;;30.370416;-9.540002;;;
banque;🏦;Attijariwafa Bank;Avenue Bir Anzarane;;30.370512;-9.539775;;;
banque;🏦;BMCI;Dcheira El Jihadia;;30.370575;-9.536233;;;
sante;🏥;Military Hospital;Dcheira El Jihadia;;30.375747;-9.550223;;;
sante;🏥;Irhalne Health Centre;Dcheira El Jihadia;;30.366729;-9.541218;;;
sante;🏥;Tabarine Health Centre;Dcheira El Jihadia;;30.371943;-9.532428;;;
transport;🚌;Bir Inzarane Pergola Dcheira;Dcheira El Jihadia;;30.371839;-9.547767;;;
transport;🚌;Bir Inzarane Slaoui;Dcheira El Jihadia;;30.371646;-9.54357;;;
transport;🚌;Pergola;Dcheira El Jihadia;;30.372558;-9.552698;;;
transport;🚌;Les Chalets;Dcheira El Jihadia;;30.365929;-9.544463;;;
transport;🚌;Dcheira Town Hall;Dcheira El Jihadia;;30.370158;-9.539365;;;
transport;🚌;Remel Conservation;Dcheira El Jihadia;;30.363075;-9.546564;;;
transport;🚌;Omar Lkhyam;Dcheira El Jihadia;;30.364767;-9.541158;;;
transport;🚌;La Base De Far;Dcheira El Jihadia;;30.375874;-9.557357;;;
admin;🏛️;2ème arrondissement;Dcheira El Jihadia;;30.370568;-9.54778;;;
admin;🏛️;Maroc Post Office;Dcheira El Jihadia;;30.369355;-9.539588;;;
admin;🏛️;Police judiciaire;Dcheira El Jihadia;;30.371561;-9.533495;;;
loisir;🌿;القاعة المغطات;Dcheira El Jihadia;;30.365896;-9.54211;;;
loisir;🌿;ملعب الرياضات الجماعية - إرحالن;Dcheira El Jihadia;;30.365331;-9.542074;;;
loisir;🌿;ملعب;Dcheira El Jihadia;;30.37243;-9.536819;;;
loisir;🌿;ملعب الرياضات إبن النفيس;Dcheira El Jihadia;;30.364227;-9.536727;;;
loisir;🌿;Club socio-sportif de proximité;Dcheira El Jihadia;;30.364116;-9.536171;;;
loisir;🌿;ملعب والحوري;Dcheira El Jihadia;;30.375251;-9.532978;;;
loisir;🌿;municipale Stadium;Dcheira El Jihadia;;30.360174;-9.539944;;;
