Name,Description,Content,Images,Location,Investor,Number Block,Number Floor,Number Flat,Is Featured?,Date Finish,Date Sell,Price from,Price to,Currency,City,Country,State,Author,Author Type,Longitude,Latitude,Status,Categories,Features,Facilities,Custom Fields,Unique ID,Video URL,Video Thumbnail
Residence Al Jawhara,"Projet residentiel Narjiss a Dcheira El Jihadia, pres d'Agadir.","Residence Al Jawhara presente des appartements avec carte interactive, points utiles et experience multilingue.",,Dcheira El Jihadia Agadir,,1,4,0,Yes,,,,,USD,Agadir,Morocco,Souss-Massa,1,user,-9.5372,30.3732,selling,Appartements,"Carte interactive,Visite 360,Multilingue",,"POI:41,Type:Appartements,Projet Narjiss:Oui",NARJISS-JAWHARA,,
Tazroute,"Projet Narjiss de terrains a Agadir.","Tazroute est un projet foncier presente avec localisation precise et carte interactive.",,Agadir,,1,0,0,Yes,,,,,USD,Agadir,Morocco,Souss-Massa,1,user,-9.460496051159458,30.358739340382268,selling,Terrains,"Carte interactive,Multilingue",,"POI:27,Type:Terrains,Projet Narjiss:Oui",NARJISS-TAZROUTE,,
Dar Ben Cheikh,"Projet Narjiss de terrains a Agadir.","Dar Ben Cheikh est un projet foncier Narjiss avec une lecture claire de l'environnement proche.",,Agadir,,1,0,0,Yes,,,,,USD,Agadir,Morocco,Souss-Massa,1,user,-9.436652468018211,30.361823687819253,selling,Terrains,"Carte interactive,Multilingue",,"POI:8,Type:Terrains,Projet Narjiss:Oui",NARJISS-DAR-BEN-CHEIKH,,
Tazroute Al Yassamine,"Projet Narjiss de terrains a Agadir.","Tazroute Al Yassamine regroupe des terrains presentes avec contexte cartographique.",,Agadir,,1,0,0,Yes,,,,,USD,Agadir,Morocco,Souss-Massa,1,user,-9.455007371697246,30.3616466330063,selling,Terrains,"Carte interactive,Multilingue",,"POI:21,Type:Terrains,Projet Narjiss:Oui",NARJISS-TAZROUTE-YASSAMINE,,
Farah,"Projet Narjiss de terrains a Agadir.","Farah est un projet foncier avec une forte densite de points utiles cartographies.",,Agadir,,1,0,0,Yes,,,,,USD,Agadir,Morocco,Souss-Massa,1,user,-9.5658333,30.3993056,selling,Terrains,"Carte interactive,Multilingue",,"POI:108,Type:Terrains,Projet Narjiss:Oui",NARJISS-FARAH,,
Lot Amical I,"Projet Narjiss de terrains a Agadir.","Lot Amical I est presente avec sa position, ses points utiles et son contexte local.",,Agadir,,1,0,0,Yes,,,,,USD,Agadir,Morocco,Souss-Massa,1,user,-9.511278096688889,30.33269020682961,selling,Terrains,"Carte interactive,Multilingue",,"POI:74,Type:Terrains,Projet Narjiss:Oui",NARJISS-AMICAL-I,,
Lot Azrou,"Projet Narjiss de terrains a Agadir.","Lot Azrou est un projet foncier Narjiss proche des autres developpements Tazroute.",,Agadir,,1,0,0,Yes,,,,,USD,Agadir,Morocco,Souss-Massa,1,user,-9.460487731940148,30.358741122541407,selling,Terrains,"Carte interactive,Multilingue",,"POI:27,Type:Terrains,Projet Narjiss:Oui",NARJISS-AZROU,,
Bayt Al Mawada,"Projet Narjiss d'appartements a Agadir.","Bayt Al Mawada est un projet residentiel Narjiss avec affichage cartographique multilingue.",,Agadir,,1,4,0,Yes,,,,,USD,Agadir,Morocco,Souss-Massa,1,user,-9.468861100000003,30.381708282802176,selling,Appartements,"Carte interactive,Multilingue",,"POI:24,Type:Appartements,Projet Narjiss:Oui",NARJISS-BAYT-AL-MAWADA,,
Lot Founty,"Projet Narjiss de terrains a Agadir.","Lot Founty est un projet foncier avec une carte riche en points utiles.",,Agadir,,1,0,0,Yes,,,,,USD,Agadir,Morocco,Souss-Massa,1,user,-9.573180104254527,30.400406468380485,selling,Terrains,"Carte interactive,Multilingue",,"POI:122,Type:Terrains,Projet Narjiss:Oui",NARJISS-FOUNTY,,
Lot Nahda 2,"Projet Narjiss de terrains a Agadir.","Lot Nahda 2 est un projet Narjiss presente avec localisation et environnement.",,Agadir,,1,0,0,Yes,,,,,USD,Agadir,Morocco,Souss-Massa,1,user,-9.463554523291856,30.303208344750637,selling,Terrains,"Carte interactive,Multilingue",,"POI:45,Type:Terrains,Projet Narjiss:Oui",NARJISS-NAHDA-2,,
R+3 Andalusia,"Projet residentiel Narjiss a Agadir.","R+3 Andalusia combine appartements, carte interactive et experience de presentation avancee.",,Agadir,,1,3,0,Yes,,,,,USD,Agadir,Morocco,Souss-Massa,1,user,-9.523500675483383,30.37161637201584,selling,Appartements,"Carte interactive,Visite 360,Multilingue",,"POI:106,Type:Appartements,Projet Narjiss:Oui",NARJISS-ANDALUSIA,,
R+4 K&B,"Projet residentiel Narjiss a Agadir.","R+4 K&B est un projet d'appartements presente avec carte et donnees de proximite.",,Agadir,,1,4,0,Yes,,,,,USD,Agadir,Morocco,Souss-Massa,1,user,-9.549940706126623,30.371826407823608,selling,Appartements,"Carte interactive,Multilingue",,"POI:78,Type:Appartements,Projet Narjiss:Oui",NARJISS-KB,,
