Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;Lot Rouchdi;Dcheira El Jihadia (La Pergola);;30.369936;-9.54663;;;
ecole;🎓;Banque Populaire School;Dcheira El Jihadia (La Pergola);;30.367487;-9.546554;;;
ecole;🎓;Fayçal Ibn Abdelaziz Middle School;Dcheira El Jihadia (La Pergola);;30.367644;-9.544221;;;
ecole;🎓;Cadi Ayyad Middle School;Dcheira El Jihadia (La Pergola);;30.370186;-9.542693;;;
ecole;🎓;Chohadaa School;Dcheira El Jihadia (La Pergola);;30.373532;-9.548685;;;
ecole;🎓;Oume Al-Mouminine School;Dcheira El Jihadia (La Pergola);;30.369545;-9.541598;;;
ecole;🎓;18 Novembre School;Dcheira El Jihadia (La Pergola);;30.375828;-9.545218;;;
ecole;🎓;Bouchouariyine Middle School;Dcheira El Jihadia (La Pergola);;30.376481;-9.545598;;;
ecole;🎓;Saadiyine School;Dcheira El Jihadia (La Pergola);;30.369894;-9.538619;;;
ecole;🎓;Imam Al Boukhari School;Dcheira El Jihadia (La Pergola);;30.375806;-9.541818;;;
ecole;🎓;Omar El Khayame High School;Dcheira El Jihadia (La Pergola);;30.365903;-9.539275;;;
ecole;🎓;Moussa Ben El Housseine School;Dcheira El Jihadia (La Pergola);;30.371729;-9.537133;;;
ecole;🎓;SALAM School;Dcheira El Jihadia (La Pergola);;30.372606;-9.537068;;;
ecole;🎓;Allal Al Fassi High School;Dcheira El Jihadia (La Pergola);;30.37173;-9.536441;;;
ecole;🎓;DPEF Inezgane Ait Melloul / CRMEF-SM;Dcheira El Jihadia (La Pergola);;30.360771;-9.543919;;;
ecole;🎓;Enahda School;Dcheira El Jihadia (La Pergola);;30.365597;-9.536741;;;
ecole;🎓;Ibn Nafiss School;Dcheira El Jihadia (La Pergola);;30.364964;-9.536756;;;
ecole;🎓;Al Hanane Prive School Group;Avenue des Far شارع الجيش الملكي;;30.363278;-9.537664;;+212 5 28 33 66 33;Mo-Sa 07:55-18:15
ecole;🎓;Rahal Ben Ahmed Middle School;Dcheira El Jihadia (La Pergola);;30.359698;-9.54687;;;
ecole;🎓;Ahmed Al Manssour Dahbi Middle School;Dcheira El Jihadia (La Pergola);;30.359889;-9.541779;;;
ecole;🎓;Ibn Zohr Middle School;Dcheira El Jihadia (La Pergola);;30.359034;-9.544051;;;
pharmacie;💊;Hamzaoui Pharmacy;Dcheira El Jihadia (La Pergola);;30.369462;-9.544678;;;
pharmacie;💊;La Liberté Pharmacy;Dcheira El Jihadia (La Pergola);;30.371609;-9.544363;;;
pharmacie;💊;La Pergola Pharmacy;Dcheira El Jihadia (La Pergola);;30.372084;-9.550622;;;
pharmacie;💊;Dcheira Pharmacy;Avenue Bir Anzarane;;30.371139;-9.541295;;;
pharmacie;💊;Said Pharmacy;Dcheira El Jihadia (La Pergola);;30.373721;-9.5501;;;
pharmacie;💊;Amgala Pharmacy;Dcheira El Jihadia (La Pergola);;30.37486;-9.548572;;;
pharmacie;💊;Pasteur Pharmacy;Dcheira El Jihadia (La Pergola);;30.36752;-9.540983;;;
pharmacie;💊;Centrale Pharmacy;Dcheira El Jihadia (La Pergola);;30.369984;-9.540153;;;
pharmacie;💊;Tilila Pharmacy;Dcheira El Jihadia (La Pergola);;30.374304;-9.53978;;;
pharmacie;💊;Ibn Sina Pharmacy;Dcheira El Jihadia (La Pergola);;30.369009;-9.537553;;;
pharmacie;💊;Ksima Pharmacy;Dcheira El Jihadia (La Pergola);;30.370359;-9.537296;;;
pharmacie;💊;Al Amine Pharmacy;Dcheira El Jihadia (La Pergola);;30.366332;-9.538084;;;
pharmacie;💊;Jamal Pharmacy;Dcheira El Jihadia (La Pergola);;30.364103;-9.539617;;;
pharmacie;💊;Al Andalouss Pharmacy;Dcheira El Jihadia (La Pergola);;30.361677;-9.540368;;;
pharmacie;💊;Najah Igroumai Pharmacy;Dcheira El Jihadia (La Pergola);;30.377499;-9.539162;;;
marche;🛒;Market اليومي عمر الخيام;Dcheira El Jihadia (La Pergola);;30.365609;-9.541479;;;
marche;🛒;Market النموذجي;Dcheira El Jihadia (La Pergola);;30.375119;-9.53653;;;
marche;🛒;Market سوق;Dcheira El Jihadia (La Pergola);;30.375082;-9.536058;;;
mosquee;🕌;Irhalne Mosque;Dcheira El Jihadia (La Pergola);;30.368178;-9.541786;;;
mosquee;🕌;Mosqueé Al Fath;Dcheira El Jihadia (La Pergola);;30.373997;-9.549625;;;
mosquee;🕌;Mosque المحسنين تاكركورت;Dcheira El Jihadia (La Pergola);;30.375649;-9.544241;;;
mosquee;🕌;Mosque إلغياتن;Dcheira El Jihadia (La Pergola);;30.367417;-9.537358;;;
mosquee;🕌;Mosque المحسنين;Dcheira El Jihadia (La Pergola);;30.367844;-9.535658;;;
mosquee;🕌;Igi Farden Mosque;Dcheira El Jihadia (La Pergola);;30.372103;-9.534686;;;
mosquee;🕌;Mosque النهضة;Dcheira El Jihadia (La Pergola);;30.376309;-9.536773;;;
mosquee;🕌;Walhori Mosque;Dcheira El Jihadia (La Pergola);;30.373735;-9.534459;;;
mosquee;🕌;Mosque أموكاي;Dcheira El Jihadia (La Pergola);;30.367344;-9.533226;;;
cafe;☕;Afoulki Café;Dcheira El Jihadia (La Pergola);;30.371769;-9.54474;;;
cafe;☕;France Café;Dcheira El Jihadia (La Pergola);;30.372034;-9.550007;;;
cafe;☕;Argana;Dcheira El Jihadia (La Pergola);;30.369043;-9.540146;;;
cafe;☕;Afriquia Snack;Dcheira El Jihadia (La Pergola);;30.369997;-9.53896;;;
cafe;☕;laiterie;Dcheira El Jihadia (La Pergola);;30.370145;-9.538622;;;
cafe;☕;Café سناك أيور;Dcheira El Jihadia (La Pergola);;30.371274;-9.533986;;;
