Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;Lot Rouchdi;Dcheira El Jihadia (La Pergola);;30.369936;-9.54663;;;
ecole;🎓;Escuela Banque Populaire;Dcheira El Jihadia (La Pergola);;30.367487;-9.546554;;;
ecole;🎓;Colegio Fayçal Ibn Abdelaziz;Dcheira El Jihadia (La Pergola);;30.367644;-9.544221;;;
ecole;🎓;Colegio Cadi Ayyad;Dcheira El Jihadia (La Pergola);;30.370186;-9.542693;;;
ecole;🎓;Escuela Chohadaa;Dcheira El Jihadia (La Pergola);;30.373532;-9.548685;;;
ecole;🎓;Escuela Oume Al-Mouminine;Dcheira El Jihadia (La Pergola);;30.369545;-9.541598;;;
ecole;🎓;Escuela 18 Novembre;Dcheira El Jihadia (La Pergola);;30.375828;-9.545218;;;
ecole;🎓;Colegio Bouchouariyine;Dcheira El Jihadia (La Pergola);;30.376481;-9.545598;;;
ecole;🎓;Escuela Saadiyine;Dcheira El Jihadia (La Pergola);;30.369894;-9.538619;;;
ecole;🎓;Escuela Imam Al Boukhari;Dcheira El Jihadia (La Pergola);;30.375806;-9.541818;;;
ecole;🎓;Instituto Omar El Khayame;Dcheira El Jihadia (La Pergola);;30.365903;-9.539275;;;
ecole;🎓;Escuela Moussa Ben El Housseine;Dcheira El Jihadia (La Pergola);;30.371729;-9.537133;;;
ecole;🎓;Escuela SALAM;Dcheira El Jihadia (La Pergola);;30.372606;-9.537068;;;
ecole;🎓;Instituto Allal Al Fassi;Dcheira El Jihadia (La Pergola);;30.37173;-9.536441;;;
ecole;🎓;DPEF Inezgane Ait Melloul / CRMEF-SM;Dcheira El Jihadia (La Pergola);;30.360771;-9.543919;;;
ecole;🎓;Escuela Enahda;Dcheira El Jihadia (La Pergola);;30.365597;-9.536741;;;
ecole;🎓;Escuela Ibn Nafiss;Dcheira El Jihadia (La Pergola);;30.364964;-9.536756;;;
ecole;🎓;Grupo escolar Al Hanane Prive;Avenue des Far شارع الجيش الملكي;;30.363278;-9.537664;;+212 5 28 33 66 33;Mo-Sa 07:55-18:15
ecole;🎓;Colegio Rahal Ben Ahmed;Dcheira El Jihadia (La Pergola);;30.359698;-9.54687;;;
ecole;🎓;Colegio Ahmed Al Manssour Dahbi;Dcheira El Jihadia (La Pergola);;30.359889;-9.541779;;;
ecole;🎓;Colegio Ibn Zohr;Dcheira El Jihadia (La Pergola);;30.359034;-9.544051;;;
pharmacie;💊;Farmacia Hamzaoui;Dcheira El Jihadia (La Pergola);;30.369462;-9.544678;;;
pharmacie;💊;Farmacia La Liberté;Dcheira El Jihadia (La Pergola);;30.371609;-9.544363;;;
pharmacie;💊;Farmacia La Pergola;Dcheira El Jihadia (La Pergola);;30.372084;-9.550622;;;
pharmacie;💊;Farmacia Dcheira;Avenue Bir Anzarane;;30.371139;-9.541295;;;
pharmacie;💊;Farmacia Said;Dcheira El Jihadia (La Pergola);;30.373721;-9.5501;;;
pharmacie;💊;Farmacia Amgala;Dcheira El Jihadia (La Pergola);;30.37486;-9.548572;;;
pharmacie;💊;Farmacia Pasteur;Dcheira El Jihadia (La Pergola);;30.36752;-9.540983;;;
pharmacie;💊;Farmacia Centrale;Dcheira El Jihadia (La Pergola);;30.369984;-9.540153;;;
pharmacie;💊;Farmacia Tilila;Dcheira El Jihadia (La Pergola);;30.374304;-9.53978;;;
pharmacie;💊;Farmacia Ibn Sina;Dcheira El Jihadia (La Pergola);;30.369009;-9.537553;;;
pharmacie;💊;Farmacia Ksima;Dcheira El Jihadia (La Pergola);;30.370359;-9.537296;;;
