Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;تجزئة الصويري الجديدة;تيكيوين، أكادير;;30.373106;-9.512266;;;
ecole;🎓;إعدادية Al Mobadara;تيكيوين، أكادير;;30.374795;-9.514802;;;
ecole;🎓;مدرسة بئرانزران;تيكيوين، أكادير;;30.377999;-9.511463;;;
ecole;🎓;اعدادية أبي فراس الحمداني;تيكيوين، أكادير;;30.380398;-9.511145;;;
ecole;🎓;مدرسة OMAR IBN ABDELAZIZ;تيكيوين، أكادير;;30.372756;-9.502088;;;
ecole;🎓;مدرسة Al Massamida;تيكيوين، أكادير;;30.378151;-9.502793;;;
ecole;🎓;Annexe Ecole Al Mobadara AKHLIJ;تيكيوين، أكادير;;30.363467;-9.509811;;;
ecole;🎓;مدرسة 2O AOUT;تيكيوين، أكادير;;30.366584;-9.524861;;;
ecole;🎓;ثانوية MOHAMED DERFOUFI;تيكيوين، أكادير;;30.383355;-9.50355;;;
ecole;🎓;مدرسة IBN HAZM;تيكيوين، أكادير;;30.364099;-9.52367;;;
ecole;🎓;مدرسة AL GHAZALI;تيكيوين، أكادير;;30.383708;-9.502724;;;
ecole;🎓;مدرسة إبن الفارض;تيكيوين، أكادير;;30.373239;-9.528266;;;
ecole;🎓;مدرسة 2 MARS;تيكيوين، أكادير;;30.377374;-9.496437;;;
pharmacie;💊;صيدلية بلا;تيكيوين، أكادير;;30.374627;-9.511059;;;
pharmacie;💊;صيدلية كوكاي;تيكيوين، أكادير;;30.374747;-9.51668;;;
pharmacie;💊;صيدلية بئر أنزران;تيكيوين، أكادير;;30.375955;-9.508187;;;
pharmacie;💊;صيدلية صويري;تيكيوين، أكادير;;30.37827;-9.509506;;;
pharmacie;💊;صيدلية أساكا;تيكيوين، أكادير;;30.378833;-9.515313;;;
pharmacie;💊;صيدلية البرادي;تيكيوين، أكادير;;30.376268;-9.505915;;;
pharmacie;💊;صيدلية ابن الهيثم;تيكيوين، أكادير;;30.37755;-9.518179;;;
pharmacie;💊;صيدلية الولاء;تيكيوين، أكادير;;30.372326;-9.520285;;;
pharmacie;💊;صيدلية خويا;تيكيوين، أكادير;;30.369595;-9.51961;;;
pharmacie;💊;صيدلية أسايس;تيكيوين، أكادير;;30.372998;-9.503267;;;
pharmacie;💊;صيدلية تكوين;تيكيوين، أكادير;;30.375398;-9.503299;;;
pharmacie;💊;صيدلية مسجد أساكا;تيكيوين، أكادير;;30.381176;-9.512764;;;
pharmacie;💊;صيدلية الأدوية;تيكيوين، أكادير;;30.380104;-9.504425;;;
pharmacie;💊;صيدلية الصحة;تيكيوين، أكادير;;30.377327;-9.501771;;;
pharmacie;💊;صيدلية اليسر;تيكيوين، أكادير;;30.375559;-9.523505;;;
marche;🛒;سوق السلع المستعملة;تيكيوين، أكادير;;30.380936;-9.50643;;;
mosquee;🕌;شارع عبد الرحيم بوعبيد;تيكيوين، أكادير;;30.372456;-9.518915;;;
mosquee;🕌;مسجد المرس;تيكيوين، أكادير;;30.371446;-9.526918;;;
cafe;☕;مقهى اسايس تكوين;تيكيوين، أكادير;;30.373691;-9.504393;;+212 6 01 85 94 99;Mo-Su 06:30-23:30
cafe;☕;Vala;تيكيوين، أكادير;;30.380476;-9.502055;;;
banque;🏦;بنك أفريقيا;تيكيوين، أكادير;;30.38099;-9.504423;;;
sante;🏥;المركز الصحي;تيكيوين، أكادير;;30.367347;-9.525803;;;
transport;🚌;Lot Bir Inzarane Asaka;تيكيوين، أكادير;;30.374513;-9.5114;;;
transport;🚌;Tikiouine Souiri;تيكيوين، أكادير;;30.375606;-9.50945;;;
transport;🚌;Lmers;تيكيوين، أكادير;;30.372824;-9.516504;;;
transport;🚌;Essaouiri;تيكيوين، أكادير;;30.378804;-9.510587;;;
transport;🚌;Asaka Souiri;تيكيوين، أكادير;;30.378767;-9.510319;;;
transport;🚌;Asaka 2 Pharmacie;تيكيوين، أكادير;;30.378929;-9.515029;;;
transport;🚌;Asaka Mosquee;تيكيوين، أكادير;;30.379405;-9.51342;;;
transport;🚌;Tikiouine Assais;تيكيوين، أكادير;;30.375254;-9.504526;;;
admin;🏛️;Tikiouine;تيكيوين، أكادير;;30.377109;-9.503247;;;
loisir;🌿;الفضاء الرياضي تاسيلا;تيكيوين، أكادير;;30.382337;-9.521936;;;
loisir;🌿;الفضاء الرياضي الترفيهي;تيكيوين، أكادير;;30.37515;-9.527446;;;
