Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;Lotissement Souiri El Jadida;Tikiouine, Agadir;;30.373106;-9.512266;;;
ecole;🎓;Collège Al Mobadara;Tikiouine, Agadir;;30.374795;-9.514802;;;
ecole;🎓;École بئرانزران;Tikiouine, Agadir;;30.377999;-9.511463;;;
ecole;🎓;École أبي فراس الحمداني;Tikiouine, Agadir;;30.380398;-9.511145;;;
ecole;🎓;Ecole OMAR IBN ABDELAZIZ;Tikiouine, Agadir;;30.372756;-9.502088;;;
ecole;🎓;école Al Massamida;Tikiouine, Agadir;;30.378151;-9.502793;;;
ecole;🎓;Annexe Ecole Al Mobadara AKHLIJ;Tikiouine, Agadir;;30.363467;-9.509811;;;
ecole;🎓;Ecole 2O AOUT;Tikiouine, Agadir;;30.366584;-9.524861;;;
ecole;🎓;Lycée MOHAMED DERFOUFI;Tikiouine, Agadir;;30.383355;-9.50355;;;
ecole;🎓;Ecole IBN HAZM;Tikiouine, Agadir;;30.364099;-9.52367;;;
ecole;🎓;Ecole AL GHAZALI;Tikiouine, Agadir;;30.383708;-9.502724;;;
ecole;🎓;École إبن الفارض;Tikiouine, Agadir;;30.373239;-9.528266;;;
ecole;🎓;Ecole 2 MARS;Tikiouine, Agadir;;30.377374;-9.496437;;;
pharmacie;💊;Pharmacie Bella;Tikiouine, Agadir;;30.374627;-9.511059;;;
pharmacie;💊;Pharmacie Cokail;Tikiouine, Agadir;;30.374747;-9.51668;;;
pharmacie;💊;Pharmacie Bir Anzarane;Avenue Abdelerrahim Bouabid شارع عبد الرحيم بوعبيد;;30.375955;-9.508187;;;
pharmacie;💊;Pharmacie Souiri;Tikiouine, Agadir;;30.37827;-9.509506;;;
pharmacie;💊;Pharmacie Assaka;Tikiouine, Agadir;;30.378833;-9.515313;;;
pharmacie;💊;Pharmacie El Bradi;Tikiouine, Agadir;;30.376268;-9.505915;;;
pharmacie;💊;Pharmacie Ibn El Haitam;Tikiouine, Agadir;;30.37755;-9.518179;;;
pharmacie;💊;Pharmacie Al Walae;Tikiouine, Agadir;;30.372326;-9.520285;;;
pharmacie;💊;Pharmacie Khouya;Avenue Ali Beni Abi Talib;;30.369595;-9.51961;;;
pharmacie;💊;Pharmacie Assays;Tikiouine, Agadir;;30.372998;-9.503267;;;
pharmacie;💊;Pharmacie Tikiouine;Tikiouine, Agadir;;30.375398;-9.503299;;;
pharmacie;💊;Pharmacie Masjid Assaka;Tikiouine, Agadir;;30.381176;-9.512764;;;
pharmacie;💊;Pharmacie Al Adouiya;Tikiouine, Agadir;;30.380104;-9.504425;;;
pharmacie;💊;Pharmacie La Santé;Tikiouine, Agadir;;30.377327;-9.501771;;;
pharmacie;💊;Pharmacie Al Yosr;Tikiouine, Agadir;;30.375559;-9.523505;;;
marche;🛒;Marché السلع المستعملة;Tikiouine, Agadir;;30.380936;-9.50643;;;
mosquee;🕌;Avenue Abdelerrahim Bouabid;Tikiouine, Agadir;;30.372456;-9.518915;;;
mosquee;🕌;Masdjid de El Mers;Tikiouine, Agadir;;30.371446;-9.526918;;;
cafe;☕;café Assais;rue 9;;30.373691;-9.504393;;+212 6 01 85 94 99;Mo-Su 06:30-23:30
cafe;☕;Vala;Tikiouine;;30.380476;-9.502055;;;
banque;🏦;Bank of Africa;Tikiouine, Agadir;;30.38099;-9.504423;;;
sante;🏥;Centre de Santé;Tikiouine, Agadir;;30.367347;-9.525803;;;
transport;🚌;Lot Bir Inzarane Asaka;Tikiouine, Agadir;;30.374513;-9.5114;;;
transport;🚌;Tikiouine Souiri;Tikiouine, Agadir;;30.375606;-9.50945;;;
transport;🚌;Lmers;Tikiouine, Agadir;;30.372824;-9.516504;;;
transport;🚌;Essaouiri;Tikiouine, Agadir;;30.378804;-9.510587;;;
transport;🚌;Asaka Souiri;Tikiouine, Agadir;;30.378767;-9.510319;;;
transport;🚌;Asaka 2 Pharmacie;Tikiouine, Agadir;;30.378929;-9.515029;;;
transport;🚌;Asaka Mosquee;Tikiouine, Agadir;;30.379405;-9.51342;;;
transport;🚌;Tikiouine Assais;Tikiouine, Agadir;;30.375254;-9.504526;;;
admin;🏛️;Tikiouine;AGADIR;;30.377109;-9.503247;;;
loisir;🌿;الفضاء الرياضي تاسيلا;Tikiouine, Agadir;;30.382337;-9.521936;;;
loisir;🌿;الفضاء الرياضي الترفيهي;Tikiouine, Agadir;;30.37515;-9.527446;;;
