Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;Lot Souiri El Jadida;Tikiouine, Agadir, Agadir;;30.373106;-9.512266;;;
transport;🚌;Inezgane Bus Station;RN10, Inezgane;;30.359746;-9.527025;;;Coaches to all destinations
marche;🛒;Inezgane Souk (Tuesday market);Inezgane;;30.359344;-9.530888;;;Large weekly souk
parc;🐊;Crocoparc;Drarga;;30.389379;-9.484029;;;Crocodile park and gardens
aeroport;✈️;Al Massira Airport;Agadir;4.0;30.3811;-9.5462;;+212 5 28 83 91 22;International airport
ecole;🎓;Faculty of Medicine – Ibn Zohr University;RN1, El Houda, Agadir;;30.406885;-9.533029;;;University campus
medina;🏛️;Agadir Medina;;;30.3785;-9.5725;;;Craft medina (Coco Polizzi)
stade;🏟️;Adrar Stadium;;;30.4274;-9.5403;;;Agadir's grand stadium
magasin;🛒;Marjane Agadir;Mohammed VI Blvd, Founty;;30.394457;-9.580797;;;Hypermarket & mall
hopital;🏥;Hassan II Hospital;Hassan II Ave. Agadir;3.5;30.4042;-9.5811;;+212 5 28 84 13 51;Regional hospital
medina;🏛️;Souk El Had;Agadir;4.4;30.4198;-9.5897;;;Largest souk in Agadir
musee;🖼️;Amazigh Heritage Museum;;;30.416;-9.5971;;;Amazigh culture
parc;🌳;Olhão Garden;;;30.4247;-9.5971;;;Landscaped public garden
parc;🐦;Valley of the Birds;;;30.4196;-9.6021;;;Free bird park
marina;⚓;Agadir Marina;;;30.4224;-9.6177;;;Marina & restaurants
plage;🏖️;Agadir Beach;Agadir Corniche;4.5;30.4278;-9.6189;;;Main beach
monument;🏰;Agadir Oufella Kasbah;;;30.4297;-9.6248;;;Historic hilltop fortress
