Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;تجزئة تامونت;القليعة;;30.286357;-9.44521;;;
ecole;🎓;ثانوية الفضيلة;القليعة;;30.283149;-9.441849;;;
ecole;🎓;إعدادية Al Hanssali;القليعة;;30.286781;-9.456036;;;
ecole;🎓;مدرسة الوفاق;القليعة;;30.287257;-9.456701;;;
ecole;🎓;مدرسة الشريف الإدريسي;القليعة;;30.29427;-9.455242;;;
pharmacie;💊;صيدلية أيور;القليعة;;30.286562;-9.451402;;;
pharmacie;💊;صيدلية شتوكة;القليعة;;30.28153;-9.448822;;+212 528311338;Mo-Sa 09:30-21:30
pharmacie;💊;صيدلية جنانات سيدي داوود;القليعة;;30.291293;-9.450459;;;
pharmacie;💊;صيدلية القصبة;القليعة;;30.288693;-9.453338;;;
pharmacie;💊;صيدلية ELJAMALI;القليعة;;30.295307;-9.448915;;;
pharmacie;💊;صيدلية واقسيم;القليعة;;30.293042;-9.456668;;;
pharmacie;💊;صيدلية الوهابي;القليعة;;30.295278;-9.456412;;;
mosquee;🕌;مسجد الأمل;القليعة;;30.287848;-9.453065;;;
mosquee;🕌;مسجد القدس;القليعة;;30.292612;-9.457031;;;
cafe;☕;مقهى mercando;القليعة;;30.286075;-9.451192;;08 08 59 88 99;Mo-Su 06:00-23:00
cafe;☕;مقهى Dreams;القليعة;;30.292066;-9.455779;;;
cafe;☕;مقهى Safir Bleu;القليعة;;30.292818;-9.456477;;;
cafe;☕;سناك سلطان;القليعة;;30.292977;-9.457074;;;
cafe;☕;محلبة إبراهيم للمأكولات المتنوعة;القليعة;;30.293397;-9.45752;;;
transport;🚌;Klea Terminus;القليعة;;30.28579;-9.451069;;;
transport;🚌;Haut Klea;القليعة;;30.288599;-9.452947;;;
transport;🚌;Bousbate;القليعة;;30.278712;-9.44678;;;
transport;🚌;Klea Soufla;القليعة;;30.290524;-9.454564;;;
transport;🚌;Laaouina Source;القليعة;;30.294139;-9.457877;;;
